"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","value"
0.684,0.834,2,-4.524,0,0.0675,0.0646,0,0.271,0.538,164.02,"audio_features","5A6OHHy73AR5tLxgTc98zz","spotify:track:5A6OHHy73AR5tLxgTc98zz","https://api.spotify.com/v1/tracks/5A6OHHy73AR5tLxgTc98zz","https://api.spotify.com/v1/audio-analysis/5A6OHHy73AR5tLxgTc98zz",217667,4,NA
0.624,0.878,4,-5.605,0,0.129,0.000257,0.897,0.0521,0.279,128.037,"audio_features","0XTJUZafcXOuEgyS4suGNX","spotify:track:0XTJUZafcXOuEgyS4suGNX","https://api.spotify.com/v1/tracks/0XTJUZafcXOuEgyS4suGNX","https://api.spotify.com/v1/audio-analysis/0XTJUZafcXOuEgyS4suGNX",308427,4,NA
0.683,0.871,0,-5.576,1,0.0442,0.00175,0.00391,0.712,0.461,128.01,"audio_features","2fbVjOH8FOW60FDD5umpV9","spotify:track:2fbVjOH8FOW60FDD5umpV9","https://api.spotify.com/v1/tracks/2fbVjOH8FOW60FDD5umpV9","https://api.spotify.com/v1/audio-analysis/2fbVjOH8FOW60FDD5umpV9",329004,4,NA
0.798,0.882,5,-4.49,0,0.108,0.00796,0.00122,0.337,0.582,94.998,"audio_features","33Ig8BivuMggb5HpPyTBob","spotify:track:33Ig8BivuMggb5HpPyTBob","https://api.spotify.com/v1/tracks/33Ig8BivuMggb5HpPyTBob","https://api.spotify.com/v1/audio-analysis/33Ig8BivuMggb5HpPyTBob",207533,4,NA
0.626,0.784,7,-3.874,1,0.0515,0.0372,0,0.182,0.555,120.031,"audio_features","1Z5L1sgdPUPfcuxsfaYzcB","spotify:track:1Z5L1sgdPUPfcuxsfaYzcB","https://api.spotify.com/v1/tracks/1Z5L1sgdPUPfcuxsfaYzcB","https://api.spotify.com/v1/audio-analysis/1Z5L1sgdPUPfcuxsfaYzcB",190000,4,NA
0.731,0.807,3,-6.492,0,0.1,0.181,0.751,0.319,0.765,114.759,"audio_features","2bLqfJjuC5syrsgDsZfGmn","spotify:track:2bLqfJjuC5syrsgDsZfGmn","https://api.spotify.com/v1/tracks/2bLqfJjuC5syrsgDsZfGmn","https://api.spotify.com/v1/audio-analysis/2bLqfJjuC5syrsgDsZfGmn",179120,4,NA
0.531,0.574,10,-6.693,0,0.113,0.114,0.0308,0.256,0.272,115.68,"audio_features","2DHc2e5bBn4UzY0ENVFrUl","spotify:track:2DHc2e5bBn4UzY0ENVFrUl","https://api.spotify.com/v1/tracks/2DHc2e5bBn4UzY0ENVFrUl","https://api.spotify.com/v1/audio-analysis/2DHc2e5bBn4UzY0ENVFrUl",232467,5,NA
0.734,0.927,8,-4.244,0,0.042,0.076,0.00134,0.0465,0.901,118.039,"audio_features","6mmtxbG5pzkrJ0BrSdg9uW","spotify:track:6mmtxbG5pzkrJ0BrSdg9uW","https://api.spotify.com/v1/tracks/6mmtxbG5pzkrJ0BrSdg9uW","https://api.spotify.com/v1/audio-analysis/6mmtxbG5pzkrJ0BrSdg9uW",231960,4,NA
0.406,0.748,2,-9.216,1,0.0512,0.0897,0,0.129,0.614,92.221,"audio_features","4JUvMWfJ69MCx6JT8G9pfN","spotify:track:4JUvMWfJ69MCx6JT8G9pfN","https://api.spotify.com/v1/tracks/4JUvMWfJ69MCx6JT8G9pfN","https://api.spotify.com/v1/audio-analysis/4JUvMWfJ69MCx6JT8G9pfN",245933,4,NA
0.41,0.111,7,-16.796,1,0.042,0.921,0.0696,0.11,0.0383,136.992,"audio_features","1LHyM1giY7WzsqfYXL0NaM","spotify:track:1LHyM1giY7WzsqfYXL0NaM","https://api.spotify.com/v1/tracks/1LHyM1giY7WzsqfYXL0NaM","https://api.spotify.com/v1/audio-analysis/1LHyM1giY7WzsqfYXL0NaM",170551,4,NA
0.455,0.179,1,-12.938,1,0.0389,0.952,0.00056,0.106,0.12,73.698,"audio_features","1xVF9wZZ87uAz0bw6jT4sH","spotify:track:1xVF9wZZ87uAz0bw6jT4sH","https://api.spotify.com/v1/tracks/1xVF9wZZ87uAz0bw6jT4sH","https://api.spotify.com/v1/audio-analysis/1xVF9wZZ87uAz0bw6jT4sH",195240,4,NA
0.32,0.62,0,-9.686,1,0.0594,0.64,6.36e-05,0.253,0.472,86.327,"audio_features","6lFZbCc7pn6Lme1NP7qQqQ","spotify:track:6lFZbCc7pn6Lme1NP7qQqQ","https://api.spotify.com/v1/tracks/6lFZbCc7pn6Lme1NP7qQqQ","https://api.spotify.com/v1/audio-analysis/6lFZbCc7pn6Lme1NP7qQqQ",448720,4,NA
0.668,0.672,9,-10.79,1,0.3,0.581,1.09e-06,0.0403,0.613,115.767,"audio_features","1iDcKYNvo6gglrOG6lvnHL","spotify:track:1iDcKYNvo6gglrOG6lvnHL","https://api.spotify.com/v1/tracks/1iDcKYNvo6gglrOG6lvnHL","https://api.spotify.com/v1/audio-analysis/1iDcKYNvo6gglrOG6lvnHL",377747,4,NA
0.568,0.945,6,-4.438,0,0.0359,2.39e-05,0.0742,0.352,0.82,116.039,"audio_features","6oaCwukRHvb3Q0eBfa9wiI","spotify:track:6oaCwukRHvb3Q0eBfa9wiI","https://api.spotify.com/v1/tracks/6oaCwukRHvb3Q0eBfa9wiI","https://api.spotify.com/v1/audio-analysis/6oaCwukRHvb3Q0eBfa9wiI",172573,4,NA
0.833,0.501,7,-7.563,1,0.181,0.369,0,0.145,0.362,119.974,"audio_features","0WYH592ttkhg3wch4a4Xvk","spotify:track:0WYH592ttkhg3wch4a4Xvk","https://api.spotify.com/v1/tracks/0WYH592ttkhg3wch4a4Xvk","https://api.spotify.com/v1/audio-analysis/0WYH592ttkhg3wch4a4Xvk",275933,4,NA
0.679,0.994,10,-2.198,1,0.101,0.00848,0.373,0.0589,0.386,130.041,"audio_features","3t4yzIDfU8W13cHhTe5gLn","spotify:track:3t4yzIDfU8W13cHhTe5gLn","https://api.spotify.com/v1/tracks/3t4yzIDfU8W13cHhTe5gLn","https://api.spotify.com/v1/audio-analysis/3t4yzIDfU8W13cHhTe5gLn",242053,4,NA
0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,"audio_features","0d28khcov6AiegSCpG5TuT","spotify:track:0d28khcov6AiegSCpG5TuT","https://api.spotify.com/v1/tracks/0d28khcov6AiegSCpG5TuT","https://api.spotify.com/v1/audio-analysis/0d28khcov6AiegSCpG5TuT",222640,4,NA
0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,"audio_features","0q6LuUqGLUiCPP1cbdwFs3","spotify:track:0q6LuUqGLUiCPP1cbdwFs3","https://api.spotify.com/v1/tracks/0q6LuUqGLUiCPP1cbdwFs3","https://api.spotify.com/v1/audio-analysis/0q6LuUqGLUiCPP1cbdwFs3",233867,4,NA
0.821,0.793,6,-9.003,0,0.0391,0.0267,1.37e-05,0.0751,0.912,116.009,"audio_features","78NwNb2BPO7OKDYYRWB1WT","spotify:track:78NwNb2BPO7OKDYYRWB1WT","https://api.spotify.com/v1/tracks/78NwNb2BPO7OKDYYRWB1WT","https://api.spotify.com/v1/audio-analysis/78NwNb2BPO7OKDYYRWB1WT",632693,4,NA
0.57,0.803,8,-9.278,1,0.0774,0.0577,0.738,0.138,0.388,167.4,"audio_features","2zFb6eD2BdZS4gPhNPIkiF","spotify:track:2zFb6eD2BdZS4gPhNPIkiF","https://api.spotify.com/v1/tracks/2zFb6eD2BdZS4gPhNPIkiF","https://api.spotify.com/v1/audio-analysis/2zFb6eD2BdZS4gPhNPIkiF",358147,4,NA
0.787,0.685,4,-7.344,0,0.0678,0.0132,0.000159,0.0861,0.674,127.939,"audio_features","2Fcx6iB2M85G6YmKaup2Bu","spotify:track:2Fcx6iB2M85G6YmKaup2Bu","https://api.spotify.com/v1/tracks/2Fcx6iB2M85G6YmKaup2Bu","https://api.spotify.com/v1/audio-analysis/2Fcx6iB2M85G6YmKaup2Bu",203133,4,NA
0.83,0.507,4,-7.398,1,0.0462,0.000811,0.0227,0.0375,0.688,127.985,"audio_features","7HW6AYCZEgV6RDXuqzUcmI","spotify:track:7HW6AYCZEgV6RDXuqzUcmI","https://api.spotify.com/v1/tracks/7HW6AYCZEgV6RDXuqzUcmI","https://api.spotify.com/v1/audio-analysis/7HW6AYCZEgV6RDXuqzUcmI",396973,4,NA
0.71,0.707,6,-7.489,0,0.111,0.00455,0.000882,0.257,0.829,127.859,"audio_features","6G9M0xovRpuMH94MrGxrxZ","spotify:track:6G9M0xovRpuMH94MrGxrxZ","https://api.spotify.com/v1/tracks/6G9M0xovRpuMH94MrGxrxZ","https://api.spotify.com/v1/audio-analysis/6G9M0xovRpuMH94MrGxrxZ",192880,4,NA
0.478,0.633,9,-8.144,1,0.0326,0.00107,0.00367,0.108,0.112,128.072,"audio_features","76lBy0lGBbgPmnZ3lROMRl","spotify:track:76lBy0lGBbgPmnZ3lROMRl","https://api.spotify.com/v1/tracks/76lBy0lGBbgPmnZ3lROMRl","https://api.spotify.com/v1/audio-analysis/76lBy0lGBbgPmnZ3lROMRl",181893,4,NA
0.561,0.87,8,-6.103,1,0.343,0.0015,2.82e-06,0.246,0.498,129.98,"audio_features","4iMu9le3ytNO3tvgVpQANx","spotify:track:4iMu9le3ytNO3tvgVpQANx","https://api.spotify.com/v1/tracks/4iMu9le3ytNO3tvgVpQANx","https://api.spotify.com/v1/audio-analysis/4iMu9le3ytNO3tvgVpQANx",210093,4,NA
0.596,0.73,9,-4.091,1,0.151,0.24,0,0.325,0.525,85.979,"audio_features","68jqcYs5XSkAxTfoa5JYXQ","spotify:track:68jqcYs5XSkAxTfoa5JYXQ","https://api.spotify.com/v1/tracks/68jqcYs5XSkAxTfoa5JYXQ","https://api.spotify.com/v1/audio-analysis/68jqcYs5XSkAxTfoa5JYXQ",192560,4,NA
0.599,0.869,0,-3.697,1,0.0789,0.0525,0.00719,0.103,0.593,108.061,"audio_features","53Y0kdCa1CZ9gRqEuknfwy","spotify:track:53Y0kdCa1CZ9gRqEuknfwy","https://api.spotify.com/v1/tracks/53Y0kdCa1CZ9gRqEuknfwy","https://api.spotify.com/v1/audio-analysis/53Y0kdCa1CZ9gRqEuknfwy",193333,4,NA
0.768,0.518,11,-4.098,0,0.053,0.00123,1.82e-05,0.0729,0.565,127.007,"audio_features","1BuQLdXR7DppmuzaFx234E","spotify:track:1BuQLdXR7DppmuzaFx234E","https://api.spotify.com/v1/tracks/1BuQLdXR7DppmuzaFx234E","https://api.spotify.com/v1/audio-analysis/1BuQLdXR7DppmuzaFx234E",283533,4,NA
0.661,0.836,9,-3.56,1,0.0542,0.0155,0,0.217,0.753,126.05,"audio_features","6JHrzpRYiDx53iTgTbI76X","spotify:track:6JHrzpRYiDx53iTgTbI76X","https://api.spotify.com/v1/tracks/6JHrzpRYiDx53iTgTbI76X","https://api.spotify.com/v1/audio-analysis/6JHrzpRYiDx53iTgTbI76X",217733,4,NA
0.521,0.889,4,-4.22,0,0.0956,0.00288,0,0.374,0.647,139.937,"audio_features","58hdiJgbfxVwQ3sff0ugQU","spotify:track:58hdiJgbfxVwQ3sff0ugQU","https://api.spotify.com/v1/tracks/58hdiJgbfxVwQ3sff0ugQU","https://api.spotify.com/v1/audio-analysis/58hdiJgbfxVwQ3sff0ugQU",237080,4,NA
0.661,0.836,9,-3.56,1,0.0542,0.0155,0,0.217,0.753,126.05,"audio_features","3sEFaBjiv7WZaTHiCej1z2","spotify:track:3sEFaBjiv7WZaTHiCej1z2","https://api.spotify.com/v1/tracks/3sEFaBjiv7WZaTHiCej1z2","https://api.spotify.com/v1/audio-analysis/3sEFaBjiv7WZaTHiCej1z2",217733,4,NA
0.629,0.885,0,-4.639,1,0.0497,0.0049,3.85e-06,0.0835,0.569,123.938,"audio_features","6vKgFGsebs61Maoyr9Bu3A","spotify:track:6vKgFGsebs61Maoyr9Bu3A","https://api.spotify.com/v1/tracks/6vKgFGsebs61Maoyr9Bu3A","https://api.spotify.com/v1/audio-analysis/6vKgFGsebs61Maoyr9Bu3A",147000,4,NA
0.506,0.751,5,-5.647,1,0.0583,0.0352,4.19e-05,0.111,0.202,129.968,"audio_features","7yW4A3I7SnQI1uqrvOsIyL","spotify:track:7yW4A3I7SnQI1uqrvOsIyL","https://api.spotify.com/v1/tracks/7yW4A3I7SnQI1uqrvOsIyL","https://api.spotify.com/v1/audio-analysis/7yW4A3I7SnQI1uqrvOsIyL",314000,4,NA
0.7,0.66,7,-7.238,1,0.113,0.00597,0,0.126,0.389,106.937,"audio_features","23BVgv7HIJkpSkdhjd4Z7t","spotify:track:23BVgv7HIJkpSkdhjd4Z7t","https://api.spotify.com/v1/tracks/23BVgv7HIJkpSkdhjd4Z7t","https://api.spotify.com/v1/audio-analysis/23BVgv7HIJkpSkdhjd4Z7t",235572,4,NA
0.418,0.724,5,-3.724,1,0.0964,0.213,0,0.112,0.604,78.521,"audio_features","0PJIbOdMs3bd5AT8liULMQ","spotify:track:0PJIbOdMs3bd5AT8liULMQ","https://api.spotify.com/v1/tracks/0PJIbOdMs3bd5AT8liULMQ","https://api.spotify.com/v1/audio-analysis/0PJIbOdMs3bd5AT8liULMQ",238320,5,NA
0.747,0.538,1,-5.217,1,0.044,0.0333,0,0.116,0.338,93.937,"audio_features","5u5VZaUmYMZiFed9jFWebf","spotify:track:5u5VZaUmYMZiFed9jFWebf","https://api.spotify.com/v1/tracks/5u5VZaUmYMZiFed9jFWebf","https://api.spotify.com/v1/audio-analysis/5u5VZaUmYMZiFed9jFWebf",204324,4,NA
