"Hour","Artist","Plays"
"21","Lil Wayne",33
"22","Bryson Tiller",33
"22","Childish Gambino",33
"22","Juice WRLD",33
"23","Lil Wayne",33
"03","Calvin Harris",32
"03","Migos",32
"04","Frank Ocean",32
"05","Childish Gambino",32
"15","Kid Cudi",32
"16","Brent Faiyaz",32
"16","Future",32
"17","Tyler, The Creator",32
"18","Frank Ocean",32
"19","Tory Lanez",32
"20","Coldplay",32
"20","Playboi Carti",32
"20","Tory Lanez",32
"20","Young Thug",32
"22","Lil Wayne",32
"00","Cage The Elephant",31
"00","Lil Wayne",31
"02","Calvin Harris",31
"02","Coldplay",31
"04","Don Toliver",31
"05","Chris Brown",31
"05","OneRepublic",31
"16","Cage The Elephant",31
"16","Frank Ocean",31
"17","J. Cole",31
"21","Eminem",31
"22","Roddy Ricch",31
"01","XXXTENTACION",30
"03","Future",30
"05","Young Thug",30
"06","Cage The Elephant",30
"07","Justin Timberlake",30
"17","Queen",30
"18","J. Cole",30
"21","blackbear",30
"00","Lil Uzi Vert",29
"00","Young Thug",29
"01","Lil Uzi Vert",29
"02","Lil Wayne",29
"02","blackbear",29
"03","Bryson Tiller",29
"04","Childish Gambino",29
"04","Joey Bada$$",29
"06","Lil Wayne",29
"07","Cage The Elephant",29
"07","Miguel",29
"10","Kid Cudi",29
"15","Don Toliver",29
"17","Coldplay",29
"18","Calvin Harris",29
"18","Coldplay",29
"18","Tyler, The Creator",29
"21","Khalid",29
"22","NAV",29
"00","Joey Bada$$",28
"00","OneRepublic",28
"00","fun.",28
"02","Childish Gambino",28
"02","Don Toliver",28
"02","Tyler, The Creator",28
"03","Coldplay",28
"04","Young Thug",28
"05","Boston",28
"07","J. Cole",28
"07","blackbear",28
"08","Justin Timberlake",28
"09","Jack Harlow",28
"09","Kendrick Lamar",28
"17","Frank Ocean",28
"18","Future",28
"18","Joey Bada$$",28
"19","Joey Bada$$",28
"21","Don Toliver",28
"21","Tyler, The Creator",28
"22","DJ Khaled",28
"23","Justin Timberlake",28
"00","Playboi Carti",27
"01","Future",27
"01","Juice WRLD",27
"01","Justin Timberlake",27
"06","Mac Miller",27
"06","Playboi Carti",27
"07","Eminem",27
"10","Cage The Elephant",27
"14","Bryson Tiller",27
"16","Don Toliver",27
"16","Maroon 5",27
"18","Tory Lanez",27
"19","Bryson Tiller",27
"20","OneRepublic",27
"21","Frank Ocean",27
"21","Joey Bada$$",27
"22","Eminem",27
"22","Lil Uzi Vert",27
"22","Rex Orange County",27
"23","Boston",27
"23","Led Zeppelin",27
"23","Migos",27
"23","Playboi Carti",27
"00","Led Zeppelin",26
"00","Marshmello",26
"01","Billie Eilish",26
"01","NAV",26
"02","Future",26
"03","Lil Wayne",26
"04","Lil Nas X",26
"05","Juice WRLD",26
"05","Lil Uzi Vert",26
"06","Beach House",26
"06","OneRepublic",26
"07","Juice WRLD",26
"07","Playboi Carti",26
"08","J. Cole",26
"13","Kanye West",26
"16","Jack Harlow",26
"18","Brent Faiyaz",26
"18","Lil Wayne",26
"19","Coldplay",26
"19","Young Thug",26
"20","Childish Gambino",26
"20","Frank Ocean",26
"20","Khalid",26
"20","NAV",26
"20","Post Malone",26
"20","Rex Orange County",26
"21","Lil Uzi Vert",26
"23","Young Thug",26
"00","A$AP Rocky",25
"01","Lil Tecca",25
"01","Young Thug",25
"04","Lil Wayne",25
"04","NAV",25
"05","Justin Timberlake",25
"05","NAV",25
"06","Childish Gambino",25
"06","Juice WRLD",25
"07","fun.",25
"08","Maroon 5",25
"14","The Weeknd",25
"15","Maroon 5",25
"16","Coldplay",25
"16","J. Cole",25
"17","Maroon 5",25
"18","Miguel",25
"18","Playboi Carti",25
"18","Queen",25
"19","Frank Ocean",25
"21","Juice WRLD",25
"21","Migos",25
"21","OneRepublic",25
"21","Playboi Carti",25
"21","Rex Orange County",25
"21","SZA",25
"22","Khalid",25
"23","Bruno Mars",25
"23","Eminem",25
"23","Mustard",25
"00","21 Savage",24
"00","Bruno Mars",24
"00","Khalid",24
"00","mike.",24
"01","Lil Wayne",24
"02","Frank Ocean",24
"04","Justin Timberlake",24
"04","fun.",24
"05","A$AP Rocky",24
"06","Future",24
"13","Kid Cudi",24
"17","whiterosemoxie",24
"19","Marshmello",24
"20","blackbear",24
"22","OneRepublic",24
"22","Tory Lanez",24
"23","Juice WRLD",24
"23","Khalid",24
"23","Thundercat",24
"03","Eminem",23
"03","Joey Bada$$",23
"05","Bruno Mars",23
"05","SOB X RBE",23
"06","DaBaby",23
"06","Veorra",23
"07","mike.",23
"08","Baby Keem",23
"08","Logic",23
"09","The Beatles",23
"11","Kid Cudi",23
"16","Roddy Ricch",23
"16","Tyler, The Creator",23
"17","Post Malone",23
"19","Juice WRLD",23
"20","Lil Uzi Vert",23
"21","Childish Gambino",23
"22","A Boogie Wit da Hoodie",23
"23","Blaccmass",23
"23","Marshmello",23
"23","The Rolling Stones",23
"00","Justin Timberlake",22
"01","Khalid",22
"01","Playboi Carti",22
"02","Juice WRLD",22
"02","NAV",22
"03","OneRepublic",22
"03","blackbear",22
"04","A$AP Rocky",22
"04","OneRepublic",22
"04","mike.",22
"05","Lil Wayne",22
"05","Migos",22
"06","Boston",22
"07","Calvin Harris",22
"07","Post Malone",22
"15","Joey Bada$$",22
"15","Post Malone",22
"16","Post Malone",22
"17","Future",22
"18","Roddy Ricch",22
"19","Migos",22
"20","Juice WRLD",22
"21","Mura Masa",22
"21","Tory Lanez",22
"22","Brent Faiyaz",22
"22","Lil Tecca",22
"22","Migos",22
"22","Tom Petty",22
"23","OneRepublic",22
"02","Mac Miller",21
"03","Childish Gambino",21
"06","Led Zeppelin",21
"06","NAV",21
"06","Roddy Ricch",21
"07","Childish Gambino",21
"07","NAV",21
"10","Kanye West",21
"12","Kid Cudi",21
"14","Brent Faiyaz",21
"17","Brent Faiyaz",21
"17","Don Toliver",21
"17","Roddy Ricch",21
"18","Childish Gambino",21
"18","blackbear",21
"19","Roddy Ricch",21
"22","Miguel",21
"23","Tory Lanez",21
"00","Roddy Ricch",20
"01","A$AP Rocky",20
"01","Bruno Mars",20
"01","Eagles",20
"01","Green Day",20
"01","Marshmello",20
"01","Mustard",20
"01","Tory Lanez",20
"02","Marshmello",20
"03","Foster The People",20
"03","Roddy Ricch",20
"03","Tory Lanez",20
"04","Marshmello",20
"04","Miguel",20
"05","Mac Miller",20
"05","Thundercat",20
"05","Zacari",20
"06","Khalid",20
"06","Lil Uzi Vert",20
"06","Marshmello",20
"06","mike.",20
"07","Ellie Goulding",20
"07","Fitz and The Tantrums",20
"07","Khalid",20
"13","Baby Keem",20
"15","Frank Ocean",20
"18","Billy Joel",20
"19","Mac Miller",20
"21","Boston",20
"21","Miguel",20
"21","NAV",20
"21","XXXTENTACION",20
"21","mike.",20
"22","21 Savage",20
"22","Mustard",20
"22","Roy Woods",20
"22","Thundercat",20
"00","A Boogie Wit da Hoodie",19
"00","Fleetwood Mac",19
"00","Mura Masa",19
"00","NAV",19
"01","Justin Bieber",19
"01","Miguel",19
"01","Mura Masa",19
"02","Eminem",19
"02","Khalid",19
"02","Meek Mill",19
"03","Don Toliver",19
"03","Playboi Carti",19
"03","XXXTENTACION",19
"04","Daft Punk",19
"04","KIDS SEE GHOSTS",19
"05","Machine Gun Kelly",19
"05","Miguel",19
"05","mike.",19
"06","Bruno Mars",19
"06","Miguel",19
"06","Mura Masa",19
"06","Young Thug",19
"07","Foster The People",19
"07","KIDS SEE GHOSTS",19
"07","Tame Impala",19
"09","Drake",19
"13","Drake",19
"15","J. Cole",19
"17","Calvin Harris",19
"18","Khalid",19
"18","Thundercat",19
"18","Yung Gravy",19
"19","Eminem",19
"19","Lil Baby",19
"19","NAV",19
"20","Mura Masa",19
"21","21 Savage",19
"21","Brent Faiyaz",19
"21","Marshmello",19
"22","Joey Bada$$",19
"22","Justin Timberlake",19
"22","The Rolling Stones",19
"23","Billy Joel",19
"23","Joey Bada$$",19
"23","NAV",19
"00","Elton John",18
"00","Mac Miller",18
"02","Young Thug",18
"04","21 Savage",18
"05","Billie Eilish",18
"05","Daft Punk",18
"05","Joey Bada$$",18
"05","Lil Tecca",18
"05","Tory Lanez",18
"06","JAY-Z",18
"06","iann dior",18
"07","Beach House",18
"07","Lil Uzi Vert",18
"07","Marshmello",18
"08","Cage The Elephant",18
"12","Kanye West",18
"14","The Beatles",18
"17","Hippo Campus",18
"17","Lil Wayne",18
"17","Tory Lanez",18
"18","Lil Uzi Vert",18
"20","A Boogie Wit da Hoodie",18
"20","Billie Eilish",18
"20","Eminem",18
"20","Fetty Wap",18
"20","Miguel",18
"21","A Boogie Wit da Hoodie",18
"21","Lil Baby",18
"21","fun.",18
"22","Lil Baby",18
"22","SZA",18
"23","Chris Brown",18
"23","Mac Miller",18
"23","Miguel",18
"00","Billie Eilish",17
"00","Creedence Clearwater Revival",17
"00","Mustard",17
"00","The Rolling Stones",17
"01","A Boogie Wit da Hoodie",17
"01","Avicii",17
"01","Beach House",17
"01","DJ Khaled",17
"01","Lil Mosey",17
"02","Migos",17
"03","NAV",17
"03","Rex Orange County",17
"04","Alina Baraz",17
"04","Foster The People",17
"04","Led Zeppelin",17
"04","Rex Orange County",17
"04","Thundercat",17
"04","XXXTENTACION",17
"05","Eagles",17
"05","Ellie Goulding",17
"05","Fetty Wap",17
"05","Hippo Campus",17
"05","Led Zeppelin",17
"05","Rex Orange County",17
"05","Tom Petty",17
"06","Billie Eilish",17
"06","Daft Punk",17
"06","Joey Bada$$",17
"06","Zacari",17
"07","Veorra",17
"08","Marshmello",17
"10","The Weeknd",17
"15","Cage The Elephant",17
"15","Coldplay",17
"16","Playboi Carti",17
"17","Childish Gambino",17
"17","Joey Bada$$",17
"17","Khalid",17
"18","Eminem",17
"18","Meek Mill",17
"19","Fleetwood Mac",17
"19","Larry June",17
"19","Lil Wayne",17
"19","Playboi Carti",17
"19","Swedish House Mafia",17
"19","Traffic",17
"20","Bruno Mars",17
"20","Gunna",17
"20","Marshmello",17
"21","Bruno Mars",17
"21","KYLE",17
"21","Led Zeppelin",17
"22","A$AP Rocky",17
"22","Boston",17
"22","DNCE",17
"22","Ellie Goulding",17
"22","Justin Bieber",17
"00","Boston",16
"00","Chris Brown",16
"00","Juice WRLD",16
"00","Metro Boomin",16
"00","Tory Lanez",16
"01","Chris Brown",16
"01","Ellie Goulding",16
"01","Roy Woods",16
"02","Bruno Mars",16
"02","Foster The People",16
"02","Lil Uzi Vert",16
"02","OneRepublic",16
"02","Rex Orange County",16
"03","Lil Uzi Vert",16
"03","Miguel",16
"04","Chris Brown",16
"04","Juice WRLD",16
"05","21 Savage",16
"05","Avicii",16
"05","Bryce Vine",16
"05","Foster The People",16
"05","JAY-Z",16
"05","Jason Derulo",16
"05","Lil Mosey",16
"05","Tame Impala",16
"06","Foster The People",16
"06","Jorja Smith",16
"06","KIDS SEE GHOSTS",16
"06","Tory Lanez",16
"07","A$AP Rocky",16
"07","Alina Baraz",16
"07","Tory Lanez",16
"08","Don Toliver",16
"09","Coldplay",16
"15","Metro Boomin",16
"16","Childish Gambino",16
"16","Joey Bada$$",16
"16","Marshmello",16
"17","Juice WRLD",16
"17","Miguel",16
"17","Young Thug",16
"18","NAV",16
"19","Green Day",16
"19","OneRepublic",16
"19","midwxst",16
"20","A$AP Rocky",16
"20","Fitz and The Tantrums",16
"20","Justin Timberlake",16
"20","mike.",16
"21","Avicii",16
"21","Billy Joel",16
"21","Fleetwood Mac",16
"21","Green Day",16
"21","Mac Miller",16
"21","Roddy Ricch",16
"21","Shankar-Ehsaan-Loy",16
"22","Bruno Mars",16
"22","Foster The People",16
"22","Gunna",16
"22","Meek Mill",16
"22","Tom Petty and the Heartbreakers",16
"22","mike.",16
"23","Beach House",16
"23","Brent Faiyaz",16
