"MonthYear","Artist","Plays"
"2018-02","Isaiah Rashad",54
"2018-09","Eminem",54
"2018-12","Mick Jenkins",54
"2019-01","Comethazine",54
"2019-02","Offset",54
"2019-03","Kendrick Lamar",54
"2019-12","Mick Jenkins",54
"2021-11","Jazz Cartier",54
"2022-01","Isaiah Rashad",54
"2022-02","Verzache",54
"2022-03","Denzel Curry",54
"2016-10","Joyner Lucas",53
"2016-12","Mac Miller",53
"2017-10","Daniel Caesar",53
"2019-01","Travis Scott",53
"2019-09","Travis Scott",53
"2019-10","Aries",53
"2020-05","Lil Baby",53
"2021-07","Drake",53
"2021-10","Isaiah Rashad",53
"2022-02","Tyler, The Creator",53
"2022-05","Joey Bada$$",53
"2022-08","Jack Harlow",53
"2022-09","Brent Faiyaz",53
"2017-04","Jazz Cartier",52
"2017-05","Fun.",52
"2017-09","Mick Jenkins",52
"2017-10","Joey Bada$$",52
"2017-11","Joey Bada$$",52
"2017-11","T-Pain",52
"2018-03","Slim Jxmmi",52
"2018-05","NAV",52
"2018-05","Vince Staples",52
"2018-06","A$AP Rocky",52
"2018-09","6LACK",52
"2020-05","Arctic Monkeys",52
"2021-03","Bryson Tiller",52
"2021-03","Guapdad 4000, !llmind",52
"2021-03","whiterosemoxie",52
"2021-09","Jack Harlow",52
"2016-05","Anderson .Paak",51
"2016-12","Joey Bada$$",51
"2017-03","Frank Ocean",51
"2017-03","Rick Ross",51
"2017-08","A$AP Rocky",51
"2017-12","Ty Dolla $ign",51
"2018-01","A$AP Rocky",51
"2018-11","Joey Bada$$",51
"2018-12","Lil Yachty",51
"2019-09","Post Malone",51
"2020-08","Jack Harlow",51
"2020-09","Mick Jenkins",51
"2020-10","PARTYNEXTDOOR",51
"2021-03","Patrick Cc:",51
"2021-09","whiterosemoxie",51
"2021-10","A$AP Rocky",51
"2022-01","Tory Lanez",51
"2022-02","Isaiah Rashad",51
"2022-06","Future",51
"2022-11","Drake",51
"2022-12","Dro Kenji",51
"2016-12","Frank Ocean",50
"2017-07","J. Cole",50
"2017-10","ScHoolboy Q",50
"2018-01","Isaiah Rashad",50
"2018-12","A Boogie wit da Hoodie",50
"2018-12","JID",50
"2020-06","Mick Jenkins",50
"2020-12","Kid Cudi",50
"2021-01","Ramzoid",50
"2021-12","Verzache",50
"2022-04","Pusha T",50
