"Season","Artist","Plays"
"Fall","Sunwell",5
"Fall","Surf Mesa",5
"Fall","SwuM",5
"Fall","Taio Cruz",5
"Fall","The Japanese House",5
"Fall","The Theorist",5
"Fall","The Walkers",5
"Fall","Toledo Rains",5
"Fall","Tolunko",5
"Fall","Torino Sky",5
"Fall","Tranquil Cove",5
"Fall","Trevor Kowalski",5
"Fall","Trey Songz",5
"Fall","Twenty One Pilots",5
"Fall","Two Feet",5
"Fall","UNSECRET",5
"Fall","Vala Capon",5
"Fall","Venus Hearts",5
"Fall","Voyager",5
"Fall","Waht Poo",5
"Fall","Wale",5
"Fall","Weston Estate",5
"Fall","William Edessa",5
"Fall","Wilmer Norman",5
"Fall","X Lovers",5
"Fall","Yashita Sharma",5
"Fall","Yoste",5
"Fall","Zak Brady",5
"Fall","chief.",5
"Fall","gigi",5
"Fall","nurantes",5
"Fall","sad alex",5
"Fall","sadHAPPY",5
"Fall","vnglvck",5
"Spring","21 Savage",5
"Spring","A Boogie Wit da Hoodie",5
"Spring","A L E X",5
"Spring","A.R. Rahman",5
"Spring","AUSTN",5
"Spring","Alexis y Fido",5
"Spring","Angelo De Augustine",5
"Spring","Anjulie",5
"Spring","Ark Patrol",5
"Spring","Astrid S",5
"Spring","Ava Max",5
"Spring","BLU EYES",5
"Spring","BROODS",5
"Spring","BURNS",5
"Spring","Backstreet Boys",5
"Spring","Bakar",5
"Spring","Bela Nemeth",5
"Spring","Benny Dayal",5
"Spring","Betoven Collection",5
"Spring","Big Time Rush",5
"Spring","Blak",5
"Spring","Briston Maroney",5
"Spring","Charlie Who?",5
"Spring","Chris Botti",5
"Spring","City Girls",5
"Spring","Cobra Starship",5
"Spring","Colouring",5
"Spring","Daft Punk",5
"Spring","Dan Talevski",5
"Spring","Daryl Hall & John Oates",5
"Spring","Dayglow",5
"Spring","Dean Valio",5
"Spring","Dizzy",5
"Spring","Doosi",5
"Spring","Drax Project",5
"Spring","Dreamville",5
"Spring","ELHAE",5
"Spring","Emiel Samandar",5
"Spring","Eris Justin",5
"Spring","Fabijan Spaci",5
"Spring","Familiar Folk",5
"Spring","Felix Cartal",5
"Spring","Fifth Harmony",5
"Spring","Frank Sinatra",5
