"Year","Album","Plays"
"2017","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",63
"2017","Lil Uzi Vert ~ XO TOUR Llif3",63
"2020","OneRepublic ~ Native",63
"2020","mike. ~ This Isn't The Album",63
"2019","Drake ~ More Life",62
"2020","Drake ~ Views",62
"2021","mike. ~ This Isn't The Album",62
"2022","Bryson Tiller ~ A N N I V E R S A R Y",62
"2019","A Boogie Wit da Hoodie ~ Hoodie SZN",61
"2020","Aretha Franklin ~ Don't Fight the Feeling - the Complete Aretha Franklin & King Curtis Live at Fillmore West",61
"2021","Pop Smoke ~ Shoot For The Stars Aim For The Moon",61
"2017","The Weeknd ~ Beauty Behind The Madness",60
"2018","Drake ~ More Life",60
"2019","Shankar-Ehsaan-Loy ~ Kal Ho Naa Ho (Original Motion Picture Soundtrack)",60
"2020","Frank Ocean ~ Blonde",60
"2020","Maroon 5 ~ Songs About Jane: 10th Anniversary Edition",60
"2021","Red Hot Chili Peppers ~ Blood Sugar Sex Magik",60
"2021","Aliotta Haynes Jeremiah ~ Lake Shore Drive",60
"2022","The Weeknd ~ My Dear Melancholy,",60
"2017","Childish Gambino ~ Because The Internet",59
"2018","J. Cole ~ 2014 Forest Hills Drive",59
"2021","Saint Motel ~ My Type EP",59
"2018","Migos ~ Culture II",58
"2019","Queen ~ Jazz",58
"2019","Justin Bieber ~ Purpose",58
"2020","Kanye West ~ Late Registration",58
"2021","CHASE B ~ Cafeteria (feat. Gunna)",58
"2021","Kanye West ~ Late Registration",58
"2021","Justin Timberlake ~ The 20/20 Experience",58
"2022","Larry June ~ Out The Trunk",58
"2017","21 Savage ~ Issa Album",57
"2019","J. Cole ~ 2014 Forest Hills Drive",57
"2019","Logic ~ Everybody",57
"2017","Kendrick Lamar ~ To Pimp A Butterfly",56
"2019","Marshmello ~ FRIENDS",56
"2020","Justin Timberlake ~ The 20/20 Experience",56
"2021","Drake ~ Nothing Was The Same",56
"2022","Bryson Tiller ~ T R A P S O U L",56
"2022","Brent Faiyaz ~ WASTELAND",56
"2017","J. Cole ~ Born Sinner",55
"2019","Kanye West ~ The College Dropout",55
"2022","Juice WRLD ~ Legends Never Die",55
"2020","Alina Baraz ~ Electric (feat. Khalid)",54
"2022","XXXTENTACION ~ 17",54
"2022","Lorde ~ Pure Heroine",54
"2017","Future ~ HNDRXX",53
"2019","Roy Woods ~ Say Less",53
"2019","YNW Melly ~ We All Shine",53
"2019","Kanye West ~ JESUS IS KING",52
"2020","fun. ~ Some Nights",52
"2021","Kendrick Lamar ~ DAMN.",52
"2021","Macklemore & Ryan Lewis ~ The Heist",52
"2022","Kendrick Lamar ~ Section.80",52
"2022","Kendrick Lamar ~ untitled unmastered.",52
"2018","J. Cole ~ KOD",51
"2018","The Weeknd ~ Starboy",51
"2019","OneRepublic ~ Dreaming Out Loud",51
"2020","J. Cole ~ 2014 Forest Hills Drive",51
"2020","JAY-Z ~ Watch The Throne",51
"2021","BabyJake ~ Cigarettes On Patios",51
"2021","Lil Uzi Vert ~ Luv Is Rage 2",51
"2021","Calvin Harris ~ Motion",51
"2021","The Weeknd ~ My Dear Melancholy,",51
"2021","Dreamville ~ Revenge Of The Dreamers III",51
"2022","Coldplay ~ Viva La Vida or Death and All His Friends",51
"2022","Weezer ~ Weezer",51
"2017","Khalid ~ American Teen",50
"2018","Eminem ~ Kamikaze",50
"2018","Travis Scott ~ Rodeo",50
"2021","Baby Keem ~ Hearts and Darts",50
"2021","Martin Garrix ~ Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)",50
"2021","Quinn XCII ~ The Story of Us",50
"2022","Lil Wayne ~ I Am Not A Human Being",50
"2022","Jack Harlow ~ Thats What They All Say",50
"2017","Future ~ Mask Off (feat. Kendrick Lamar)",49
"2018","blackbear ~ digital druglord",49
"2020","PARTYNEXTDOOR ~ LOYAL (feat. Drake)",49
"2020","Justin Bieber ~ Purpose",49
"2021","Briston Maroney ~ Freakin' Out On The Interstate",49
"2022","Tyler, The Creator ~ BEST INTEREST",49
"2022","Kid Cudi ~ Indicud",49
"2022","The Weeknd ~ Trilogy",49
"2018","Maroon 5 ~ Overexposed",48
"2019","Logic ~ Bobby Tarantino",48
"2019","Drake ~ Nothing Was The Same",48
"2020","Vance Joy ~ Dream Your Life Away",48
"2020","Kanye West ~ The College Dropout",48
"2021","Coldplay ~ A Rush of Blood to the Head",48
"2021","Tom Petty ~ Full Moon Fever",48
"2021","fun. ~ Some Nights",48
"2019","Lil Nas X ~ 7 EP",47
"2019","DNCE ~ DNCE",47
"2020","The Beatles ~ Abbey Road",47
"2020","iann dior ~ gone girl",47
"2021","The Weeknd ~ Beauty Behind The Madness",47
"2021","Tyler, The Creator ~ Flower Boy",47
"2021","Vance Joy ~ Nation of Two",47
"2021","Tom Petty and the Heartbreakers ~ Pack Up The Plantation: Live!",47
"2022","Beach House ~ Depression Cherry",47
"2022","Lil Uzi Vert ~ Luv Is Rage 2",47
"2022","Drake ~ Scorpion",47
"2017","Future ~ FUTURE",46
"2017","Post Malone ~ Stoney",46
"2019","Queen ~ The Works",46
"2019","blackbear ~ hot girl bummer",46
"2022","Kid Cudi ~ Man On The Moon III: The Chosen",46
"2022","Billy Joel ~ The Stranger (Legacy Edition)",46
"2016","Jon Bellion ~ Guillotine",45
"2018","Calvin Harris ~ Motion",45
"2018","Drake ~ Scorpion",45
"2019","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",45
"2021","42 Dugg ~ Free Dem Boyz",45
"2021","Pacific Air ~ Stop Talking",45
"2022","Playboi Carti ~ Playboi Carti",45
"2018","Huncho Jack ~ Huncho Jack, Jack Huncho",44
"2019","Bantu ~ Jackie Chan",44
"2019","Childish Gambino ~ Kauai",44
"2020","Mura Masa ~ Mura Masa",44
"2021","Don Omar ~ Meet The Orphans",44
"2021","Drake ~ More Life",44
"2022","SZA ~ Ctrl",44
"2022","Jack Harlow ~ Sweet Action",44
"2017","J. Cole ~ 4 Your Eyez Only",43
"2019","Maroon 5 ~ Hands All Over",43
"2019","Marshmello ~ Happier",43
"2019","Queen ~ The Game",43
"2019","Drake ~ Views",43
"2020","Foster The People ~ Sacred Hearts Club",43
"2021","Eagles ~ One of These Nights",43
"2021","Roddy Ricch ~ Please Excuse Me for Being Antisocial",43
"2022","Cage The Elephant ~ Cage The Elephant",43
"2022","Rex Orange County ~ WHO CARES?",43
"2018","Eminem ~ Revival",42
"2018","Drake ~ Scary Hours",42
"2019","Bryson Tiller ~ T R A P S O U L",42
"2019","Ansel Elgort ~ You Can Count On Me",42
"2020","Tame Impala ~ Currents",42
"2020","Tory Lanez ~ LoVE me NOw",42
"2021","Polo G ~ THE GOAT",42
"2022","The Beatles ~ 1",42
"2022","Boston ~ Boston",42
"2022","Calvin Harris ~ Funk Wav Bounces Vol.1",42
"2022","Tyler, The Creator ~ IGOR",42
"2022","Ms. Lauryn Hill ~ The Miseducation of Lauryn Hill",42
"2022","Baby Keem ~ hooligan / sons & critics",42
"2017","Chance the Rapper ~ Coloring Book",41
"2017","Tyler, The Creator ~ Flower Boy",41
"2017","Kanye West ~ My Beautiful Dark Twisted Fantasy",41
"2019","George Harrison ~ All Things Must Pass",41
"2020","Roddy Ricch ~ Please Excuse Me for Being Antisocial",41
"2020","Kendrick Lamar ~ Section.80",41
"2021","The Weeknd ~ Kiss Land",41
"2022","Childish Gambino ~ Kauai",41
"2022","Kanye West ~ Yeezus",41
"2017","Calvin Harris ~ Rollin (feat. Future & Khalid)",40
"2019","Mike Posner ~ 31 Minutes to Takeoff",40
"2019","Lil Mosey ~ Certified Hitmaker",40
"2019","Osibih ~ Come Closer",40
"2019","Migos ~ Culture",40
"2019","Lil Mosey ~ G Walk (with Chris Brown)",40
"2019","Chris Brown ~ Heartbreak on a Full Moon",40
"2019","21 Savage ~ i am > i was",40
"2019","Kanye West ~ ye",40
"2021","The Jackson 5 ~ Greatest Hits",40
"2021","The Beatles ~ Let It Be",40
"2021","Drake ~ Scorpion",40
"2021","Don Toliver ~ Situation",40
"2021","NxWorries ~ Yes Lawd!",40
"2021","iann dior ~ gone girl",40
"2017","NAV ~ NAV",39
"2018","Offset ~ Without Warning",39
"2019","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",39
"2019","The Weeknd ~ Starboy",39
"2019","blackbear ~ deadroses",39
"2020","Juice WRLD ~ Death Race For Love",39
"2021","Kanye West ~ 808s & Heartbreak",39
"2021","The Rolling Stones ~ Beggars Banquet",39
"2021","MKTO ~ MKTO",39
"2021","Queen ~ The Game",39
"2022","XXXTENTACION ~ ?",39
"2022","Childish Gambino ~ Because the Internet",39
"2022","Red Hot Chili Peppers ~ Blood Sugar Sex Magik",39
"2022","The Jackson 5 ~ Greatest Hits",39
"2022","Polo G ~ THE GOAT",39
"2017","Maroon 5 ~ V",38
"2017","blackbear ~ deadroses",38
"2019","J. Cole ~ 4 Your Eyez Only",38
"2019","Twenty One Pilots ~ Blurryface",38
"2019","Panic! At The Disco ~ Pray for the Wicked",38
"2019","Marshmello ~ Project Dreams",38
"2020","Veorra ~ Ruby",38
"2020","Logic ~ Supermarket (Soundtrack)",38
"2021","Daft Punk ~ Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]",38
"2021","Drake ~ Laugh Now Cry Later (feat. Lil Durk)",38
"2021","Playboi Carti ~ Playboi Carti",38
"2021","JAY-Z ~ The Blueprint 3",38
"2022","Coldplay ~ A Rush of Blood to the Head",38
"2022","fun. ~ Some Nights",38
"2019","Vishal Dadlani ~ Chennai Express",37
"2019","Chris Brown ~ Questions",37
"2019","Arizona Zervas ~ ROXANNE",37
"2020","The Weeknd ~ Beauty Behind The Madness",37
"2020","Veorra ~ Emerald",37
"2020","Kendrick Lamar ~ To Pimp A Butterfly",37
"2021","George Harrison ~ All Things Must Pass",37
"2021","Bryce Vine ~ Carnival",37
"2021","M83 ~ Hurry Up, We're Dreaming",37
"2021","Led Zeppelin ~ In Through the out Door",37
"2021","Shankar-Ehsaan-Loy ~ Kal Ho Naa Ho (Original Motion Picture Soundtrack)",37
"2021","Drake ~ Views",37
"2022","Juice WRLD ~ Goodbye & Good Riddance",37
"2022","Hippo Campus ~ Landmark",37
"2022","Fitz and The Tantrums ~ More Than Just a Dream",37
"2022","Mustard ~ Perfect Ten",37
"2022","Fleetwood Mac ~ Rumours",37
"2022","JAY-Z ~ Watch The Throne",37
"2022","Lil Tecca ~ We Love You Tecca",37
"2017","Kendrick Lamar ~ The Heart Part 4",36
"2018","The Weeknd ~ Beauty Behind The Madness",36
"2018","Led Zeppelin ~ Led Zeppelin IV",36
"2019","Ariana Grande ~ My Everything",36
"2019","Metro Boomin ~ NOT ALL HEROES WEAR CAPES",36
"2019","Nicki Minaj ~ Queen",36
"2019","Yung Gravy ~ Sensational",36
"2019","John Newman ~ Tribute",36
"2020","Future ~ EVOL",36
"2020","DaBaby ~ KIRK",36
"2020","The Rolling Stones ~ Let It Bleed",36
"2020","ILOVEMAKONNEN ~ Tuesday (feat. Drake)",36
"2021","Frank Ocean ~ Chanel",36
"2021","Brent Faiyaz ~ Dead Man Walking",36
"2021","The Rolling Stones ~ Let It Bleed",36
"2022","Green Day ~ American Idiot",36
"2022","A$AP Mob ~ Cozy Tapes Vol. 2: Too Cozy",36
"2022","Migos ~ Culture",36
"2022","Rex Orange County ~ Loving Is Easy (feat. Benny Sings)",36
"2022","Drake ~ Nothing Was The Same",36
"2022","Maroon 5 ~ Songs About Jane: 10th Anniversary Edition",36
"2022","Baby Keem ~ no sense",36
"2017","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",35
"2017","Ed Sheeran ~ Shape of You",35
"2018","XXXTENTACION ~ 17",35
"2018","XXXTENTACION ~ ?",35
"2019","The Beatles ~ The Beatles",35
"2020","Queen ~ Live At Wembley Stadium",35
"2020","Don Toliver ~ No Idea",35
"2020","Drake ~ Nothing Was The Same",35
"2020","Kid Cudi ~ Passion, Pain & Demon Slayin'",35
"2021","David Bowie ~ Best of Bowie",35
"2021","Shankar Mahadevan ~ Dil Chahta Hai",35
"2021","Maroon 5 ~ Overexposed",35
"2021","The Beatles ~ The Beatles",35
"2021","Portugal. The Man ~ Woodstock",35
"2022","Drake ~ 0 To 100 / The Catch Up",35
"2022","Joey Bada$$ ~ B4.DA.$$",35
"2022","The Weeknd ~ Dawn FM",35
"2022","Thundercat ~ Drunk",35
"2022","Mac Miller ~ Swimming",35
"2017","A Boogie Wit da Hoodie ~ Drowning (feat. Kodak Black)",34
"2017","Eminem ~ The Marshall Mathers LP",34
"2019","NLE Choppa ~ Camelot",34
"2019","Noisestorm ~ Crab Rave",34
"2019","Mustard ~ Dangerous World (feat. Travis Scott & YG)",34
"2019","Lil Wayne ~ I Am Not A Human Being",34
"2019","Maroon 5 ~ V",34
"2020","J. Cole ~ 4 Your Eyez Only",34
"2020","Hailee Steinfeld ~ Let Me Go (with Alesso, Florida Georgia Line & watt)",34
"2020","Mustard ~ Perfect Ten",34
"2020","Drake ~ Scorpion",34
"2021","Mike Posner ~ 31 Minutes to Takeoff",34
"2021","Drake ~ So Far Gone",34
"2022","SZA ~ SOS",34
"2017","DJ Khaled ~ I'm the One",33
"2017","Trey Songz ~ Tremaine the Album",33
"2018","Machine Gun Kelly ~ bloom",33
"2019","The Beatles ~ Revolver",33
"2019","Eminem ~ The Marshall Mathers LP",33
"2020","Queen ~ Greatest Hits",33
"2020","Kanye West ~ JESUS IS KING",33
"2020","The Weeknd ~ Kiss Land",33
"2020","David Guetta ~ One Love",33
"2021","CVBZ ~ 2 Gone",33
"2021","Galantis ~ Pharmacy",33
"2021","Drake ~ Scary Hours 2",33
"2022","Don Toliver ~ Donny Womack",33
"2022","Lynyrd Skynyrd ~ Second Helping",33
"2022","Pop Smoke ~ Shoot For The Stars Aim For The Moon",33
"2022","Pacific Air ~ Stop Talking",33
"2017","Kanye West ~ Graduation",32
"2017","Jason Derulo ~ Jason Derulo",32
"2017","Major Lazer ~ Know No Better",32
"2017","NAV ~ Perfect Timing",32
"2017","Halsey ~ hopeless fountain kingdom",32
"2018","Queen ~ The Game",32
"2018","Eminem ~ The Marshall Mathers LP",32
"2019","XXXTENTACION ~ 17",32
"2019","NoMBe ~ Drama (feat. Big Data)",32
"2019","Hailee Steinfeld ~ Let Me Go (with Alesso, Florida Georgia Line & watt)",32
"2019","Childish Gambino ~ Summer Pack",32
"2019","Logic ~ Under Pressure",32
"2019","Machine Gun Kelly ~ bloom",32
"2020","Boston ~ Boston",32
"2020","Eminem ~ Music To Be Murdered By",32
"2020","Bryce Hase ~ Off the Planet",32
"2020","Pacific Air ~ Stop Talking",32
"2021","B.o.B ~ B.o.B Presents: The Adventures of Bobby Ray",32
"2021","Metro Boomin ~ NOT ALL HEROES WEAR CAPES",32
"2021","David Guetta ~ One Love",32
"2021","Drake ~ Thank Me Later",32
"2021","The Doobie Brothers ~ Toulouse Street",32
"2022","Mac DeMarco ~ 2",32
"2022","J. Cole ~ Born Sinner",32
"2022","Fetty Wap ~ Fetty Wap",32
"2022","Tory Lanez ~ LoVE me NOw",32
"2022","ScHoolboy Q ~ Oxymoron",32
"2022","Foster The People ~ Sacred Hearts Club",32
"2022","Logic ~ Under Pressure",32
"2016","Eric Bellinger ~ Valet (feat. Fetty Wap and 2 Chainz)",31
"2017","KYLE ~ iSpy (feat. Lil Yachty)",31
"2018","Chris Brown ~ Questions",31
"2019","Queen ~ Greatest Hits",31
"2019","Eagles ~ Hotel California",31
"2019","NAV ~ Perfect Timing",31
"2020","J. Cole ~ Cole World: The Sideline Story",31
"2020","Eagles ~ One of These Nights",31
"2020","Queen ~ The Works",31
"2020","The Who ~ Tommy",31
"2020","Mr. Probz ~ Waves",31
"2021","Owl City ~ Ocean Eyes",31
"2021","Kendrick Lamar ~ To Pimp A Butterfly",31
"2021","Playboi Carti ~ Whole Lotta Red",31
"2022","Pitbull ~ Global Warming: Meltdown",31
"2022","Metro Boomin ~ HEROES & VILLAINS",31
"2022","GROUPLOVE ~ Spreading Rumours",31
"2022","Jhene Aiko ~ Trip",31
"2022","Daryl Hall & John Oates ~ Voices",31
"2018","Meek Mill ~ Championships",30
"2018","Migos ~ Culture",30
"2018","Ariana Grande ~ My Everything",30
"2019","Marshmello ~ Alone",30
"2019","Huncho Jack ~ Huncho Jack, Jack Huncho",30
"2019","Eminem ~ Kamikaze",30
"2019","A$AP Rocky ~ LONG.LIVE.A$AP",30
"2019","KYLE ~ Moment (feat. Wiz Khalifa)",30
"2019","Selena Gomez ~ Revival",30
"2019","Billie Eilish ~ WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",30
"2020","Ellie Goulding ~ Close To Me (feat. Swae Lee)",30
"2020","OneRepublic ~ Dreaming Out Loud",30
"2020","The Wanted ~ The Wanted",30
"2020","blackbear ~ digital druglord",30
"2021","Childish Gambino ~ """"Awaken, My Love!""""",30
"2021","A$AP Rocky ~ AT.LONG.LAST.A$AP",30
"2021","Van Morrison ~ Blowin' Your Mind!",30
"2021","Don Toliver ~ Clap",30
"2021","SZA ~ Ctrl",30
"2021","Dayglow ~ Fuzzybrain",30
"2021","Kanye West ~ Yeezus",30
"2021","Post Malone ~ beerbongs & bentleys",30
"2022","Coldplay ~ X&Y",30
"2022","Kanye West ~ ye",30
"2017","Lil Uzi Vert ~ Luv Is Rage 2",29
"2017","Daft Punk ~ Random Access Memories",29
"2017","Young Money ~ Rise Of An Empire",29
"2018","BlocBoy JB ~ Look Alive (feat. Drake)",29
"2018","Lil Uzi Vert ~ Luv Is Rage 2",29
"2018","The Beatles ~ Sgt. Pepper's Lonely Hearts Club Band",29
"2019","Kanye West ~ Graduation",29
"2019","Deraj ~ Hold You Down (feat. GNRA)",29
"2019","Calvin Harris ~ Motion",29
"2019","YG ~ My Krazy Life",29
"2019","Lil Tecca ~ Ransom",29
"2019","Young Thug ~ So Much Fun",29
"2019","Jonas Brothers ~ Sucker",29
