"ID","Season","Song","Plays"
"25U7raB3ZSszayTYClh4hF","Summer","Israel Kamakawiwo'ole ~ Somewhere Over The Rainbow_What A Wonderful World",28
"6SL7KzIA96f0HiKjuv7tED","Summer","Quinn XCII ~ U & Us",28
"6CcJMwBtXByIz4zQLzFkKc","Summer","Billie Eilish ~ i love you",28
"3YUMWmx8EJq0DurfuIwoGh","Summer","Billie Eilish ~ my future",28
"3v5hNZz5R2eJi3BIKJjPPM","Winter","Neutral Commitment ~ A Message from Teen Romance: A Message from Earth to Heaven / Teen Romance",28
"0zAK46czrFfWH0SBGFCV2W","Winter","Nicky Jam ~ I Can't Forget You",28
"7a5RvlW5tMU0AZ4tvbGLhn","Winter","Russ ~ September 16",28
"0hNduWmlWmEmuwEFcYvRu1","Winter","Petit Biscuit ~ Sunset Lover",28
"2tI4WyzqOOwC23S5m0kqcB","Fall","Pink Sweat$ ~ At My Worst",27
"39KG4kom3enSx4GTThuDGt","Fall","Khalid ~ Coaster",27
"6J2LdBN97cDWn0MLxYh9HB","Fall","Noah Cyrus ~ July",27
"5baXzOMmD0sf26hayRqfqI","Fall","Tom Odell ~ Magnetised - Acoustic",27
"2VlLbhGLVJgdOW7kKdWWFc","Fall","Billie Eilish ~ Six Feet Under",27
"0hNduWmlWmEmuwEFcYvRu1","Fall","Petit Biscuit ~ Sunset Lover",27
"2NeM9rfWo70KQej9GxeaoL","Fall","SYML ~ Where's My Love",27
"6PRotAx0lUWP0bHBr6jm42","Fall","Lewis Watson ~ little light - acoustic version",27
"7cflqPPi3zWfLFRRBTWeh6","Fall","Jeremy Zucker ~ talk is overrated",27
"7gHs73wELdeycvS48JfIos","Spring","Alan Walker ~ Faded",27
"1T575AhHueYinKSDflEsGK","Spring","Julia Michaels ~ Heaven",27
"2bmSoVE0rXEI6fGuy14QyA","Spring","Chris Burton ~ Love Letters",27
"4yQluMXsIRql36ErBHux2f","Spring","Jeremy Zucker ~ you were good to me - shallou remix",27
"3jJF3ryUPsdhvZKpmmfSZh","Summer","Ludovico Einaudi ~ Giorni Dispari",27
"0V5cvmTKsYmF5FmGGEAfmS","Summer","Patrick Watson ~ Je te laisserai des mots",27
"152lZdxL1OR0ZMW6KquMif","Summer","Khalid ~ Location",27
"7vGuf3Y35N4wmASOKLUVVU","Summer","Marshmello ~ Silence",27
"41zXlQxzTi6cGAjpOXyLYH","Summer","Billie Eilish ~ idontwannabeyouanymore",27
"0u2P5u6lvoDfwTYjAADbn4","Summer","Billie Eilish ~ lovely (with Khalid)",27
"0xE4LEFzSNGsz1F6kvXsHU","Winter","Mac Miller ~ Circles",27
"4hObp5bmIJ3PP3cKA9K9GY","Winter","Bobby McFerrin ~ Don't Worry Be Happy",27
"1wpyVNJcutD5uYyjDreWaW","Winter","The Piano Guys ~ Let It Go",27
"3TgaPzOX2706KUeTyA7DFx","Winter","The Piano Guys ~ Over the Rainbow / Simple Gifts",27
"1Pw5C4N6Fn5E4mGCxmbbVa","Winter","James Arthur ~ Say You Won't Let Go",27
"2NeM9rfWo70KQej9GxeaoL","Winter","SYML ~ Where's My Love",27
"50AtbZbvd3OXD2NDqy4G29","Fall","Mauve ~ By My Side",26
"0bZ52QzCCKfrfOqs7za6lI","Fall","Hozier ~ Cherry Wine - Live",26
"3ZsVXh7a8HxYWxzDCHjQfN","Fall","Ollie MN ~ Friendly Dark",26
"3cR5ZtQ4JqGj4VHBb1gvFf","Fall","CNCO ~ Hey DJ - Remix",26
"3mlXW9R2E7vVlhoIkkyfLg","Fall","Kevin Garrett ~ Little Bit of You",26
"2b8fOow8UzyDFAE27YhOZM","Fall","Maroon 5 ~ Memories",26
"5uEcslrmFzkDqTaFB26yj2","Fall","The Piano Guys ~ The Cello Song",26
"7pt64sepCy5QmDrgy9wOJS","Fall","Kamal. ~ blue",26
"0SuLAslEMFZAXf0SwY7syi","Spring","Jon Bellion ~ All Time Low",26
"3umS4y3uQDkqekNjVpiRUs","Spring","Nicky Jam ~ El Amante",26
"0wcHV7AT77zzyH4ftt11vh","Spring","SYML ~ Girl",26
"1sjXaEmqj5cRMns8rWYnKe","Spring","Shoffy ~ I Can't Help",26
"1zrP8IY1FZEqFJpYLCGOls","Spring","Lofi Fruits Music ~ I'm Yours",26
"44N88sNHQkshMjQsF2mJfG","Spring","The Piano Guys ~ Just the Way You Are",26
"3gbBpTdY8lnQwqxNCcf795","Spring","Bastille ~ Pompeii",26
"2VlLbhGLVJgdOW7kKdWWFc","Spring","Billie Eilish ~ Six Feet Under",26
"1dEjVZ2BoFgPeL71KLiseD","Spring","Stanislav Gallin ~ The Meadow (From """"The Twilight Saga: New Moon"""")",26
"43vJhPJKdY2aLz7bODyrtg","Spring","LEON ~ You And I - SAINT WKND Remix",26
"7pt64sepCy5QmDrgy9wOJS","Spring","Kamal. ~ blue",26
"59wlTaYOL5tDUgXnbBQ3my","Summer","ODESZA ~ A Moment Apart",26
"2OY0rTp6WTvXXdqrv0EE0G","Summer","Fuse ODG ~ Boa Me (feat. Ed Sheeran & Mugeez)",26
"7q0aQpiLv5tIsupcgQ3Ny4","Summer","George Ezra ~ Budapest",26
"7v7teR4FtyiZzkc1tX2a4V","Summer","Klangkarussell ~ Hey Maria - Elderbrook Remix",26
"3nc420PXjTdBV5TN0gCFkS","Summer","Martin Garrix ~ Ocean (feat. Khalid)",26
"0GQngE2rOYvlKwEQjTAsP8","Summer","Pritam ~ Subhanallah",26
