"ID","Season","Song","Plays"
"1101829273088157777","Fall","whiterosemoxie ~ CALL!",48
"-987804768053371250","Fall","Jack Harlow ~ RAIN",48
"1606956985629837893","Fall","Travis Scott ~ goosebumps",48
"-6177339885182583881","Spring","Flatbush Zombies ~ Leather Symphony (feat. A$AP Twelvyy)",48
"4486073220061690411","Spring","Isaiah Rashad ~ Ronnie Drake (feat. SZA)",48
"7083355610053763616","Winter","Slim Jxmmi ~ Brxnks Truck (feat. Rae Sremmurd)",48
"-1997042080132882185","Fall","whiterosemoxie ~ camcorder",47
"5424103369417238383","Fall","Young Thug, Travis Scott ~ pick up the phone",47
"-6177020886946414477","Spring","Drake ~ Hype",47
"8019129469187384190","Spring","Drake ~ Keep the Family Close",47
"2757098175092606318","Spring","Kendrick Lamar ~ Momma",47
"7657875641467999034","Spring","Aries ~ RACECAR",47
"8811905097544215381","Spring","VIC MENSA ~ Say I Didn't",47
"7800638320564282873","Summer","Jonah Zed ~ Horizons",47
"4919364610692017187","Fall","Aries ~ GENIE",46
"-6898332321228824433","Fall","whiterosemoxie ~ Wi_Fi (feat. Daboat)",46
"8884854788976599534","Fall","Travis Scott ~ first take",46
"-6895555128053701638","Fall","whiterosemoxie ~ other times",46
"-4521395419014468186","Spring","Joey Bada$$ ~ DEVASTATED",46
"1819869036782104634","Spring","Radiohead ~ Paranoid Android",46
"7371959498253950411","Summer","Bryson Tiller ~ Sorry Not Sorry",46
"5855118730034474784","Winter","Future ~ March Madness",46
"4128049354129243301","Winter","Travis Scott ~ beibs in the trap",46
"2180471882190907299","Fall","Ramzoid ~ DOWN",45
"-3870958301731860486","Fall","Mick Jenkins ~ Jazz",45
"739524815093794650","Fall","JID, J. Cole ~ Off Deez",45
"-6106838751798039012","Spring","PARTYNEXTDOOR ~ ANOTHER DAY",45
"-3943701555869915128","Spring","Kendrick Lamar ~ Alright",45
"-6395102449639921716","Spring","No Fun Haus ~ Falling Down",45
"-413358565430822344","Spring","Drake ~ One Dance (feat. Wizkid & Kyla)",45
"-1851467303713890945","Spring","Isaiah Rashad ~ West Savannah (feat. SZA)",45
"1822421513969144070","Summer","Kanye West ~ Good Morning",45
"-8268242650715166561","Summer","Joey Bada$$ ~ My Yout (feat. Maverick Sabre)",45
"3694136891585156637","Summer","Kendrick Lamar ~ m.A.A.d city (feat. MC Eiht)",45
"-9204463236985735001","Winter","Future ~ Crushed Up",45
"-411853117830872874","Fall","Ramzoid ~ Castle",44
"1171729969915939649","Fall","J. Cole ~ Immortal",44
"2685535371635428465","Fall","Bryson Tiller ~ Overtime",44
"-2285660399221397424","Fall","Mick Jenkins ~ The Healing Component",44
"4271106481268740593","Spring","Drake ~ 9",44
"3192009524692424043","Spring","Isaiah Rashad ~ Banana",44
"-7618170161945041389","Spring","Chance the Rapper ~ Blessings (feat. Ty Dolla $ign, Raury, BJ The Chicago Kid & Anderson .Paak)",44
"4054663879113224911","Spring","Kendrick Lamar ~ ELEMENT.",44
"1892953544159843146","Spring","Radiohead ~ Exit Music (For a Film)",44
"598396372573741893","Spring","Rae Sremmurd ~ Look Alive",44
"6359119778427203074","Spring","Juice WRLD ~ Lucid Dreams",44
"-1494095364384246347","Spring","Future ~ March Madness",44
"-917286455971186675","Spring","Verzache ~ Messed Up",44
"-4590591741175852201","Spring","Vince Staples ~ Norf Norf",44
"8595550822080775243","Spring","Vince Staples ~ Senorita",44
"8092479758413665183","Summer","Aries ~ CAROUSEL",44
"-2645000401150802414","Summer","Lil Uzi Vert ~ Money Longer",44
"8955833895455968574","Winter","Juice WRLD, Future ~ Jet Lag (feat. Young Scooter)",44
"1892708526608761303","Fall","Jack Harlow ~ Eastern Parkway",43
"7526755713429421188","Fall","A$AP Rocky ~ Jukebox Joints (feat. Joe Fox x Kanye West)",43
"-2502666353874816135","Spring","Chance the Rapper ~ Blessings (feat. Jamila Woods)",43
"-5382956559245959080","Spring","Isaiah Rashad ~ Cilvia Demo",43
"-4230092540567453930","Spring","Joey Bada$$ ~ LAND OF THE FREE",43
"3983969254125772147","Spring","Vince Staples ~ Lift Me Up",43
"-4951987662129633590","Spring","Drake ~ Still Here",43
"5423697750558844137","Spring","Pusha T ~ The Games We Play",43
"6866280066941442946","Summer","Kanye West ~ Flashing Lights",43
"5424814134872752688","Summer","Jack Harlow ~ SUNDOWN",43
"-1422901846417580538","Summer","Isaiah Rashad ~ Smile",43
"-3796925354853802799","Winter","Lil Uzi Vert ~ Erase Your Social",43
"2180314672150921832","Winter","Future ~ Fresh Air",43
"1388212372742311035","Winter","Travis Scott, Quavo, HUNCHO JACK ~ Motorcycle Patches",43
"-7617568672756258639","Winter","Aries ~ SANTA MONICA",43
"-6896173149861050959","Winter","Lil Uzi Vert ~ The Way Life Goes (feat. Oh Wonder)",43
"-2572895804684889906","Fall","Travis Scott ~ 90210 (feat. Kacy Hill)",42
"4128502541582786027","Fall","Jack Harlow ~ 9TH GRADE",42
"-1996329664692288504","Fall","Mick Jenkins ~ Fall Through",42
"6649725540041747971","Fall","Travis Scott ~ HOUSTONFORNICATION",42
"1604195286602320503","Fall","Mick Jenkins ~ Healer (feat. Jean Deaux)",42
"-4951352580856588692","Fall","Jack Harlow ~ KNACK FOR IT",42
"2036056149870515437","Fall","Mick Jenkins ~ Plugged",42
"-9058419547770125370","Spring","Isaiah Rashad ~ Hereditary",42
"6072386509225333127","Spring","Joey Bada$$ ~ LEGENDARY (feat. J. Cole)",42
"-1205620113876425751","Spring","Chance the Rapper ~ Summer Friends (feat. Jeremih & Francis & The Lights)",42
"1747708487878663285","Spring","Dr. Dre ~ The Next Episode",42
"1244027829470252576","Spring","Anderson .Paak ~ The Waters (feat. BJ the Chicago Kid)",42
"6936498363793911805","Spring","Kendrick Lamar ~ These Walls (feat. Bilal, Anna Wise & Thundercat)",42
"2038546459011423424","Summer","Isaiah Rashad ~ All Herb (feat. Amindi)",42
"-2141451387275846274","Summer","Lil Uzi Vert ~ Grab the Wheel",42
"6647819603646962267","Summer","Travis Scott ~ HOUSTONFORNICATION",42
"-845034754595653856","Summer","Kanye West ~ No More Parties in LA",42
"-3077494804459253451","Summer","Playboi Carti ~ R.I.P. Fredo (feat. Young Nudy)",42
"-7184716664493009796","Summer","Lil Uzi Vert ~ You Was Right",42
"-2502667686245305259","Winter","Jack Harlow ~ WHATS POPPIN",42
"-2141470171931665459","Fall","Kendrick Lamar ~ DNA.",41
"8522546146148528868","Fall","ScHoolboy Q ~ Man of the Year",41
"-9204319907728803139","Fall","Bryson Tiller ~ Self Righteous",41
"3551436887942097526","Fall","Isaiah Rashad ~ Tity and Dolla (feat. Hugh Augustine & Jay Rock)",41
"236907921417100672","Spring","Tyler, The Creator ~ A BOY IS A GUN",41
"-196234130407080192","Spring","Isaiah Rashad ~ Brad Jordan (feat. Michael Da Vinci)",41
"8161188140684045543","Spring","Domo Genesis ~ Coming Back (feat. MAC MILLER)",41
"-2355928197202610036","Spring","Childish Gambino ~ I. The Worst Guys (feat. Chance The Rapper)",41
"-6897892026442875042","Spring","J. Cole ~ January 28th",41
"-1203514042631183892","Spring","A$AP Rocky ~ Jukebox Joints (feat. Joe Fox x Kanye West)",41
"8453149065178050698","Spring","Kendrick Lamar ~ King Kunta",41
"1462605836966659641","Spring","ScHoolboy Q ~ Numb Numb Juice",41
"6072821485607807669","Spring","Mike WiLL Made-It ~ Razzle Dazzle (feat. Future)",41
"7801739750670839891","Spring","Radiohead ~ Subterranean Homesick Alien",41
"-3580509994809635484","Spring","Drake ~ Weston Road Flows",41
"5855085698635079635","Summer","PARTYNEXTDOOR ~ ANOTHER DAY",41
"3045331734628574665","Summer","Mick Jenkins ~ Black Sheep",41
"4919866458070778494","Summer","Daniel Caesar ~ Get You (feat. Kali Uchis)",41
"-8194084790298364726","Summer","Aries ~ KIDS ON MOLLY",41
"-1707499520222489125","Summer","Isaiah Rashad ~ Nelly",41
"8379785572856582996","Summer","Joey Bada$$ ~ O.C.B.",41
"6503284862149404872","Summer","Tyler, The Creator ~ SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)",41
"-7042043201435204600","Winter","Aries ~ AMY'S GRAVE",41
"-4520980798264621181","Winter","Rich Brian ~ Cold",41
"-7763058566832849271","Winter","Danny Brown ~ Grown Up",41
"7083221222878233255","Winter","Verzache ~ Kick It",41
"-4949905614441287635","Winter","Lil Skies ~ Red Roses (feat. Landon Cube)",41
"8882211543756263635","Fall","A$AP Rocky ~ Excuse Me",40
"-1638950227233109992","Fall","Ty Dolla $ign ~ Love U Better (feat. Lil Wayne & The-Dream)",40
"4846149266987434268","Fall","Ramzoid ~ Red Beams",40
"6431587132507202287","Fall","Pusha T, Kanye West ~ Runaway (feat. Pusha T)",40
"-7691843786700999049","Fall","Mick Jenkins ~ Shipwrecked (feat. The Mind)",40
"-3294556792589753532","Spring","Joey Bada$$ ~ FOR MY PEOPLE",40
