"ID","SchoolPeriod","Song","Plays"
"-4160301007738452131","9th Grade","Mick Jenkins ~ Comfortable (feat. No Name Gypsy)",46
"-53022503058996776","9th Grade","Bryson Tiller ~ Exchange",46
"7080697987254583559","9th Grade","Kendrick Lamar ~ HUMBLE.",46
"7011443216029912170","Freshman Year","Verzache ~ Messed Up",46
"525067057965448517","Sophomore Year","Aries ~ DESPERADO",46
"-6896173149861050959","10th Grade","Lil Uzi Vert ~ The Way Life Goes (feat. Oh Wonder)",45
"237320008677097633","9th Grade","Travis Scott ~ Butterfly Effect",45
"4922181823942867285","9th Grade","Bryson Tiller ~ Sorry Not Sorry",45
"1607266972790631720","Sophomore Year","Jonah Zed ~ Happy Now",45
"2901151332135320830","10th Grade","Travis Scott ~ Wasted (feat. Juicy J)",44
"1747708487878663285","9th Grade","Dr. Dre ~ The Next Episode",44
"-1565893578290504631","9th Grade","Travis Scott ~ the ends",44
"4272951468476722509","Sophomore-Junior Summer","Tom The Mail Man ~ Holdin On",44
"-8336684601563844610","Sophomore-Junior Summer","Patrick Cc:, Jonah Zed ~ Reckless",44
"-6464962299015640527","10th Grade","J. Cole ~ KOD",43
"4704679554335894148","10th Grade","SOB X RBE ~ Paramedic!",43
"-8122392002102741926","10th-11th Summer","Travis Scott ~ SICKO MODE",43
"7443567683479117844","11th Grade","Vince Staples ~ FUN!",43
"7657875641467999034","11th Grade","Aries ~ RACECAR",43
"8953442972003160456","12th-Freshman Summer","PARTYNEXTDOOR ~ EYE ON IT",43
"2472425142014056981","8th Grade","A$AP Rocky ~ 1Train (feat. Kendrick Lamar, Joey Badass, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)",43
"8378804384854060802","8th Grade","Drake ~ U With Me?",43
"3262365390220085077","9th Grade","A$AP Rocky ~ Holy Ghost (feat. Joe Fox)",43
"-6823205868663604122","9th Grade","Chance the Rapper ~ No Problem (feat. Lil Wayne & 2 Chainz)",43
"1894991730363393350","9th Grade","Joey Bada$$ ~ Paper Trail$",43
"-7904474261972392328","10th Grade","Kendrick Lamar ~ XXX. (FEAT. U2.)",42
"1606956985629837893","10th Grade","Travis Scott ~ goosebumps",42
"1244810192168819160","11th Grade","Earl Sweatshirt ~ Faucet",42
"4991648625151991392","11th Grade","Travis Scott ~ STARGAZING",42
"-5169916944180841475","9th Grade","Jazz Cartier ~ . Tales / Psycho '93 Freestyle",42
"8812983542193054094","9th Grade","Joey Bada$$ ~ TEMPTATION",42
"1604473172995758396","9th Grade","Young Thug ~ Wyclef Jean",42
"-6895147840483439921","10th Grade","Kendrick Lamar ~ LOYALTY. (FEAT. RIHANNA.)",41
"8453024720156432395","10th Grade","Travis Scott ~ way back",41
"237626972849045105","11th Grade","Joey Purp ~ Paint Thinner",41
"3408787039908536772","8th Grade","J. Cole ~ Fire Squad",41
"4560100326171154104","9th Grade","Chance the Rapper ~ Angels (feat. Saba)",41
"-4521395419014468186","9th Grade","Joey Bada$$ ~ DEVASTATED",41
"3837580948736521841","Freshman Year","Ramzoid ~ Enemy",41
"237668401387629198","10th Grade","Lil Skies ~ Nowadays (feat. Landon Cube)",40
"-1996135346006860956","10th Grade","Vince Staples ~ Senorita",40
"2830917789574104743","11th Grade","Jack Harlow ~ 9TH GRADE",40
"8592993618108274148","11th Grade","Future ~ Crushed Up",40
"6215361075123037266","11th Grade","Travis Scott ~ HOUSTONFORNICATION",40
"8955833895455968574","11th Grade","Juice WRLD, Future ~ Jet Lag (feat. Young Scooter)",40
"6722438108644462680","12th Grade","Roddy Ricch ~ Boom Boom Room",40
"2831134286105808406","12th Grade","Lil Baby ~ Woah",40
"7155303027141651326","12th-Freshman Summer","PARTYNEXTDOOR ~ ANOTHER DAY",40
"1892953544159843146","12th-Freshman Summer","Radiohead ~ Exit Music (For a Film)",40
"5642466977215500122","8th Grade","Chance the Rapper ~ All We Got (feat. Kanye West & Chicago Children's Choir)",40
"-2503286470638935698","8th Grade","Drake ~ Feel No Ways",40
"957243205206641281","8th Grade","Kendrick Lamar ~ Ignorance Is Bliss",40
"2036056149870515437","9th Grade","Mick Jenkins ~ Plugged",40
"-3077156318227729429","9th Grade","Travis Scott ~ way back",40
"-1997042080132882185","Freshman Year","whiterosemoxie ~ camcorder",40
"7584272958356481385","Sophomore-Junior Summer","Kendrick Lamar, Blxst, Amanda Reifer ~ Die Hard",40
"-5961535894730445826","Sophomore-Junior Summer","Tom The Mail Man ~ Mood Swings",40
"-1638950227233109992","10th Grade","Ty Dolla $ign ~ Love U Better (feat. Lil Wayne & The-Dream)",39
"-5673602571848766097","11th Grade","Aries ~ BAD NEWS",39
"7008255610437056478","12th Grade","Jack Harlow ~ Eastern Parkway",39
"-2502667686245305259","12th Grade","Jack Harlow ~ WHATS POPPIN",39
"596208299913920581","12th-Freshman Summer","PARTYNEXTDOOR ~ TOUCH ME",39
"-6177020886946414477","8th Grade","Drake ~ Hype",39
"-7257940887428890016","8th Grade","Bryson Tiller ~ Intro (Difference)",39
"8019129469187384190","8th Grade","Drake ~ Keep the Family Close",39
"-8123754694670799388","8th Grade","Bryson Tiller ~ Sorry Not Sorry",39
"-771258862019519617","8th Grade","Kendrick Lamar ~ i",39
"7299306543608980925","8th-9th Summer","Joey Bada$$ ~ Big Dusty",39
"1604151531605941485","9th Grade","Mick Jenkins ~ Alchemy",39
"-5889511340974063311","9th Grade","Joey Bada$$ ~ LAND OF THE FREE",39
"6503284862149404872","Freshman-Sophomore Summer","Tyler, The Creator ~ SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)",39
"-8266546511303550417","10th Grade","Future ~ Zoom",38
"-9060615071802939509","10th-11th Summer","Jack Harlow ~ 9TH GRADE",38
"-6754109145625509505","8th Grade","Earl Sweatshirt ~ Chum",38
"4128520651221236761","8th Grade","Childish Gambino ~ I. The Worst Guys (feat. Chance The Rapper)",38
"6506567597280232204","9th Grade","Migos ~ Bad and Boujee (feat. Lil Uzi Vert)",38
"1819568228653563489","9th Grade","6LACK ~ Ex Calling",38
"4343838726531960766","9th Grade","PnB Rock ~ Heart Racin'",38
"7368710898018217436","9th Grade","A$AP Mob ~ Nasty's World (feat. A$AP Nast & ONYX)",38
"8669382456361197338","9th Grade","Mick Jenkins ~ Shipwrecked (feat. The Mind)",38
"6505112687114502964","10th Grade","Kendrick Lamar ~ ELEMENT.",37
"6359119778427203074","10th Grade","Juice WRLD ~ Lucid Dreams",37
"5279356735005892804","10th Grade","Travis Scott ~ Watch (feat. Lil Uzi Vert & Kanye West)",37
"4053736436811242953","11th Grade","Vince Staples ~ Don't Get Chipped",37
"8090604950837556912","11th Grade","Mick Jenkins ~ Pull Up",37
"-7978587989675858428","11th Grade","Travis Scott ~ SICKO MODE",37
"4128502541582786027","12th Grade","Jack Harlow ~ 9TH GRADE",37
"4485683409018339744","12th Grade","Daniel Caesar ~ CYANIDE",37
"6218343453862687207","8th Grade","Drake ~ 9",37
"7946478806193448626","8th Grade","Macklemore & Ryan Lewis ~ Need to Know (feat. Chance the Rapper)",37
"-3727074180358653053","8th-9th Summer","Joey Bada$$ ~ Christ Conscious",37
"4127714596952802896","8th-9th Summer","Isaiah Rashad ~ Nelly",37
"-7187740385372703634","9th Grade","A$AP Rocky ~ 1Train (feat. Kendrick Lamar, Joey Badass, Yelawolf, Danny Brown, Action Bronson & Big K.R.I.T.)",37
"1893627020299691939","9th Grade","Mick Jenkins ~ Drowning (feat. Badbadnotgood)",37
"6503757063756586543","9th Grade","MadeinTYO ~ Skateboard P",37
"-2572879436935601532","9th-10th Summer","BROCKHAMPTON ~ Gummy",37
"-9204319907728803139","Freshman Year","Bryson Tiller ~ Self Righteous",37
"1388212372742311035","10th Grade","Travis Scott, Quavo, HUNCHO JACK ~ Motorcycle Patches",36
"7297397780062147509","10th Grade","Bryson Tiller ~ Set It Off",36
"5282226290583312180","11th Grade","Jack Harlow ~ PICKYOURPHONEUP (feat. K CAMP)",36
"-7688329669485299728","11th Grade","Mick Jenkins ~ Reginald (feat. Ben Hixon)",36
"8018994694745557667","12th Grade","DaBaby ~ BOP",36
"9027566327046018101","8th Grade","ScHoolboy Q ~ Break the Bank",36
"-338275294957751338","8th-9th Summer","Joey Bada$$ ~ Hazeus View",36
"164455654293784667","9th Grade","Jazz Cartier ~ . Black and Misguided",36
"1171729969915939649","9th Grade","J. Cole ~ Immortal",36
"2685535371635428465","9th Grade","Bryson Tiller ~ Overtime",36
"-4013469717808910292","9th Grade","6LACK ~ PRBLMS",36
"-2357213337492820681","9th Grade","PnB Rock ~ Stand Back (feat. A Boogie wit da Hoodie)",36
"-2285660399221397424","9th Grade","Mick Jenkins ~ The Healing Component",36
"6217096926971899817","Sophomore-Junior Summer","Greta Van Fleet ~ Edge of Darkness",36
"-341529258122990830","Sophomore-Junior Summer","Greta Van Fleet ~ Highway Tune",36
"-412659001167456275","10th Grade","Kendrick Lamar ~ DUCKWORTH.",35
"-5889599806997498560","10th Grade","Lil Uzi Vert ~ Neon Guts (feat. Pharrell Williams)",35
"-7544726436902621461","10th Grade","Quality Control, Migos ~ Too Hotty",35
"-2860344320200262379","8th Grade","Anderson .Paak ~ Drugs",35
"-6682624358251361122","8th Grade","Rae Sremmurd ~ Look Alive",35
"-2501743004628226330","9th Grade","Big Sean ~ Bounce Back",35
"1316297238944507954","9th Grade","Mac Miller ~ Cinderella (feat. Ty Dolla $ign)",35
"4704840369248605653","9th Grade","Mac Miller ~ Congratulations (feat. Bilal)",35
"8164085392770258100","9th Grade","A$AP Rocky ~ Everyday (feat. Rod Stewart x Miguel x Mark Ronson)",35
"1101630988983384682","9th Grade","Mick Jenkins ~ Martyrs",35
"811683118315868440","9th Grade","Jazz Cartier ~ Tempted",35
"-5745471860861979850","9th Grade","Joey Bada$$ ~ Waves",35
"307318234316492505","Freshman Year","Bryson Tiller ~ Timeless Interlude",35
"-3800318518695152640","10th Grade","Ski Mask the Slump God ~ Catch Me Outside",34
"5713956301907031400","10th Grade","Rich The Kid ~ Dead Friends",34
"-7114275049733770456","10th Grade","Travis Scott ~ I Can Tell",34
"-2355540945924156183","10th Grade","Travis Scott, Quavo, HUNCHO JACK ~ Modern Slavery",34
"8595322901663564699","10th Grade","Swae Lee, Slim Jxmmi, Rae Sremmurd ~ Powerglide (feat. Juicy J)",34
"1171071103250069204","11th Grade","Aries ~ DEITY",34
"-8697145189320484650","11th Grade","Ramzoid ~ DOWN",34
"1170987403367409093","11th Grade","Sheck Wes ~ Gmail",34
"1391138027452643367","12th Grade","Shoreline Mafia ~ Bands (feat. Ohgeesy, Fenix Flexin & Master Kato)",34
"-2644764216104507792","12th Grade","Travis Scott ~ HIGHEST IN THE ROOM",34
"8309067861038622896","12th Grade","Roddy Ricch ~ Tip Toe (feat. A Boogie wit da Hoodie)",34
"3334602520166542054","8th Grade","Danny Brown ~ Grown Up",34
"5784496312927353307","8th Grade","Drake ~ Redemption",34
"-2717051239788031922","8th Grade","Isaiah Rashad ~ Shot You Down (feat. Jay Rock & ScHoolboy Q)",34
"-4951987662129633590","8th Grade","Drake ~ Still Here",34
"7945486275946661893","8th Grade","Kendrick Lamar ~ Wesley's Theory (feat. George Clinton & Thundercat)",34
"-4737683633714207878","9th Grade","Chance the Rapper ~ All We Got (feat. Kanye West & Chicago Children's Choir)",34
"7296814762260037411","9th Grade","Isaiah Rashad ~ Find a Topic (homies begged)",34
"-3943312562317318758","9th Grade","A$AP Rocky ~ JD",34
"-7256531061009010017","9th Grade","XXXTENTACION ~ Look at Me!",34
"2903841472244275186","9th Grade","A$AP Rocky ~ Lord Pretty Flacko Jodye 2 (LPFJ2)",34
"1463589964381911069","9th Grade","Frank Ocean ~ Self Control",34
"-3797922676079708027","9th Grade","Mick Jenkins ~ Vibe",34
"-8626170981536708706","9th Grade","Isaiah Rashad ~ Wat's Wrong (feat. Zacari & Kendrick Lamar)",34
"-9057181814235635768","9th Grade","Travis Scott ~ sdp interlude",34
"8017408286758531387","Freshman Year","Verzache ~ Evil",34
"-5166025102290414226","Freshman Year","Patrick Cc: ~ Fall Damage (feat. Malik, Kwe the Artist & SEBii)",34
"-5958397788806434278","Sophomore Year","Isaiah Rashad ~ All Herb (feat. Amindi)",34
"-4808833561560120889","Sophomore Year","Aries ~ BOUNTY HUNTER",34
"1030472216695861545","10th Grade","Smokepurpp, Murda Beatz ~ Do Not Disturb (feat. Lil Yachty & Offset)",33
"9169829844638682741","10th Grade","Kendrick Lamar ~ FEAR.",33
"2902204480198627366","10th Grade","Kendrick Lamar ~ Hood Politics",33
"1463616443724061289","10th Grade","Travis Scott ~ the ends",33
"1677552452930130393","11th Grade","Aries ~ DEADMAN WUNDERLAND",33
"-3439469444297346740","12th Grade","Aries ~ CAROUSEL",33
"1247196454082450211","12th Grade","Jack Harlow ~ KNACK FOR IT",33
"-1783374786143711264","12th Grade","Roddy Ricch ~ Moonwalkin (feat. Lil Durk)",33
"-5887034040534057474","12th-Freshman Summer","PARTYNEXTDOOR ~ SHOWING YOU",33
"7801739750670839891","12th-Freshman Summer","Radiohead ~ Subterranean Homesick Alien",33
"7081114597136740341","12th-Freshman Summer","Pink Floyd ~ Time",33
