"ID","Month","Song","Plays"
"7cflqPPi3zWfLFRRBTWeh6","04","Jeremy Zucker ~ talk is overrated",15
"4CxFN5zON70B3VOPBYbd6P","04","Jeremy Zucker ~ you were good to me",15
"4aSfgWmRa9KsISD4Jmx7QB","05","Kygo ~ This Town (feat. Sasha Alex Sloan)",15
"5iwz1NiezX7WWjnCgY5TH4","06","Pedro Capo ~ Calma - Remix",15
"5brMyscUnQg14hMriS91ks","06","The Chainsmokers ~ Kanye",15
"6WdJAm69trFyexngKDHHVJ","06","A R I Z O N A ~ Oceans Away - Mansionair Remix",15
"2R0FW1n6cOkQDJhAkQENsf","06","Ed Sheeran ~ Perfect",15
"0B3FovCVaGKS5w1FTidEUP","08","Blue Ivy ~ BROWN SKIN GIRL",15
"5A3fPy30SN2wuzrahpcxvV","08","Andy Grammer ~ Don't Give Up On Me - (From """"Five Feet Apart"""")",15
"1sjXaEmqj5cRMns8rWYnKe","08","Shoffy ~ I Can't Help",15
"25U7raB3ZSszayTYClh4hF","08","Israel Kamakawiwo'ole ~ Somewhere Over The Rainbow_What A Wonderful World",15
"0lchLc0vSyRRqKSPIkFtJI","08","Whethan ~ Superlove (feat. Oh Wonder)",15
"6wo37KVqFJhtuxPTpLCcfe","08","The Chainsmokers ~ Takeaway (feat. Lennon Stella)",15
"01D7nX5t321cgGgehXH0MU","08","Kazy Lambist ~ Work (feat. Pongo)",15
"2Fxmhks0bxGSBdJ92vM42m","08","Billie Eilish ~ bad guy",15
"2OY0rTp6WTvXXdqrv0EE0G","09","Fuse ODG ~ Boa Me (feat. Ed Sheeran & Mugeez)",15
"1DWZUa5Mzf2BwzpHtgbHPY","09","Mac Miller ~ Good News",15
"7bdYxWPCs46dQ0XLwySOyv","09","Jeremy Zucker ~ better off",15
"4SlCYFaUQ8GRuwdpgniaGF","10","KSHMR ~ Bombay Dreams (feat. Kavita Seth)",15
"0t488LlnuTDRjklgkotom9","10","Jai Wolf ~ Indian Summer",15
"2R0FW1n6cOkQDJhAkQENsf","10","Ed Sheeran ~ Perfect",15
"2VlLbhGLVJgdOW7kKdWWFc","10","Billie Eilish ~ Six Feet Under",15
"1dEy9Pl81QopSxNsPxXQxv","10","Rihanna ~ Stay",15
"5HAEB509xZqKZV5sPzurSr","10","KSHMR ~ The World We Left Behind (feat. KARRA)",15
"18uwL0vNUanqZH0ro2QcOP","10","Jeremy Zucker ~ comethru",15
"4CxFN5zON70B3VOPBYbd6P","10","Jeremy Zucker ~ you were good to me",15
