"Year","Artist","Plays"
"2019","Zacari",61
"2022","Drake, 21 Savage",61
"2022","Travis Scott, Quavo, HUNCHO JACK",61
"2022","XXXTENTACION",61
"2016","Jretro",60
"2017","Fun.",60
"2017","T-Pain",60
"2017","Trippie Redd",60
"2020","Jay Rock",60
"2021","Baby Keem",60
"2021","Madlib, Freddie Gibbs",60
"2022","Lil Skies",60
"2018","JPEGMAFIA",59
"2019","Juice WRLD, Future",59
"2019","Lil Baby, Gunna",59
"2021","The Beach Boys",59
"2022","Chance the Rapper",59
"2022","DJ Khaled",59
"2018","Miguel",58
"2018","tobi lou",58
"2019","Big K.R.I.T.",58
"2020","BROCKHAMPTON",58
"2022","6LACK",58
"2016","Common",57
"2016","Jay Rock",57
"2020","Mir Fontane",57
"2020","Of Monsters and Men",57
"2020","Vince Staples",57
"2021","Mere Raj",57
"2021","Pop Smoke",57
"2019","Dave East",56
"2022","Yeat",56
"2016","Kanye West, JAY-Z",55
"2017","A$AP Ferg",55
"2017","NxWorries",55
"2018","Slim Jxmmi",55
"2021","Lil Skies",55
"2022","A$AP Mob",55
"2022","Miguel",55
"2016","Odd Future",54
"2016","Rick Ross, Kanye West",54
"2017","21 Savage",54
"2022","Maroon 5",54
"2019","Dr. Dre",53
"2020","PnB Rock",53
"2021","DJ Dahi, Brent Faiyaz",53
"2021","Pusha T",53
"2022","Dave East",53
"2016","Kodak Black",52
"2017","Metro Boomin, Big Sean",52
"2021","Lil Wayne",52
"2021","PnB Rock",52
"2021","Rae Sremmurd",52
"2022","Led Zeppelin",52
"2019","Ty Dolla $ign",51
"2020","Don Toliver",51
"2021","Flatbush Zombies",51
"2021","Koi",51
"2022","Daniyel",51
"2022","Freddie Gibbs",51
"2017","Kevin Abstract",50
"2019","A$AP Mob",50
"2019","Lil Keed",50
"2020","Baby Keem",50
"2021","Gunna",50
"2021","Kirk Knight",50
"2022","JAY-Z",50
"2022","Kendrick Lamar, Blxst, Amanda Reifer",50
"2016","Lupe Fiasco",49
"2018","Danny Brown",49
"2020","DaBaby",49
"2021","Dr. Dre",49
"2021","Lil Uzi Vert, Future",49
"2021","Young Thug, Young Stoner Life",49
"2017","A Boogie wit da Hoodie",48
"2017","Pusha T",48
"2018","VIC MENSA",48
"2019","Baby Smoove",48
"2019","James Blake",48
"2020","MAVI",48
"2021","Chester Watson",48
"2021","Migos",48
"2022","Nas",48
"2022","The Cure",48
"2017","Buddy",47
"2017","Ugly God",47
"2018","Big K.R.I.T.",47
"2021","JAY-Z",47
"2021","Jay Rock",47
"2022","Patrick Cc:",47
"2022","nothing,nowhere.",47
"2016","Lil Yachty",46
"2018","JID, J. Cole",46
"2018","Yung Bans",46
"2022","Flatbush Zombies",46
"2022","Migos",46
"2018","Bas",45
"2019","VIC MENSA",45
"2021","Pink Floyd",45
"2021","Travis Scott, Quavo, HUNCHO JACK",45
"2021","Young Thug, Young Stoner Life, Gunna",45
