"SchoolPeriod","Artist","Plays"
"Freshman-Sophomore Summer","Coldplay",51
"Freshman-Sophomore Summer","GoldLink",51
"Sophomore Year","Boston",51
"10th-11th Summer","Post Malone",50
"11th Grade","Billie Eilish",50
"11th-12th Summer","Kanye West",50
"12th Grade","Tyler, The Creator",50
"Freshman Year","24kGoldn",50
"Freshman Year","Brent Faiyaz",50
"Freshman-Sophomore Summer","Bruno Mars",50
"10th Grade","The Beatles",49
"12th Grade","Coldplay",49
"Sophomore Year","Fitz and The Tantrums",49
"Sophomore-Junior Summer","XXXTENTACION",49
"10th Grade","Big Sean",48
"10th Grade","Khalid",48
"11th Grade","Eagles",48
"Freshman Year","Tom Petty and the Heartbreakers",48
"Freshman-Sophomore Summer","The Weeknd",48
"Sophomore Year","TOTO",48
"Sophomore-Junior Summer","Queen",48
"10th Grade","XXXTENTACION",47
"12th Grade","Mike Posner",47
"12th-Freshman Summer","Billie Eilish",47
"12th-Freshman Summer","Frank Ocean",47
"9th-10th Summer","Kanye West",47
"10th Grade","Jay Rock",46
"10th Grade","NAV",46
"11th Grade","Led Zeppelin",46
"12th-Freshman Summer","Bryson Tiller",46
"Freshman-Sophomore Summer","Mac Miller",46
"Sophomore-Junior Summer","J. Cole",46
"10th Grade","G-Eazy",45
"10th Grade","Green Day",45
"11th Grade","Huncho Jack",45
"11th Grade","Young Thug",45
"11th-12th Summer","Tory Lanez",45
"12th Grade","Justin Bieber",45
"8th Grade","Jon Bellion",45
"Freshman Year","Cage The Elephant",45
"Freshman-Sophomore Summer","Calvin Harris",45
"Freshman-Sophomore Summer","Fitz and The Tantrums",45
"11th Grade","SOB X RBE",44
"11th-12th Summer","Marshmello",44
"11th-12th Summer","Mustard",44
"12th Grade","Bantu",44
"9th Grade","Drake",44
"Freshman Year","Dreamville",44
"Freshman-Sophomore Summer","The Beatles",44
"Sophomore-Junior Summer","Childish Gambino",44
"Sophomore-Junior Summer","Thundercat",44
"11th-12th Summer","Shankar-Ehsaan-Loy",43
"12th Grade","Jason Derulo",43
"12th Grade","Juice WRLD",43
"Freshman Year","Giveon",43
"Freshman Year","Young Thug",43
"11th Grade","Dizaro",42
"11th Grade","Khalid",42
"12th Grade","Lil Nas X",42
"Freshman Year","Absofacto",42
"Freshman Year","TOTO",42
"Freshman-Sophomore Summer","Traffic",42
"Sophomore Year","Aries",42
"Sophomore Year","MGMT",42
"Sophomore Year","Miguel",42
"Sophomore Year","Mura Masa",42
"Sophomore Year","Polo G",42
"Sophomore Year","Post Malone",42
"Sophomore-Junior Summer","Bryson Tiller",42
"10th Grade","Usher",41
"12th Grade","Don Toliver",41
"12th-Freshman Summer","The Rolling Stones",41
"Sophomore Year","Rihanna",41
"Sophomore Year","Wallows",41
"Sophomore-Junior Summer","Maroon 5",41
"10th Grade","SOB X RBE",40
"11th Grade","Avicii",40
"11th Grade","Jorja Smith",40
"12th Grade","JAY-Z",40
"12th Grade","Miguel",40
"12th-Freshman Summer","OneRepublic",40
"9th Grade","Maroon 5",40
"Freshman Year","Aliotta Haynes Jeremiah",40
"Freshman Year","CHASE B",40
"Freshman Year","Creedence Clearwater Revival",40
"Freshman Year","Traffic",40
"Sophomore Year","Jhene Aiko",40
"Sophomore-Junior Summer","Young Thug",40
"10th Grade","Adele",39
"10th Grade","Clean Bandit",39
"11th Grade","Tory Lanez",39
"12th Grade","Panic! At The Disco",39
"12th Grade","iann dior",39
"Freshman-Sophomore Summer","Bryson Tiller",39
"Freshman-Sophomore Summer","Tyler, The Creator",39
"Sophomore-Junior Summer","Future",39
"Sophomore-Junior Summer","whiterosemoxie",39
"10th Grade","Migos",38
"11th Grade","Kodak Black",38
"12th Grade","Frank Ocean",38
"12th Grade","Twenty One Pilots",38
"9th-10th Summer","NAV",38
"Freshman Year","Billy Joel",38
"Freshman Year","George Harrison",38
"Freshman Year","Vance Joy",38
"Freshman Year","iann dior",38
"Sophomore Year","Billy Joel",38
"Sophomore Year","Briston Maroney",38
"Sophomore Year","Pacific Air",38
"10th-11th Summer","Maroon 5",37
"11th Grade","Ellie Goulding",37
"11th Grade","Fetty Wap",37
"11th-12th Summer","NAV",37
"12th Grade","Arizona Zervas",37
"12th Grade","Metro Boomin",37
"12th Grade","Noisestorm",37
"12th-Freshman Summer","Led Zeppelin",37
"Freshman Year","A.R. Rahman",37
"Freshman Year","Jonas Blue",37
"Freshman Year","Mac Miller",37
"Freshman Year","PARTYNEXTDOOR",37
"Freshman-Sophomore Summer","MGMT",37
"Freshman-Sophomore Summer","Macklemore & Ryan Lewis",37
"Sophomore-Junior Summer","Lorde",37
"11th Grade","21 Savage",36
"11th Grade","A$AP Rocky",36
"11th Grade","Sheck Wes",36
"11th Grade","XXXTENTACION",36
"Freshman Year","Bryce Vine",36
"Freshman-Sophomore Summer","J. Cole",36
"Sophomore Year","Lil Nas X",36
"Sophomore Year","Young Thug",36
"10th-11th Summer","The Weeknd",35
"10th-11th Summer","blackbear",35
"11th Grade","Childish Gambino",35
"11th Grade","Deraj",35
"11th Grade","Zacari",35
"12th-Freshman Summer","Shakira",35
"Freshman Year","Daft Punk",35
"Freshman Year","Halsey",35
"Freshman Year","Juice WRLD",35
"Freshman Year","The Who",35
"Freshman-Sophomore Summer","Young Thug",35
"11th Grade","Black Eyed Peas",34
"11th Grade","Foster The People",34
"11th Grade","fun.",34
"11th-12th Summer","blackbear",34
"9th Grade","Kanye West",34
"Sophomore Year","Bryce Vine",34
"Sophomore Year","Jeremih",34
"Sophomore Year","boy pablo",34
"Sophomore-Junior Summer","Don Toliver",34
"Sophomore-Junior Summer","SZA",34
"10th Grade","Macklemore & Ryan Lewis",33
"10th Grade","OneRepublic",33
"11th-12th Summer","Queen",33
"12th-Freshman Summer","Mustard",33
"12th-Freshman Summer","Young Thug",33
"Freshman Year","Jimi Hendrix",33
"Freshman Year","Mura Masa",33
"Sophomore Year","Aliotta Haynes Jeremiah",33
"Sophomore Year","Bruno Mars",33
"Sophomore Year","J. Cole",33
"Sophomore Year","Outkast",33
"Sophomore Year","Pop Smoke",33
"11th Grade","Aerosmith",32
"11th Grade","Machine Gun Kelly",32
"12th Grade","The Who",32
"12th-Freshman Summer","Don Toliver",32
"12th-Freshman Summer","Eagles",32
"12th-Freshman Summer","Lil Uzi Vert",32
"9th-10th Summer","21 Savage",32
"Freshman Year","Internet Money",32
"Freshman Year","The Mamas & The Papas",32
"Sophomore Year","DJ Khaled",32
"Sophomore Year","Fleetwood Mac",32
"Sophomore Year","Joey Bada$$",32
"Sophomore Year","Migos",32
"Sophomore Year","Neon Trees",32
"Sophomore Year","ScHoolboy Q",32
"Sophomore-Junior Summer","Lil Uzi Vert",32
"10th Grade","Chance the Rapper",31
"10th Grade","Coldplay",31
"10th Grade","Young Thug",31
"10th Grade","Zedd",31
"10th-11th Summer","XXXTENTACION",31
"11th Grade","Boston",31
"11th Grade","Bruno Mars",31
"11th Grade","DNCE",31
"11th Grade","Hailee Steinfeld",31
"12th Grade","fun.",31
"12th-Freshman Summer","Jethro Tull",31
"8th Grade","Eric Bellinger",31
"9th Grade","KYLE",31
"Freshman Year","Alina Baraz",31
"Freshman Year","Future",31
"Freshman Year","Owl City",31
"Freshman Year","RL Grime",31
"Freshman-Sophomore Summer","Masego",31
"Freshman-Sophomore Summer","Quinn XCII",31
"Freshman-Sophomore Summer","iann dior",31
"Sophomore Year","Foster The People",31
"Sophomore Year","Lil Baby",31
"Sophomore Year","Lorde",31
"Sophomore Year","Mac DeMarco",31
"Sophomore Year","Red Hot Chili Peppers",31
"Sophomore-Junior Summer","Green Day",31
"Sophomore-Junior Summer","Juice WRLD",31
"10th Grade","Lil Wayne",30
"11th Grade","Green Day",30
"11th Grade","Ty Dolla $ign",30
"11th-12th Summer","A.R. Rahman",30
"11th-12th Summer","Lil Wayne",30
"12th Grade","Led Zeppelin",30
"12th-Freshman Summer","Justin Timberlake",30
"12th-Freshman Summer","Roddy Ricch",30
"12th-Freshman Summer","blackbear",30
"Freshman Year","BabyJake",30
"Freshman Year","Ellie Goulding",30
"Freshman-Sophomore Summer","Martin Garrix",30
"Sophomore Year","Green Day",30
"Sophomore Year","Majid Jordan",30
"Sophomore Year","Pitbull",30
"Sophomore Year","Vince Staples",30
"Sophomore-Junior Summer","Calvin Harris",30
"Sophomore-Junior Summer","Gunna",30
"10th-11th Summer","J. Cole",29
"10th-11th Summer","Kanye West",29
"11th Grade","Ansel Elgort",29
"11th-12th Summer","Post Malone",29
"12th Grade","Avicii",29
"12th Grade","Roddy Ricch",29
"12th Grade","YNW Melly",29
"12th-Freshman Summer","J. Cole",29
"12th-Freshman Summer","Vance Joy",29
"8th Grade","Kiiara",29
"9th Grade","Ed Sheeran",29
"9th-10th Summer","Lil Uzi Vert",29
"Freshman Year","Chris Brown",29
"Sophomore Year","Beach House",29
"Sophomore Year","Lil Wayne",29
"10th-11th Summer","Migos",28
"11th-12th Summer","Justin Timberlake",28
"11th-12th Summer","Lil Tecca",28
"12th-Freshman Summer","Crystal Fighters",28
"12th-Freshman Summer","Tory Lanez",28
"9th-10th Summer","French Montana",28
"Freshman Year","Selena Gomez",28
"Freshman-Sophomore Summer","DJ Khaled",28
"Freshman-Sophomore Summer","Miguel",28
"Freshman-Sophomore Summer","Mura Masa",28
"Freshman-Sophomore Summer","Queen",28
"Sophomore Year","A Boogie Wit da Hoodie",28
"Sophomore Year","Lil Tecca",28
"Sophomore Year","Lil Uzi Vert",28
"Sophomore Year","Vance Joy",28
"10th Grade","Chris Brown",27
"10th Grade","Gucci Mane",27
"10th Grade","Machine Gun Kelly",27
"10th-11th Summer","Khalid",27
"11th Grade","Alina Baraz",27
"11th Grade","KYLE",27
"11th Grade","Mustard",27
"11th-12th Summer","Lil Nas X",27
"11th-12th Summer","YNW Melly",27
"12th Grade","Ryan Trey",27
"12th-Freshman Summer","Billy Joel",27
"12th-Freshman Summer","Post Malone",27
"9th-10th Summer","Travis Scott",27
"Freshman Year","6ix9ine",27
"Freshman Year","Eric Bellinger",27
"Freshman Year","Fetty Wap",27
"Freshman Year","Saint Motel",27
"Sophomore Year","Mustard",27
"Sophomore Year","Owl City",27
"Sophomore Year","Swedish House Mafia",27
"Sophomore-Junior Summer","A$AP Mob",27
"Sophomore-Junior Summer","Fitz and The Tantrums",27
"Sophomore-Junior Summer","Lil Tecca",27
"Sophomore-Junior Summer","Trippie Redd",27
"10th Grade","Avicii",26
"10th Grade","BlocBoy JB",26
"11th Grade","Lil Nas X",26
"11th-12th Summer","Ellie Goulding",26
"12th Grade","Dizaro",26
"12th Grade","KISS",26
"12th-Freshman Summer","Yusuf / Cat Stevens",26
"9th-10th Summer","Trey Songz",26
"Freshman Year","Childish Gambino",26
"Freshman Year","Estelle",26
"Freshman Year","Shankar-Ehsaan-Loy",26
"Freshman Year","The Police",26
"Freshman-Sophomore Summer","Childish Gambino",26
"Freshman-Sophomore Summer","Chris Brown",26
"Sophomore Year","Ben Platt",26
"Sophomore Year","Brent Faiyaz",26
"Sophomore Year","Doja Cat",26
"Sophomore Year","Dominic Fike",26
"Sophomore Year","Fetty Wap",26
"Sophomore Year","Saint Motel",26
"Sophomore Year","The Neighbourhood",26
"Sophomore Year","midwxst",26
"Sophomore Year","mike.",26
"Sophomore Year","whiterosemoxie",26
"Sophomore-Junior Summer","Khalid",26
"Sophomore-Junior Summer","Ms. Lauryn Hill",26
"10th Grade","Jason Derulo",25
"10th Grade","Zacari",25
"10th-11th Summer","Calvin Harris",25
"11th Grade","Chris Brown",25
"11th Grade","George Harrison",25
"11th Grade","Guns N' Roses",25
"11th Grade","Joey Bada$$",25
"11th Grade","Lynyrd Skynyrd",25
"11th Grade","The Wanted",25
"11th-12th Summer","fun.",25
"12th Grade","Future",25
"12th Grade","Internet Money",25
"12th Grade","Jack Harlow",25
"12th Grade","Jorja Smith",25
"12th Grade","NoMBe",25
"12th Grade","SOB X RBE",25
"12th Grade","Wham!",25
"8th Grade","Foo Fighters",25
"9th Grade","Daft Punk",25
"9th Grade","Logic",25
"9th-10th Summer","Lil Wayne",25
"Freshman Year","Briston Maroney",25
"Freshman Year","CVBZ",25
"Freshman Year","Don Omar",25
"Freshman Year","Lil Baby",25
"Freshman Year","One Direction",25
"Freshman Year","Tory Lanez",25
"Freshman-Sophomore Summer","Daft Punk",25
"Sophomore Year","Daft Punk",25
"Sophomore Year","Journey",25
"Sophomore-Junior Summer","Bruno Mars",25
"Sophomore-Junior Summer","Elton John",25
"Sophomore-Junior Summer","Weezer",25
"10th Grade","A$AP Ferg",24
"10th Grade","Major Lazer",24
"11th Grade","ABBA",24
"11th Grade","DJ Khaled",24
"11th Grade","Elton John",24
"11th Grade","Future",24
"11th-12th Summer","Foster The People",24
"11th-12th Summer","OneRepublic",24
"12th Grade","Roy Woods",24
"12th-Freshman Summer","A Boogie Wit da Hoodie",24
"9th-10th Summer","Chance the Rapper",24
"9th-10th Summer","Tyler, The Creator",24
"Freshman Year","ILOVEMAKONNEN",24
"Freshman Year","Iyaz",24
"Freshman Year","Jeremih",24
"Freshman Year","Mr. Probz",24
"Freshman-Sophomore Summer","Brent Faiyaz",24
"Freshman-Sophomore Summer","Vance Joy",24
"Sophomore Year","Bon Jovi",24
"Sophomore Year","Clean Bandit",24
"Sophomore Year","David Guetta",24
"Sophomore Year","Jorja Smith",24
"Sophomore Year","Laffey",24
"Sophomore Year","The Growlers",24
"Sophomore Year","The Jackson 5",24
"Sophomore Year","Trippie Redd",24
"Sophomore-Junior Summer","Billy Joel",24
"Sophomore-Junior Summer","SOB X RBE",24
"10th Grade","DJ Khaled",23
"10th Grade","Offset",23
"10th Grade","Shawn Mendes",23
"10th Grade","Tyler, The Creator",23
"10th Grade","Vince Staples",23
"10th-11th Summer","The Beatles",23
"11th Grade","Daft Punk",23
"11th Grade","Lil Uzi Vert",23
"11th Grade","Major Lazer",23
"11th-12th Summer","Calvin Harris",23
"11th-12th Summer","mike.",23
"12th Grade","Eminem",23
"12th Grade","The Police",23
"12th Grade","Trippie Redd",23
"12th-Freshman Summer","Jason Derulo",23
"12th-Freshman Summer","Miguel",23
"12th-Freshman Summer","Skrillex",23
"12th-Freshman Summer","THE SCOTTS",23
"8th Grade","Dannic",23
"9th Grade","DJ Khaled",23
"9th Grade","Post Malone",23
"9th-10th Summer","DJ Khaled",23
"Freshman Year","A Boogie Wit da Hoodie",23
"Freshman Year","ABBA",23
"Freshman Year","Arizona Zervas",23
"Freshman Year","Dua Lipa",23
"Freshman Year","Elton John",23
"Freshman Year","Lorde",23
"Freshman Year","Majid Jordan",23
"Freshman Year","Mike Posner",23
"Freshman Year","Roy Woods",23
"Freshman Year","The Wanted",23
"Freshman-Sophomore Summer","CHASE B",23
"Sophomore Year","2 Chainz",23
"Sophomore Year","Electric Light Orchestra",23
"Sophomore Year","Masego",23
"Sophomore-Junior Summer","Vince Staples",23
"10th Grade","Bebe Rexha",22
"11th Grade","Clean Bandit",22
"11th Grade","Jonas Brothers",22
"11th Grade","Selena Gomez",22
"11th-12th Summer","J. Cole",22
"11th-12th Summer","Shankar Mahadevan",22
"12th Grade","Billy Joel",22
"12th Grade","John Newman",22
"12th Grade","Tee Grizzley",22
"12th-Freshman Summer","KIDS SEE GHOSTS",22
"12th-Freshman Summer","Khalid",22
"12th-Freshman Summer","Thin Lizzy",22
"8th Grade","Benny Benassi",22
"8th Grade","Shakira",22
"9th-10th Summer","Halsey",22
"Freshman Year","HYTYD",22
"Freshman Year","Joe Cocker",22
"Freshman Year","Lil Uzi Vert",22
"Freshman Year","The Beach Boys",22
"Freshman Year","The Doobie Brothers",22
"Freshman-Sophomore Summer","21 Savage",22
"Freshman-Sophomore Summer","JAY-Z",22
"Freshman-Sophomore Summer","KIDS SEE GHOSTS",22
"Freshman-Sophomore Summer","Lil Uzi Vert",22
"Sophomore Year","Alina Baraz",22
"Sophomore Year","Crystal Fighters",22
"Sophomore Year","JAY-Z",22
"Sophomore Year","Metro Boomin",22
"Sophomore Year","OneRepublic",22
"Sophomore-Junior Summer","Foster The People",22
"10th Grade","Ariana Grande",21
"10th Grade","Elton John",21
"10th Grade","Young Money",21
"10th-11th Summer","Childish Gambino",21
"10th-11th Summer","Eminem",21
"11th Grade","Comethazine",21
"11th-12th Summer","6ix9ine",21
"11th-12th Summer","Alina Baraz",21
"11th-12th Summer","Dreamville",21
"11th-12th Summer","Roy Woods",21
"11th-12th Summer","Young Thug",21
"12th Grade","Nicki Minaj",21
"12th Grade","Sub Urban",21
"12th-Freshman Summer","Elton John",21
"12th-Freshman Summer","King Curtis",21
"12th-Freshman Summer","Pacific Air",21
"Freshman Year","Daryl Hall & John Oates",21
"Freshman Year","Lata Mangeshkar",21
"Freshman Year","M83",21
"Freshman Year","MKTO",21
"Freshman Year","Quinn XCII",21
"Freshman-Sophomore Summer","A$AP Rocky",21
