"SchoolPeriod","Artist","Plays"
"11th-12th Summer","Jonas Brothers",7
"11th-12th Summer","Lil Baby",7
"11th-12th Summer","NoMBe",7
"11th-12th Summer","The Script",7
"12th Grade","21 Savage",7
"12th Grade","Blue Oyster Cult",7
"12th Grade","Dmitry Evgrafov",7
"12th Grade","George Harrison",7
"12th Grade","James Heather",7
"12th Grade","Kirko Bangz",7
"12th Grade","Mac Miller",7
"12th Grade","Peter Cavallo",7
"12th Grade","Una Luna",7
"12th-Freshman Summer","DNCE",7
"12th-Freshman Summer","Joey Bada$$",7
"12th-Freshman Summer","Lil Mosey",7
"12th-Freshman Summer","Lil Tjay",7
"12th-Freshman Summer","Rae Sremmurd",7
"12th-Freshman Summer","Zacari",7
"8th Grade","Bassnectar",7
"8th Grade","Cash Cash",7
"8th Grade","Enrique Iglesias",7
"8th Grade","Rihanna",7
"9th Grade","Black Eyed Peas",7
"9th Grade","blackbear",7
"9th-10th Summer","Gucci Mane",7
"9th-10th Summer","Justin Bieber",7
"9th-10th Summer","Lil Pump",7
"9th-10th Summer","Post Malone",7
"Freshman Year","Clean Bandit",7
"Freshman Year","Daniel Caesar",7
"Freshman Year","Dominique Cerejo",7
"Freshman Year","Gianni",7
"Freshman Year","Jaden",7
"Freshman Year","Khalid",7
"Freshman Year","Kodak Black",7
"Freshman Year","Pitbull",7
"Freshman Year","Rihanna",7
"Freshman Year","SOB X RBE",7
"Freshman Year","The J. Geils Band",7
"Freshman Year","The Script",7
"Freshman Year","The Temptations",7
"Freshman Year","Udit Narayan",7
"Freshman Year","Wham!",7
"Freshman Year","YG",7
"Freshman-Sophomore Summer","Blind Faith",7
"Freshman-Sophomore Summer","Boston",7
"Freshman-Sophomore Summer","CVBZ",7
"Freshman-Sophomore Summer","Chance the Rapper",7
"Freshman-Sophomore Summer","Green Day",7
"Freshman-Sophomore Summer","KISS",7
"Freshman-Sophomore Summer","Macklemore",7
"Freshman-Sophomore Summer","Migos",7
"Freshman-Sophomore Summer","Neon Trees",7
"Freshman-Sophomore Summer","SZA",7
"Freshman-Sophomore Summer","The Jackson 5",7
"Freshman-Sophomore Summer","The Rolling Stones",7
"Sophomore Year","6ix9ine",7
"Sophomore Year","Akon",7
"Sophomore Year","Beyonce",7
"Sophomore Year","Central Cee",7
"Sophomore Year","Daniel Caesar",7
"Sophomore Year","Dexys Midnight Runners",7
"Sophomore Year","Don Omar",7
"Sophomore Year","Dreamville",7
"Sophomore Year","Electric Guest",7
"Sophomore Year","Gotye",7
"Sophomore Year","Imagine Dragons",7
"Sophomore Year","Justin Bieber",7
"Sophomore Year","Lil Yachty",7
"Sophomore Year","Mr. Probz",7
"Sophomore Year","Nicki Minaj",7
"Sophomore Year","P-Lo",7
"Sophomore Year","S. P. Balasubrahmanyam",7
"Sophomore Year","Sainte",7
"Sophomore Year","Steve Lacy",7
"Sophomore Year","Tame Impala",7
"Sophomore Year","Taylor Swift",7
"Sophomore Year","Thin Lizzy",7
"Sophomore Year","Thouxanbanfauni",7
"Sophomore-Junior Summer","6ix9ine",7
"Sophomore-Junior Summer","Amine",7
"Sophomore-Junior Summer","Bon Jovi",7
"Sophomore-Junior Summer","CHASE B",7
"Sophomore-Junior Summer","Crystal Fighters",7
"Sophomore-Junior Summer","Huncho Jack",7
"Sophomore-Junior Summer","ILOVEMAKONNEN",7
"Sophomore-Junior Summer","Jhene Aiko",7
"Sophomore-Junior Summer","Luniz",7
"Sophomore-Junior Summer","M.I.A.",7
"Sophomore-Junior Summer","Mura Masa",7
"Sophomore-Junior Summer","Roy Woods",7
"Sophomore-Junior Summer","ScHoolboy Q",7
"10th Grade","Cardi B",6
"10th Grade","Hailee Steinfeld",6
"10th Grade","Iyaz",6
"10th Grade","Kirko Bangz",6
"10th Grade","Lil Dicky",6
"10th Grade","Lil Pump",6
"10th-11th Summer","Ab-Soul",6
"10th-11th Summer","Camila Cabello",6
"10th-11th Summer","Jason Derulo",6
"10th-11th Summer","Joey Bada$$",6
"10th-11th Summer","Kid Cudi",6
"10th-11th Summer","Pacific Air",6
"10th-11th Summer","Skrillex",6
"11th Grade","A$AP Ferg",6
"11th Grade","Ab-Soul",6
"11th Grade","French Montana",6
"11th Grade","Redbone",6
"11th Grade","Taylor Swift",6
"11th Grade","The Beach Boys",6
"11th Grade","The Neighbourhood",6
"11th-12th Summer","Bruno Mars",6
"11th-12th Summer","Creedence Clearwater Revival",6
"11th-12th Summer","Eagles",6
"11th-12th Summer","Elton John",6
"11th-12th Summer","Jorja Smith",6
"11th-12th Summer","Lynyrd Skynyrd",6
"11th-12th Summer","Mr. Probz",6
"11th-12th Summer","Owl City",6
"12th Grade","Carl Stark Willgold",6
"12th Grade","Gunna",6
"12th Grade","Milo Edale",6
"12th Grade","Reka Ioescu",6
"12th Grade","Shankar Mahadevan",6
"12th Grade","The Jackson 5",6
"12th Grade","Van Halen",6
"12th Grade","Vishal Dadlani",6
"12th-Freshman Summer","Absofacto",6
"12th-Freshman Summer","Alan Jackson",6
"12th-Freshman Summer","Bas",6
"12th-Freshman Summer","Ben Platt",6
"12th-Freshman Summer","Beyonce",6
"12th-Freshman Summer","Bon Jovi",6
"12th-Freshman Summer","Chris Brown",6
"12th-Freshman Summer","G-Eazy",6
"12th-Freshman Summer","Hoodie Allen",6
"12th-Freshman Summer","Jay Rock",6
"12th-Freshman Summer","Noisestorm",6
"12th-Freshman Summer","Ozzy Osbourne",6
"12th-Freshman Summer","Phil Collins",6
"12th-Freshman Summer","SOB X RBE",6
"12th-Freshman Summer","The Temptations",6
"12th-Freshman Summer","XXXTENTACION",6
"8th Grade","Future",6
"8th Grade","Hardwell",6
"9th-10th Summer","Lil Dicky",6
"9th-10th Summer","Luis Fonsi",6
"9th-10th Summer","Shawn Mendes",6
"Freshman Year","Arlo Guthrie",6
"Freshman Year","Green Day",6
"Freshman Year","Headie One",6
"Freshman Year","Lazlow",6
"Freshman Year","Rahat Fateh Ali Khan",6
"Freshman Year","Rainbow",6
"Freshman Year","Rupert Holmes",6
"Freshman Year","Shordie Shordie",6
"Freshman Year","Summer Walker",6
"Freshman Year","Tee Grizzley",6
"Freshman Year","The Incredible String Band",6
"Freshman-Sophomore Summer","6ix9ine",6
"Freshman-Sophomore Summer","A.R. Rahman",6
"Freshman-Sophomore Summer","Bas",6
"Freshman-Sophomore Summer","Chief Keef",6
"Freshman-Sophomore Summer","Fetty Wap",6
"Freshman-Sophomore Summer","Iyaz",6
"Freshman-Sophomore Summer","Jazz At Lincoln Center Orchestra",6
"Freshman-Sophomore Summer","Lil Mosey",6
"Freshman-Sophomore Summer","Marshmello",6
"Freshman-Sophomore Summer","Rae Sremmurd",6
"Sophomore Year","2Pac",6
"Sophomore Year","Chief Keef",6
"Sophomore Year","G. V. Prakash",6
"Sophomore Year","Glen Campbell",6
"Sophomore Year","HM Surf",6
"Sophomore Year","Key Glock",6
"Sophomore Year","Lorey",6
"Sophomore Year","Luniz",6
"Sophomore Year","Portugal. The Man",6
"Sophomore Year","RL Grime",6
"Sophomore Year","Shaan",6
"Sophomore Year","Ski Mask The Slump God",6
"Sophomore Year","T-Pain",6
"Sophomore Year","The Backseat Lovers",6
"Sophomore Year","The Black Keys",6
"Sophomore Year","The Mamas & The Papas",6
"Sophomore Year","The Vamps",6
"Sophomore Year","Udit Narayan",6
"Sophomore Year","Usher",6
"Sophomore Year","girl in red",6
"Sophomore Year","tender spring",6
"Sophomore-Junior Summer","Andy Grammer",6
"Sophomore-Junior Summer","Arctic Monkeys",6
"Sophomore-Junior Summer","Billie Eilish",6
"Sophomore-Junior Summer","Clean Bandit",6
"Sophomore-Junior Summer","Dominic Fike",6
"Sophomore-Junior Summer","Kirko Bangz",6
"Sophomore-Junior Summer","MKTO",6
"Sophomore-Junior Summer","Majid Jordan",6
"Sophomore-Junior Summer","Owl City",6
"Sophomore-Junior Summer","Panic! At The Disco",6
"Sophomore-Junior Summer","Portugal. The Man",6
"Sophomore-Junior Summer","Sainte",6
"Sophomore-Junior Summer","Ski Mask The Slump God",6
"Sophomore-Junior Summer","Steve Lacy",6
"Sophomore-Junior Summer","The Beach Boys",6
"Sophomore-Junior Summer","The Who",6
"Sophomore-Junior Summer","Warren G",6
"10th Grade","Aerosmith",5
"10th Grade","Beyonce",5
"10th Grade","Dr. Dre",5
"10th Grade","Flo Rida",5
"10th Grade","Guns N' Roses",5
"10th Grade","Jonas Blue",5
"10th Grade","Selena Gomez",5
"10th-11th Summer","2Pac",5
"10th-11th Summer","A$AP Ferg",5
"10th-11th Summer","Amine",5
"10th-11th Summer","Big Sean",5
"10th-11th Summer","Deraj",5
"10th-11th Summer","GoldLink",5
"10th-11th Summer","Hoodie Allen",5
"10th-11th Summer","Macklemore & Ryan Lewis",5
"11th Grade","Adam Counts",5
"11th Grade","Berner",5
"11th Grade","Birdman",5
"11th Grade","BlocBoy JB",5
"11th Grade","Darius Rucker",5
"11th Grade","MAX",5
"11th Grade","Pitbull",5
"11th Grade","Van Halen",5
"11th-12th Summer","A$AP Rocky",5
"11th-12th Summer","Capital Cities",5
"11th-12th Summer","Daniel Caesar",5
"11th-12th Summer","Eminem",5
"11th-12th Summer","Led Zeppelin",5
"11th-12th Summer","Taylor Swift",5
"11th-12th Summer","Tee Grizzley",5
"11th-12th Summer","Trippie Redd",5
"11th-12th Summer","Yung Gravy",5
"11th-12th Summer","dvsn",5
"12th Grade","Agni Bjark",5
"12th Grade","Aleksy Wysocki",5
"12th Grade","Alexis Ffrench",5
"12th Grade","Berlioz",5
"12th Grade","Bionda van der Ham",5
"12th Grade","Bruno Bavota",5
"12th Grade","Bruno Mars",5
"12th Grade","Charlie Key",5
"12th Grade","Claire Pinette",5
"12th Grade","Csizmazia Etel",5
"12th Grade","David Bowie",5
"12th Grade","Dimitri Stockl",5
"12th Grade","Eik Octobre",5
"12th Grade","Enno Aare",5
"12th Grade","Eoin Henderson",5
"12th Grade","Eric Badanti",5
"12th Grade","Eurythmics",5
"12th Grade","Evelyn Stein",5
"12th Grade","Gabriel Olafs",5
"12th Grade","Gesaffelstein",5
"12th Grade","Gloria Gaynor",5
"12th Grade","Harry Bergqvist",5
"12th Grade","Heike Blau",5
"12th Grade","Helene Roche",5
"12th Grade","Jean-Michel Blais",5
"12th Grade","Jen Libby",5
"12th Grade","Jensine Fleischer",5
"12th Grade","Journey",5
"12th Grade","Koral Banko",5
"12th Grade","Libor Kolman",5
"12th Grade","Lil Wayne",5
"12th Grade","Lionel Scardino",5
"12th Grade","Martin Greenbaum",5
"12th Grade","Matt Stewart-Evans",5
"12th Grade","Matthew Wilder",5
"12th Grade","Maya Astrom",5
"12th Grade","Mia Strass",5
"12th Grade","Migos",5
"12th Grade","Minik Jakobsen",5
"12th Grade","Nils Frahm",5
"12th Grade","Odin Sorlie",5
"12th Grade","Once Proven",5
"12th Grade","Otto Wahl",5
"12th Grade","Ozymandias",5
"12th Grade","Phil Collins",5
"12th Grade","Plinki Plonki",5
"12th Grade","Poppy Ackroyd",5
"12th Grade","Ramones",5
"12th Grade","Regina Mira",5
"12th Grade","Ricki Westberg",5
"12th Grade","Robert Haigh",5
"12th Grade","Rosie Carney",5
"12th Grade","Rupert Holmes",5
"12th Grade","S.A. Karl",5
"12th Grade","SYML",5
"12th Grade","Sabine Paulet",5
"12th Grade","Saddest Girl In The World",5
"12th Grade","Sarah Spring",5
"12th Grade","Sebastian Zawadzki",5
"12th Grade","Sophie Hutchings",5
"12th Grade","Sunday Service Choir",5
"12th Grade","The Arcadian Wild",5
"12th Grade","Valbona Ceferin",5
"12th Grade","Vikingur Olafsson",5
"12th Grade","Wings",5
"12th Grade","Xavier Weeks",5
"12th-Freshman Summer","2 Chainz",5
"12th-Freshman Summer","Arizona Zervas",5
"12th-Freshman Summer","Daryl Hall & John Oates",5
"12th-Freshman Summer","David Bowie",5
"12th-Freshman Summer","Dizaro",5
"12th-Freshman Summer","KYLE",5
"12th-Freshman Summer","Lil Baby",5
"12th-Freshman Summer","Tee Grizzley",5
"12th-Freshman Summer","The Jackson 5",5
"12th-Freshman Summer","monte booker",5
"8th Grade","Big Sean",5
"8th Grade","Ferreck Dawn",5
"8th Grade","Flo Rida",5
"8th Grade","Flume",5
"8th Grade","The Little Ones",5
"8th Grade","The Weeknd",5
"9th Grade","Fetty Wap",5
"9th-10th Summer","Daft Punk",5
"9th-10th Summer","Fetty Wap",5
"9th-10th Summer","J Balvin",5
"9th-10th Summer","Justin Timberlake",5
"9th-10th Summer","The Beatles",5
"Freshman Year","67",5
"Freshman Year","Bastille",5
"Freshman Year","Bon Jovi",5
"Freshman Year","Cream",5
"Freshman Year","Famous Dex",5
"Freshman Year","Glimlip",5
"Freshman Year","Joji",5
"Freshman Year","KYLE",5
"Freshman Year","Koralle",5
"Freshman Year","Ludwig van Beethoven",5
"Freshman Year","Machine Gun Kelly",5
"Freshman Year","Omar Apollo",5
"Freshman Year","Ramones",5
"Freshman Year","Redbone",5
"Freshman Year","Rejjie Snow",5
"Freshman Year","Sitting Duck",5
"Freshman Year","Sunidhi Chauhan",5
"Freshman Year","Suraj Jagan",5
"Freshman Year","THE SCOTTS",5
"Freshman Year","The Score",5
"Freshman Year","Wale",5
"Freshman Year","brillion.",5
"Freshman Year","goosetaf",5
"Freshman-Sophomore Summer","6LACK",5
"Freshman-Sophomore Summer","Fleetwood Mac",5
"Freshman-Sophomore Summer","Lynyrd Skynyrd",5
"Freshman-Sophomore Summer","Mr. Probz",5
"Freshman-Sophomore Summer","Nicki Minaj",5
"Freshman-Sophomore Summer","PARTYNEXTDOOR",5
"Freshman-Sophomore Summer","Shankar Mahadevan",5
"Freshman-Sophomore Summer","The 1975",5
"Freshman-Sophomore Summer","XXXTENTACION",5
"Sophomore Year","AC/DC",5
"Sophomore Year","Andy Grammer",5
"Sophomore Year","Ariana Grande",5
"Sophomore Year","Carly Rae Jepsen",5
"Sophomore Year","Creedence Clearwater Revival",5
"Sophomore Year","David Bowie",5
"Sophomore Year","Dominique Cerejo",5
"Sophomore Year","Flovry",5
"Sophomore Year","Gorillaz",5
"Sophomore Year","Guns N' Roses",5
"Sophomore Year","Hevi",5
"Sophomore Year","Hippo Campus",5
"Sophomore Year","Isaiah Rashad",5
"Sophomore Year","Kainbeats",5
"Sophomore Year","Macklemore & Ryan Lewis",5
"Sophomore Year","Osibih",5
"Sophomore Year","Panic! At The Disco",5
"Sophomore Year","Pink Floyd",5
"Sophomore Year","Rich The Kid",5
"Sophomore Year","S. Janaki",5
"Sophomore Year","Sonu Nigam",5
"Sophomore Year","Sunidhi Chauhan",5
"Sophomore Year","The 1975",5
"Sophomore Year","The Wanted",5
"Sophomore Year","Vani Jairam",5
"Sophomore Year","Young Stoner Life",5
"Sophomore Year","a-ha",5
"Sophomore Year","iann dior",5
"Sophomore Year","lorleaf",5
"Sophomore Year","steezy prime",5
"Sophomore-Junior Summer","6LACK",5
"Sophomore-Junior Summer","Ab-Soul",5
"Sophomore-Junior Summer","Adele",5
"Sophomore-Junior Summer","Aries",5
"Sophomore-Junior Summer","Bas",5
"Sophomore-Junior Summer","Big Time Rush",5
"Sophomore-Junior Summer","Don Omar",5
"Sophomore-Junior Summer","Eagles",5
"Sophomore-Junior Summer","Lil Yachty",5
"Sophomore-Junior Summer","Mac Dre",5
"Sophomore-Junior Summer","Major Lazer",5
"Sophomore-Junior Summer","Marshmello",5
"Sophomore-Junior Summer","Milky Chance",5
"Sophomore-Junior Summer","Neon Trees",5
"Sophomore-Junior Summer","NxWorries",5
"Sophomore-Junior Summer","Pusha T",5
"Sophomore-Junior Summer","REASON",5
"Sophomore-Junior Summer","Snoop Dogg",5
"Sophomore-Junior Summer","Tee Grizzley",5
"Sophomore-Junior Summer","The Rolling Stones",5
"Sophomore-Junior Summer","The Vamps",5
"Sophomore-Junior Summer","Tom Petty",5
"Sophomore-Junior Summer","YNW Melly",5
"Sophomore-Junior Summer","boy pablo",5
"Sophomore-Junior Summer","mike.",5
"10th Grade","Cashmere Cat",4
"10th Grade","Fifth Harmony",4
"10th Grade","Kiiara",4
"10th Grade","Nicki Minaj",4
"10th Grade","Sam Smith",4
"10th Grade","Trey Songz",4
"10th Grade","Zo",4
"10th-11th Summer","6ix9ine",4
"10th-11th Summer","Beyonce",4
"10th-11th Summer","Capital Cities",4
"10th-11th Summer","Jaden",4
"10th-11th Summer","Lil Baby",4
"10th-11th Summer","Lil Dicky",4
"10th-11th Summer","Miguel",4
"10th-11th Summer","NF",4
"10th-11th Summer","Russ",4
"10th-11th Summer","Shakira",4
"10th-11th Summer","Taylor Swift",4
"10th-11th Summer","Trey Songz",4
"10th-11th Summer","Tyler, The Creator",4
"10th-11th Summer","YG",4
"10th-11th Summer","Yung Gravy",4
"10th-11th Summer","fun.",4
"11th Grade","American Authors",4
"11th Grade","Beyonce",4
"11th Grade","Daniel Caesar",4
"11th Grade","Duckwrth",4
"11th Grade","Jeremih",4
"11th Grade","Joji",4
"11th Grade","Kiiara",4
"11th Grade","Neha Kakkar",4
"11th Grade","Nico & Vinz",4
"11th Grade","Rascal Flatts",4
"11th Grade","Rupert Holmes",4
"11th Grade","Sam Smith",4
"11th Grade","San Holo",4
"11th Grade","Shankar Mahadevan",4
"11th Grade","Ski Mask The Slump God",4
"11th Grade","The Animals",4
"11th Grade","The Temptations",4
"11th Grade","Trey Songz",4
"11th Grade","Vishal Dadlani",4
"11th-12th Summer","21 Savage",4
"11th-12th Summer","Bas",4
"11th-12th Summer","Bon Jovi",4
"11th-12th Summer","Boston",4
"11th-12th Summer","Chance the Rapper",4
"11th-12th Summer","Gloria Gaynor",4
"11th-12th Summer","Joey Bada$$",4
"11th-12th Summer","John Lennon",4
"11th-12th Summer","Lil Mosey",4
"11th-12th Summer","Noisestorm",4
"11th-12th Summer","Quality Control",4
"11th-12th Summer","boy pablo",4
"12th Grade","$NOT",4
"12th Grade","A Boogie Wit da Hoodie",4
"12th Grade","Alec Windt",4
"12th Grade","Alida Sorby",4
"12th Grade","Ana Olgica",4
"12th Grade","Annebelle Coenraad",4
"12th Grade","Ansel Elgort",4
"12th Grade","Bazzi",4
"12th Grade","Beta Radio",4
"12th Grade","Black Elk",4
"12th Grade","Carl Easterling",4
"12th Grade","Christopher Dicker",4
"12th Grade","DNCE",4
"12th Grade","Dario Marianelli",4
"12th Grade","Darrell Boxman",4
"12th Grade","DripReport",4
"12th Grade","Edward Elysseus",4
"12th Grade","Figgy Malone",4
"12th Grade","Flipp Dinero",4
"12th Grade","Floriscope",4
"12th Grade","Frano Stanic",4
"12th Grade","Gabriel Parker",4
"12th Grade","Gian Marco Castro",4
"12th Grade","Hayden Cargile",4
"12th Grade","Heinz Goldblatt",4
"12th Grade","Henrietta Kuipers",4
"12th Grade","Hermann",4
"12th Grade","Hreidar",4
"12th Grade","Hugar",4
"12th Grade","Jacob David",4
"12th Grade","Jaden",4
"12th Grade","James Spiteri",4
"12th Grade","Jan Kubec",4
"12th Grade","Jitka Kubr",4
"12th Grade","Josh McCausland",4
"12th Grade","Jozef Gatysik",4
"12th Grade","Julius Aston",4
"12th Grade","Klaus Weissmuller",4
"12th Grade","Kyle McEvoy",4
"12th Grade","Laetitia Dostie",4
"12th Grade","Laura Frey",4
"12th Grade","Leyton Stills",4
"12th Grade","Lil Baby",4
"12th Grade","Lo Mimieux",4
"12th Grade","Lorraine J. Kovach",4
"12th Grade","Louis Armstrong",4
"12th Grade","Lucas Vendrai",4
"12th Grade","Lummus Park",4
"12th Grade","Mae Ji-Yoon",4
"12th Grade","Matt van Stern",4
"12th Grade","Mbo Mentho",4
"12th Grade","Ola Gjeilo",4
"12th Grade","Oskar Schuster",4
"12th Grade","Owl City",4
"12th Grade","Peter Bradley Adams",4
"12th Grade","Petra Birgisdottir",4
"12th Grade","Rebour",4
"12th Grade","Relajar",4
"12th Grade","Renato Luigi",4
"12th Grade","Riccardo Lettiere",4
"12th Grade","Romaine LaGrande",4
"12th Grade","Ruben Galloway",4
"12th Grade","Saeko Seki",4
"12th Grade","Santo Trevisani",4
"12th Grade","Sergio Diaz De Rojas",4
"12th Grade","Shaun Taylor McManus",4
"12th Grade","Sigimund",4
"12th Grade","Simeon Walker",4
"12th Grade","Slow Fade Sailors",4
"12th Grade","Snow in April",4
"12th Grade","Sonu Nigam",4
"12th Grade","Steven Mudd",4
"12th Grade","Sufi Ellman",4
"12th Grade","Sumsar",4
"12th Grade","TLC",4
"12th Grade","The Beach Boys",4
"12th Grade","The Daydream Club",4
"12th Grade","Tom Merrall",4
"12th Grade","Tonie Green",4
"12th Grade","Tosh Moller",4
"12th Grade","Train",4
"12th Grade","Tristan Eckerson",4
"12th Grade","Tyga",4
"12th Grade","Viljar Iversen",4
"12th Grade","Zoe de Vera",4
"12th Grade","Zwera",4
"12th-Freshman Summer","Aitch",4
"12th-Freshman Summer","Akon",4
"12th-Freshman Summer","BROCKHAMPTON",4
"12th-Freshman Summer","Bantu",4
"12th-Freshman Summer","Brooks & Dunn",4
"12th-Freshman Summer","Clean Bandit",4
"12th-Freshman Summer","DripReport",4
"12th-Freshman Summer","El Profesor",4
"12th-Freshman Summer","Eurythmics",4
"12th-Freshman Summer","Far East Movement",4
"12th-Freshman Summer","George Strait",4
"12th-Freshman Summer","Hardwell",4
"12th-Freshman Summer","Kodak Black",4
"12th-Freshman Summer","Lil Tecca",4
"12th-Freshman Summer","Macklemore & Ryan Lewis",4
"12th-Freshman Summer","Meek Mill",4
"12th-Freshman Summer","Migos",4
"12th-Freshman Summer","NF",4
"12th-Freshman Summer","Ramones",4
"12th-Freshman Summer","Redbone",4
"12th-Freshman Summer","Roy Woods",4
"12th-Freshman Summer","Sad Frosty",4
"12th-Freshman Summer","Salil Chowdhury",4
"12th-Freshman Summer","ScHoolboy Q",4
"12th-Freshman Summer","Selena Gomez",4
"12th-Freshman Summer","Twenty One Pilots",4
"8th Grade","Avicii",4
"8th Grade","Calvin Harris",4
"8th Grade","Capital Cities",4
"8th Grade","Chocolate Puma",4
"8th Grade","Daft Punk",4
"8th Grade","Gorillaz",4
"8th Grade","Laidback Luke",4
"8th Grade","Meghan Trainor",4
"8th Grade","Pep & Rash",4
"8th Grade","Sweet",4
"8th Grade","Tchami",4
"9th Grade","Macklemore & Ryan Lewis",4
"9th-10th Summer","Big Sean",4
"9th-10th Summer","Camila Cabello",4
"9th-10th Summer","Lorde",4
"9th-10th Summer","Macklemore & Ryan Lewis",4
"9th-10th Summer","XXXTENTACION",4
"Freshman Year","Amar Arshi",4
"Freshman Year","Amine",4
"Freshman Year","Aries",4
"Freshman Year","Carly Rae Jepsen",4
"Freshman Year","Half Empty",4
"Freshman Year","Hast",4
"Freshman Year","JAY VANILLA",4
"Freshman Year","Lehmber Hussainpuri",4
"Freshman Year","Living Room",4
"Freshman Year","Louis Armstrong",4
"Freshman Year","Magic System",4
"Freshman Year","Martin Jensen",4
"Freshman Year","Nico & Vinz",4
"Freshman Year","Ozzy Osbourne",4
"Freshman Year","Phlocalyst",4
"Freshman Year","Polo G",4
"Freshman Year","Psalm Trees",4
"Freshman Year","Rae Sremmurd",4
"Freshman Year","Sonu Nigam",4
"Freshman Year","Thin Lizzy",4
"Freshman-Sophomore Summer","ABBA",4
"Freshman-Sophomore Summer","Alina Baraz",4
"Freshman-Sophomore Summer","Amine",4
"Freshman-Sophomore Summer","Creedence Clearwater Revival",4
"Freshman-Sophomore Summer","DaBaby",4
"Freshman-Sophomore Summer","Elton John",4
"Freshman-Sophomore Summer","Frederic Chopin",4
"Freshman-Sophomore Summer","George Harrison",4
"Freshman-Sophomore Summer","Gunna",4
"Freshman-Sophomore Summer","Majid Jordan",4
"Freshman-Sophomore Summer","Meek Mill",4
"Freshman-Sophomore Summer","Rich The Kid",4
"Freshman-Sophomore Summer","SOB X RBE",4
"Freshman-Sophomore Summer","ScHoolboy Q",4
"Freshman-Sophomore Summer","Wynton Marsalis",4
"Freshman-Sophomore Summer","Young Stoner Life",4
"Freshman-Sophomore Summer","ayokay",4
"Sophomore Year","BJ The Chicago Kid",4
"Sophomore Year","BVG",4
"Sophomore Year","Bastille",4
"Sophomore Year","Blaccmass",4
"Sophomore Year","Bob Seger",4
"Sophomore Year","Death Cab for Cutie",4
"Sophomore Year","Declan McKenna",4
"Sophomore Year","Denzel Curry",4
"Sophomore Year","Dr. Dre",4
"Sophomore Year","Drakeo the Ruler",4
"Sophomore Year","Dwn2earth",4
"Sophomore Year","Felly",4
"Sophomore Year","G-Eazy",4
"Sophomore Year","Glimlip",4
"Sophomore Year","Ilaiyaraaja",4
"Sophomore Year","Jay Rock",4
"Sophomore Year","Jazz Cartier",4
"Sophomore Year","KAYTRANADA",4
"Sophomore Year","Khutko",4
"Sophomore Year","Kirko Bangz",4
"Sophomore Year","Looking Glass",4
"Sophomore Year","Machine Gun Kelly",4
"Sophomore Year","Neha Kakkar",4
"Sophomore Year","Rascal Flatts",4
"Sophomore Year","Rejjie Snow",4
"Sophomore Year","Russ",4
"Sophomore Year","SamuW",4
"Sophomore Year","Sheck Wes",4
"Sophomore Year","Smino",4
"Sophomore Year","Snoop Dogg",4
"Sophomore Year","The Ronettes",4
"Sophomore Year","The Who",4
"Sophomore Year","Towerz",4
"Sophomore Year","Twenty One Pilots",4
"Sophomore Year","Tyga",4
"Sophomore Year","Van Halen",4
"Sophomore Year","Waka Flocka Flame",4
"Sophomore Year","YG",4
"Sophomore Year","Young Money",4
"Sophomore Year","Young the Giant",4
"Sophomore Year","Yung Gravy",4
"Sophomore Year","cxlt.",4
"Sophomore Year","softy",4
"Sophomore Year","tsubi club",4
"Sophomore-Junior Summer","A$AP Ferg",4
"Sophomore-Junior Summer","Alina Baraz",4
"Sophomore-Junior Summer","American Authors",4
"Sophomore-Junior Summer","Atomic Drum Assembly",4
"Sophomore-Junior Summer","Bastille",4
"Sophomore-Junior Summer","Black Eyed Peas",4
"Sophomore-Junior Summer","Bryce Hase",4
"Sophomore-Junior Summer","Dua Lipa",4
"Sophomore-Junior Summer","Ellie Goulding",4
"Sophomore-Junior Summer","Estelle",4
"Sophomore-Junior Summer","Far East Movement",4
"Sophomore-Junior Summer","G-Eazy",4
"Sophomore-Junior Summer","Gotye",4
"Sophomore-Junior Summer","Isaiah Rashad",4
"Sophomore-Junior Summer","John Newman",4
"Sophomore-Junior Summer","KYLE",4
"Sophomore-Junior Summer","King Harvest",4
"Sophomore-Junior Summer","M83",4
"Sophomore-Junior Summer","MGMT",4
"Sophomore-Junior Summer","Macklemore & Ryan Lewis",4
"Sophomore-Junior Summer","Mr. Probz",4
"Sophomore-Junior Summer","Odd Future",4
"Sophomore-Junior Summer","Osibih",4
"Sophomore-Junior Summer","Russ",4
"Sophomore-Junior Summer","Tame Impala",4
"Sophomore-Junior Summer","The Chainsmokers",4
"Sophomore-Junior Summer","The Growlers",4
"Sophomore-Junior Summer","The Mamas & The Papas",4
"Sophomore-Junior Summer","Thouxanbanfauni",4
"Sophomore-Junior Summer","Trey Songz",4
"Sophomore-Junior Summer","Young Dolph",4
"Sophomore-Junior Summer","bell.avi",4
"Sophomore-Junior Summer","tsubi club",4
"10th Grade","6ix9ine",3
"10th Grade","Famous Dex",3
"10th Grade","Shakira",3
"10th Grade","Soulja Boy",3
"10th Grade","The Script",3
"10th Grade","Vitamin String Quartet",3
"10th-11th Summer","Aerosmith",3
"10th-11th Summer","Bryson Tiller",3
"10th-11th Summer","Ed Sheeran",3
"10th-11th Summer","French Montana",3
"10th-11th Summer","Guns N' Roses",3
"10th-11th Summer","Gwen Stefani",3
"10th-11th Summer","Liam Payne",3
"10th-11th Summer","Lil Skies",3
"10th-11th Summer","Lynyrd Skynyrd",3
"10th-11th Summer","Majid Jordan",3
"10th-11th Summer","Major Lazer",3
