"ID","Year","Song","Plays"
"4pmsYmLA5xefLsXeaJqCbU","2021","Cali Y El Dandee ~ Nada - Remix",38
"5pLpkaIRobcvPnUmclNv6o","2021","Oh Wonder ~ Technicolour Beat",38
"59wlTaYOL5tDUgXnbBQ3my","2022","ODESZA ~ A Moment Apart",38
"3ZsVXh7a8HxYWxzDCHjQfN","2022","Ollie MN ~ Friendly Dark",38
"1IXiBroTLzGMKvd2OTR0GG","2022","Ollie MN ~ In Quiet Rooms",38
"2KnLkZ3z7PO3kgVGHGqDpD","2022","Shawn Mendes ~ It'll Be Okay",38
"57arKzfuOZE6kCYsFLzrxW","2022","Suriel Hess ~ Sing Myself to Sleep",38
"6IXgCKPhmnwqorrjTMKxfB","2022","Sleeping At Last ~ Sorrow",38
"78TTtXnFQPzwqlbtbwqN0y","2018","Rihanna ~ FourFiveSeconds",37
"2RttW7RAu5nOAfq6YFvApB","2018","Ed Sheeran ~ Happier",37
"0zAK46czrFfWH0SBGFCV2W","2018","Nicky Jam ~ I Can't Forget You",37
"45Egmo7icyopuzJN0oMEdk","2018","Khalid ~ Love Lies (with Normani)",37
"6WdJAm69trFyexngKDHHVJ","2019","A R I Z O N A ~ Oceans Away - Mansionair Remix",37
"5Vwqy3CS2aCB6jcgm1qWfk","2020","Takagi & Ketra ~ Amore e Capoeira",37
"6CcJMwBtXByIz4zQLzFkKc","2020","Billie Eilish ~ i love you",37
"1DWZUa5Mzf2BwzpHtgbHPY","2021","Mac Miller ~ Good News",37
"6SL7KzIA96f0HiKjuv7tED","2021","Quinn XCII ~ U & Us",37
"5IH7HQEWhToZnMQTZRzp1H","2022","SYML ~ Where's My Love - Alternate Version",37
"2dfHh7ECGxfNqZTQno09Vk","2018","Ed Sheeran ~ Hearts Don't Break Around Here",36
"1vpDzKbn44PaEEhhKTbMb6","2018","Daddy Yankee ~ Otra Cosa",36
"09S64DUkxIX9EwIaULu6yN","2018","Maluma ~ Sin Contrato (feat. Fifth Harmony)",36
