"Season","Artist","Plays"
"Summer","Daniyel",89
"Fall","Lil Baby, Gunna",88
"Fall","Juice WRLD, Future",87
"Summer","Cage the Elephant",87
"Summer","Migos",87
"Summer","Mir Fontane",87
"Winter","Rae Sremmurd",87
"Fall","Rich The Kid",86
"Winter","Flatbush Zombies",86
"Fall","The Beach Boys",85
"Summer","Polo G",85
"Winter","Buddy",85
"Winter","Joey Purp",85
"Winter","WESTSIDE BOOGIE",85
"Fall","Denzel Curry",84
"Fall","VIC MENSA",84
"Spring","6LACK",84
"Spring","A$AP Mob",84
"Spring","PnB Rock",84
"Fall","Dro Kenji",83
"Fall","Radiohead",83
"Winter","Chester Watson",83
"Winter","Denzel Curry",83
"Fall","Action Bronson",82
"Summer","Ramzoid",82
"Winter","Miguel",82
"Fall","Arctic Monkeys",81
"Fall","Flatbush Zombies",81
"Spring","Macklemore & Ryan Lewis",81
"Fall","Tom The Mail Man",80
"Spring","2 Chainz",80
"Spring","Migos",80
"Winter","Joyner Lucas",80
"Fall","Chester Watson",79
"Spring","Arctic Monkeys",79
"Fall","Rick Ross, Kanye West",78
"Spring","NxWorries, Knxwledge, Anderson .Paak",78
"Winter","JAY-Z",78
"Spring","Grouplove",77
"Summer","Khalid",77
"Summer","MadeinTYO",76
"Summer","Travis Scott, Quavo, HUNCHO JACK",76
"Summer","midwxst",76
"Winter","Comethazine",76
"Spring","Ramzoid",75
"Summer","Johnny Rain",75
"Winter","Jaden",75
"Winter","Jonah Zed",75
"Winter","Meek Mill",75
"Fall","XXXTENTACION",74
"Spring","Big K.R.I.T.",74
"Spring","Patrick Cc:",74
"Summer","Joyner Lucas",74
"Summer","Big K.R.I.T.",73
"Summer","Meek Mill",73
"Winter","Mir Fontane",73
"Spring","G Herbo",72
"Spring","Roddy Ricch",72
"Winter","Mere Raj",72
"Summer","A$AP Ferg",71
"Summer","French Montana",71
"Summer","Hippo Campus",71
"Summer","NxWorries, Knxwledge, Anderson .Paak",71
"Spring","DJ Khaled",70
"Spring","Smokepurpp, Murda Beatz",70
"Winter","Ariana Grande",70
"Fall","MihTy",69
"Fall","Tee Grizzley",69
"Spring","Desiigner",69
"Summer","Gucci Mane",69
"Winter","SZA",69
"Fall","Cage the Elephant",68
"Spring","redveil",68
"Summer","Grouplove",68
"Winter","Tee Grizzley",68
"Fall","Khalid",67
"Fall","Mir Fontane",67
"Spring","Gucci Mane",67
"Spring","Rick Ross",67
"Spring","SiR",67
"Summer","Lil Wayne",67
"Winter","Juice WRLD, Future",67
"Winter","Pusha T",67
"Winter","The 1975",67
"Fall","Nas",66
"Fall","T-Pain",66
"Spring","Lil Durk, Lil Baby",66
"Winter","Kenny Beats, 03 Greedo",66
"Winter","MAVI",66
"Fall","Lil Skies",65
"Spring","Fun.",65
"Spring","Wallows",65
"Fall","Childish Gambino",64
"Spring","A Tribe Called Quest",64
"Spring","JAY-Z",64
"Winter","6LACK",64
"Winter","The Beach Boys",64
"Fall","tobi lou",63
"Spring","Statik Selektah, Kota the Friend",63
"Summer","Mike WiLL Made-It",63
"Summer","Saba",63
"Summer","redveil",63
"Winter","Metro Boomin",63
"Fall","Jonah Zed",62
"Spring","Kodak Black",62
"Spring","Lil Wayne",62
"Summer","JPEGMAFIA",62
"Winter","Radiohead",62
"Fall","NxWorries",61
"Fall","The Black Keys",61
"Spring","Patrick Cc:, Jonah Zed",61
"Summer","YG",61
"Fall","Felly",60
"Fall","Jretro",60
"Spring","Felly",60
"Fall","Rick Ross",59
"Summer","Kevin Abstract",59
