"ID","Year","Song","Plays"
"6vnfObZ4Ys70SBAtti1xZ9","2020","Travis Scott ~ COFFEE BEAN",12
"7Hc3YL8oDiAzbiAW32KXrw","2020","Kid Cudi ~ Dive",12
"43DHLzDkncpby82Po5jlOZ","2020","Queen ~ Don't Stop Me Now",12
"4BP3uh0hFLFRb5cjsgLqDh","2020","Creedence Clearwater Revival ~ Fortunate Son",12
"69kOkLUCkxIZYexIgSG8rq","2020","Daft Punk ~ Get Lucky (feat. Pharrell Williams and Nile Rodgers)",12
"2GCFcbxm61rSA8gzsDk6NJ","2020","Queen ~ Hammer To Fall",12
"6dGnYIeXmHdcikdzNNDMm2","2020","The Beatles ~ Here Comes The Sun - Remastered 2009",12
"40riOy7x9W7GXjyGp4pjAv","2020","Eagles ~ Hotel California - 2013 Remaster",12
"1IVZX29ZuEXng3ChRnp3tL","2020","Queen ~ I Want To Break Free",12
"1VY2incfH4TLT9PCbot6lj","2020","Labh Janjua ~ London Thumakda (From """"Queen"""")",12
"3CdDBopz2XipdS5ICzhWHN","2020","The Beatles ~ Lovely Rita - Remix",12
"047fCsbO4NdmwCBn8pcUXl","2020","Drake ~ Marvins Room",12
"3tjFYV6RSFtuktYl3ZtYcq","2020","24kGoldn ~ Mood (feat. iann dior)",12
"2RlgNHKcydI9sayD2Df2xp","2020","Electric Light Orchestra ~ Mr. Blue Sky",12
"4SCnCPOUOUXUmCX2uHb3r7","2020","Bryson Tiller ~ Outta Time (feat. Drake)",12
"4bl1HBZliBuYpFZjWgefE4","2020","Roddy Ricch ~ Peta (feat. Meek Mill)",12
"3UDmHZcBTQp8Iu8droNtUl","2020","The Beatles ~ Revolution - Remastered 2009",12
"45sDIKapDyxPl307QpEAwl","2020","Far East Movement ~ Rocketeer",12
"0Fs9cdPDhptWEDJmiCbkEW","2020","J. Cole ~ She Knows (feat. Amber Coffman & Cults)",12
"6RUKPb4LETWmmr3iAEQktW","2020","The Chainsmokers ~ Something Just Like This",12
"08HPWLi0YmRUStJzkQ1ffh","2020","Giveon ~ Stuck On You",12
"5e9TFTbltYBg2xThimr0rU","2020","Fleetwood Mac ~ The Chain - 2004 Remaster",12
"3pndPhlQWjuSoXhcIIdBjv","2020","Russ ~ What They Want",12
"13JyykwyYQ3T5QxxL34ukQ","2020","blackbear ~ chateau",12
"2BULAwmRpScmZE7YOF07e5","2021","Lil Tecca ~ Amigo",12
"2jst5B18Q3PN3rwwIfnAgp","2021","The Weeknd ~ Belong To The World",12
"5NQYyej46WQkgCbnzGD21W","2021","The Beatles ~ Dear Prudence - Remastered 2009",12
"5FVd6KXrgO9B3JPmC8OPst","2021","Arctic Monkeys ~ Do I Wanna Know?",12
"3HlK8txWAdtKMrbsqX40pl","2021","Mac DeMarco ~ Freaking Out the Neighborhood",12
"1kPpge9JDLpcj15qgrPbYX","2021","Owl City ~ Good Time",12
"7Czm0vv2sYL5z4P51KY66e","2021","Shankar-Ehsaan-Loy ~ Maahi Ve",12
"0AOvNRgl0SMfOibWA5bP8o","2021","Kendrick Lamar ~ Money Trees",12
"5EugXICXL06waHgP4iTI58","2021","The Lemonheads ~ Mrs. Robinson - Remastered",12
"3CA9pLiwRIGtUBiMjbZmRw","2021","Drake ~ Nice For What",12
"1LmN9SSHISbtp9LoaR5ZVJ","2021","Maroon 5 ~ Payphone",12
"1Wsbr1d2BouNGk2q92mIj7","2021","Kanye West ~ Pt. 2",12
"2AT8iROs4FQueDv2c8q2KE","2021","Arctic Monkeys ~ R U Mine?",12
"01DGSKcBCSQ3pRJ4q4Ekmj","2021","Jack Harlow ~ SUNDAY NIGHT",12
"5kkaSMcf4BFlhRRICCKZb6","2021","Pop Smoke ~ Something Special",12
"1fewSx2d5KIZ04wsooEBOz","2021","Metro Boomin ~ Space Cadet (feat. Gunna)",12
"0pQskrTITgmCMyr85tb9qq","2021","David Bowie ~ Starman - 2012 Remaster",12
"7A20WnLkjtZU2d7hIB6Ziu","2021","Roddy Ricch ~ Start Wit Me (feat. Gunna)",12
"4CEoeG1rCKomLu9DtRvX5l","2021","The Beatles ~ With A Little Help From My Friends",12
"7lAK3oHbfEnvUQWosrMMpR","2021","Travis Scott ~ YOSEMITE",12
"4ZtFanR9U6ndgddUvNcjcG","2021","Olivia Rodrigo ~ good 4 u",12
"2emAwdap7qy3QEMEeDjQ42","2021","Baby Keem ~ issues",12
"52A8OAP8lTQKZCj4Rce92B","2022","J. Cole ~ A Tale Of 2 Citiez",12
"4MQIDIQjNWkUvpXe5Je7TO","2022","Baby Keem ~ APOLOGIZE",12
"69uxyAqqPIsUyTO8txoP2M","2022","Coldplay ~ Adventure of a Lifetime",12
"4D6TpthzUVNTjWQqfBW5Kb","2022","Kanye West ~ All Of The Lights (Interlude)",12
"291RmMazWAmDitFuD6NJCv","2022","Queen ~ Another One Bites The Dust",12
