"Month","Artist","Plays"
"01","Post Malone",26
"02","Bazzi",26
"02","Jaden",26
"02","Louis The Child",26
"02","ODESZA",26
"03","Bazzi",26
"03","LEON",26
"03","Pink Sweat$",26
"04","James TW",26
"04","Peaceful Pianos",26
"05","Calvin Harris",26
"05","Pink Sweat$",26
"06","David Guetta",26
"06","Surfaces",26
"07","Chelsea Cutler",26
"08","Jai Wolf",26
"08","James Arthur",26
"08","Julia Michaels",26
"08","XXXTENTACION",26
"09","Alicia Keys",26
"09","Chelsea Cutler",26
"09","Louis The Child",26
"09","R3HAB",26
"09","The Chainsmokers",26
"10","ayokay",26
"11","Alan Walker",26
"11","Drake",26
"11","Hollow Coves",26
"11","Kid Cudi",26
"11","Lewis Capaldi",26
"11","Masego",26
"12","Kendrick Lamar",26
"12","Rihanna",26
"12","SRTW",26
"12","ZAYN",26
"01","Giveon",25
"01","PRETTYMUCH",25
"02","Chelsea Cutler",25
"02","James Blake",25
"02","Rex Orange County",25
"02","Yiruma",25
"03","Jaden",25
"03","Sia",25
"04","Alan Walker",25
"04","Imagine Dragons",25
"04","Jon Bellion",25
"04","Ludovico Einaudi",25
"04","bulow",25
"05","Luis Fonsi",25
"05","Major Lazer",25
"05","Marshmello",25
"05","Russ",25
"05","San Holo",25
"06","Arijit Singh",25
"06","Oh Wonder",25
"06","Pink Sweat$",25
"06","R3HAB",25
"07","Alan Walker",25
"07","Coldplay",25
"07","Shawn Mendes",25
"08","Broken Back",25
"08","Kamal.",25
"08","Sleeping At Last",25
"09","A R I Z O N A",25
"09","Bryce Vine",25
"09","Glass Animals",25
"09","ILLENIUM",25
"09","Masego",25
"09","Sasha Alex Sloan",25
"09","Shawn Mendes",25
"10","Arijit Singh",25
"10","Lofi Fruits Music",25
"10","Sam Smith",25
"11","Kina",25
"12","Alan Walker",25
"12","Burna Boy",25
"12","Jai Wolf",25
"12","James TW",25
"12","Shoffy",25
"12","Travis Scott",25
"01","EMBRZ",24
"01","Pink Sweat$",24
"01","Train",24
"02","Giveon",24
"02","Rihanna",24
"03","Luis Fonsi",24
"04","Chris Burton",24
"04","Jhene Aiko",24
"04","MAX",24
"04","Masego",24
"04","Sam Smith",24
"04","Shawn Mendes",24
"04","Tinlicker",24
"05","Charlie Puth",24
"05","Drake",24
"06","Lolo Zouai",24
"06","Prince Royce",24
"06","SZA",24
"07","Pink Sweat$",24
"07","SRTW",24
"07","Vishal-Shekhar",24
"08","BANNERS",24
"08","Kid Cudi",24
"08","Pedro Capo",24
"08","SAINt JHN",24
"09","Conor Maynard",24
"09","Joji",24
"10","Avicii",24
"10","FINNEAS",24
"10","Jaden",24
"10","Lost Kings",24
"10","Shallou",24
"10","keshi",24
"11","Ali Gatie",24
"11","Chelsea Cutler",24
"11","Shawn Mendes",24
"11","Vicetone",24
"11","blackbear",24
"12","Kanye West",24
"01","Drake",23
"01","Drum Chief",23
"01","KSHMR",23
"01","The Beatles",23
"02","Beyonce",23
"02","James TW",23
"02","Kanye West",23
"03","Bastille",23
"03","Justin Bieber",23
"03","Shoffy",23
"03","ayokay",23
"04","Rihanna",23
"05","Faime",23
"05","Petit Biscuit",23
"06","Petit Biscuit",23
"06","Rex Orange County",23
"06","SRTW",23
"06","San Holo",23
"07","Pentatonix",23
"07","The Piano Guys",23
"08","Cheat Codes",23
"08","Frank Ocean",23
"08","Trippie Redd",23
"09","Borgeous",23
"09","James Blake",23
"09","Lolo Zouai",23
"09","Petit Biscuit",23
"09","Rochak Kohli",23
"10","Faime",23
"10","James Blake",23
"10","blackbear",23
"11","Anson Seabra",23
"11","Kanye West",23
"11","Lolo Zouai",23
"12","Chris Brown",23
"12","Hans Zimmer",23
"12","Lorenzo De Lima",23
"12","Sasha Alex Sloan",23
"01","Daddy Yankee",22
"01","Lewis Capaldi",22
"01","Louis The Child",22
"01","Petit Biscuit",22
"01","XXXTENTACION",22
"02","Daddy Yankee",22
"02","Julia Michaels",22
"02","Justin Bieber",22
"02","Kid Cudi",22
"03","Lewis Capaldi",22
"03","Martin Garrix",22
"03","Petit Biscuit",22
"04","Sean Kingston",22
"04","Takagi & Ketra",22
"05","Daddy Yankee",22
"05","Julia Michaels",22
"05","Noah Cyrus",22
"05","Sleeping At Last",22
"05","fun.",22
"06","CNCO",22
"06","Disney Peaceful Piano",22
"06","SAINt JHN",22
"06","Shallou",22
"07","Flume",22
"07","Ludovico Einaudi",22
"07","R3HAB",22
"07","Snoh Aalegra",22
"07","Tiesto",22
"07","Yoke Lore",22
"08","Alan Walker",22
"08","Andy Grammer",22
"08","Ashe",22
"08","Elephante",22
"08","Lolo Zouai",22
"08","Russ",22
"08","SRTW",22
"08","Surfaces",22
"08","blackbear",22
"08","keshi",22
"09","Alexander 23",22
"09","Alina Baraz",22
"09","Anson Seabra",22
"09","Herdis Stefansdottir",22
"09","Jaden",22
"09","ayokay",22
