"MonthYear","Artist","Plays"
"2022-09","Thundercat",37
"2022-10","Queen",37
"2017-05","J. Cole",36
"2017-09","Future",36
"2017-11","Drake",36
"2017-12","Kendrick Lamar",36
"2018-04","Kendrick Lamar",36
"2019-01","Logic",36
"2019-02","Drake",36
"2020-02","Kanye West",36
"2020-11","Drake",36
"2020-12","The Beatles",36
"2021-06","Pop Smoke",36
"2021-08","Baby Keem",36
"2021-12","Frank Ocean",36
"2022-03","Kid Cudi",36
"2022-05","Hippo Campus",36
"2017-07","blackbear",35
"2018-07","Kendrick Lamar",35
"2018-09","Logic",35
"2019-08","Tory Lanez",35
"2019-12","J. Cole",35
"2019-12","Maroon 5",35
"2020-01","Bryson Tiller",35
"2021-05","Traffic",35
"2021-11","Queen",35
"2021-12","Kanye West",35
"2022-03","Roddy Ricch",35
"2022-06","Frank Ocean",35
"2022-06","Jack Harlow",35
"2022-12","SZA",35
"2017-06","Future",34
"2017-06","Kanye West",34
"2020-01","Drake",34
"2020-02","Maroon 5",34
"2020-03","Coldplay",34
"2020-09","Coldplay",34
"2020-09","Maroon 5",34
"2020-12","Don Toliver",34
"2021-05","Bryson Tiller",34
"2021-11","Jack Harlow",34
"2022-04","Jack Harlow",34
"2022-05","The Weeknd",34
"2022-06","Tyler, The Creator",34
"2022-07","Kid Cudi",34
"2022-07","The Weeknd",34
"2022-09","The Weeknd",34
"2017-09","Calvin Harris",33
"2017-10","Logic",33
"2018-01","Drake",33
"2018-01","Eminem",33
"2018-08","Drake",33
"2018-08","Kendrick Lamar",33
"2018-09","Eminem",33
"2019-05","Yung Gravy",33
"2019-08","The Beatles",33
"2019-10","Lil Tecca",33
"2020-01","The Weeknd",33
"2020-09","Kid Cudi",33
"2021-08","Kendrick Lamar",33
"2021-10","Queen",33
"2022-02","Baby Keem",33
"2022-03","Aries",33
"2022-03","The Weeknd",33
"2022-06","Larry June",33
"2022-07","Tyler, The Creator",33
"2022-09","Marvin Gaye",33
"2022-12","Metro Boomin",33
"2017-09","blackbear",32
"2019-04","Billie Eilish",32
"2019-10","Travis Scott",32
"2019-12","Zacari",32
"2020-11","Veorra",32
"2021-04","Don Toliver",32
"2021-06","Fitz and The Tantrums",32
"2021-06","Polo G",32
"2021-10","Baby Keem",32
"2022-07","Drake",32
"2022-09","Brent Faiyaz",32
"2022-11","The Beatles",32
"2016-04","Eric Bellinger",31
"2017-08","Drake",31
"2018-06","Post Malone",31
"2019-12","Chris Brown",31
"2020-11","Queen",31
"2021-03","The Beatles",31
"2021-05","Cage The Elephant",31
"2021-06","Macklemore & Ryan Lewis",31
"2021-12","Roddy Ricch",31
"2021-12","Tyler, The Creator",31
"2022-02","Travis Scott",31
"2022-05","Larry June",31
"2022-08","Travis Scott",31
"2022-09","Baby Keem",31
"2017-10","Eminem",30
"2019-01","Kendrick Lamar",30
"2019-07","A.R. Rahman",30
"2020-02","Post Malone",30
"2020-11","JAY-Z",30
"2020-12","David Guetta",30
"2021-01","Frank Ocean",30
"2021-01","Queen",30
"2021-03","The Weeknd",30
"2021-06","Juice WRLD",30
"2021-12","Mac Miller",30
"2022-06","Post Malone",30
"2022-06","The Beatles",30
"2022-06","The Weeknd",30
"2022-11","Baby Keem",30
"2017-06","blackbear",29
"2017-07","Kanye West",29
"2018-05","The Weeknd",29
"2018-10","Logic",29
"2018-12","Meek Mill",29
"2019-11","Lil Mosey",29
"2020-03","Marshmello",29
"2020-04","Drake",29
"2020-09","Frank Ocean",29
"2020-12","Drake",29
"2021-02","David Bowie",29
