"Year","Album","Plays"
"2018","Travis Scott ~ ASTROWORLD",42
"2019","Ed Sheeran ~ Perfect",42
"2019","Jeremy Zucker ~ idle",42
"2020","Bruno Major ~ A Song For Every Moon",42
"2020","Sven Stierna ~ Nocturne",42
"2021","Daniel Caesar ~ CASE STUDY 01",42
"2021","6LACK ~ East Atlanta Love Letter",42
"2021","San Holo ~ bb u ok?",42
"2022","James Blake ~ Friends That Break Your Heart",42
"2022","The Piano Guys ~ Lullaby",42
"2018","Fuse ODG ~ Boa Me (feat. Ed Sheeran & Mugeez)",41
"2018","Axwell /\ Ingrosso ~ More Than You Know",41
"2020","Spheres ~ Frangibility",41
"2020","Takagi & Ketra ~ JAMBO",41
"2020","Quinn XCII ~ Two 10s",41
"2021","Shallou ~ All Your Days",41
"2021","Zedd ~ True Colors",41
"2022","James Blake ~ Assume Form",41
"2022","Sleeping At Last ~ Covers, Vol. 2",41
"2022","Johnny Stimson ~ Flower",41
"2018","Khalid ~ American Teen",40
"2018","Drake ~ Scorpion",40
"2019","RK ~ Booska Pefra, Vol. 6",40
"2020","Imagine Dragons ~ Night Visions",40
"2021","Israel Kamakawiwo'ole ~ Facing Future",40
"2021","Gryffin ~ Gravity",40
"2022","The Weeknd ~ After Hours",40
"2022","Kendrick Lamar ~ DAMN.",40
"2022","Quinn XCII ~ The Story of Us",40
"2022","San Holo ~ bb u ok?",40
"2018","Lauv ~ I met you when I was 18.",39
"2018","Billie Eilish ~ Ocean Eyes",39
"2018","Jason Mraz ~ We Sing. We Dance. We Steal Things.",39
"2019","DJomla KS ~ Djomla Ks, Vol. 2",39
"2019","Jake Nilson ~ Jakadonna",39
"2019","Quinn XCII ~ Stacy",39
"2019","Ariana Grande ~ thank u, next",39
"2020","Bazzi ~ COSMIC",39
"2020","Good Night World ~ Good Night World",39
"2020","Matter and Energy ~ Matter and Energy",39
"2020","Billie Eilish ~ dont smile at me",39
"2021","Sleeping At Last ~ Atlas: II",39
"2021","Jaden ~ ERYS",39
"2022","Giveon ~ For Tonight",39
"2022","KSHMR ~ Harmonica Andromeda",39
"2022","SYML ~ You Knew It Was Me",39
"2019","James TW ~ Chapters",38
"2019","Broken Back ~ Dear Misfortune, Mother of Joy",38
"2019","Shawn Mendes ~ Senorita",38
"2019","Bazzi ~ Soul Searching",38
"2020","Jeremy Zucker ~ Motions",38
"2020","Bryant Myers ~ Tanta Falta Remix",38
"2021","Kanye West ~ Donda",38
"2021","Cali Y El Dandee ~ Nada",38
"2021","Alexander 23 ~ Oh No, Not Again!",38
"2022","Jaden ~ CTV3: Cool Tape Vol. 3",38
"2022","Ollie MN ~ Friendly Dark",38
"2022","Shawn Mendes ~ It'll Be Okay",38
"2022","Ollie MN ~ OMN",38
"2022","Suriel Hess ~ Sing Myself to Sleep",38
"2022","The Piano Guys ~ The Piano Guys 2",38
"2018","Rihanna ~ FourFiveSeconds",37
"2018","Khalid ~ Love Lies (with Normani)",37
"2019","Mat Kearney ~ CRAZYTALK",37
"2019","Maluma ~ F.A.M.E.",37
"2019","ayokay ~ In the Shape of a Dream",37
"2019","A R I Z O N A ~ Oceans Away",37
"2019","Calum Scott ~ Only Human",37
"2019","Nikolas Rhonda ~ Zachary Timms",37
"2020","Takagi & Ketra ~ Amore e Capoeira",37
"2020","Jasleen Royal ~ Baar Baar Dekho",37
"2020","Quinn XCII ~ Change of Scenery",37
"2020","Harry Styles ~ Fine Line",37
"2021","Mac Miller ~ Swimming",37
"2022","Agnes Obel ~ Aventine",37
"2022","Novo Amor ~ Birthplace",37
"2022","EMBRZ ~ Moments",37
"2022","Hillsong Instrumentals ~ Piano Reflections",37
"2018","J Balvin ~ Bonita",36
"2018","Daddy Yankee ~ Otra Cosa",36
"2018","Maluma ~ PB.DB. The Mixtape",36
"2018","Ed Sheeran ~ Shape of You",36
"2018","Maluma ~ Sin Contrato (feat. Fifth Harmony)",36
"2020","Ludovico Einaudi ~ I Giorni",36
"2021","Mauve ~ By My Side",36
"2021","Louis The Child ~ Here For Now",36
"2022","Ludovico Einaudi ~ Birdsong",36
"2022","Frank Ocean ~ Blonde",36
"2022","mehro ~ SKY ON FIRE",36
"2022","shy martin ~ Slow",36
"2022","Keala Settle ~ The Greatest Showman (Original Motion Picture Soundtrack)",36
"2022","BETWEEN FRIENDS ~ we just need some time together",36
"2018","James Arthur ~ James Arthur",35
"2018","Daddy Yankee ~ Sigueme Y Te Sigo",35
"2019","Sia ~ LABRINTH, SIA & DIPLO PRESENT... LSD",35
"2020","Kid Cudi ~ Man On The Moon III: The Chosen",35
"2020","Gym Class Heroes ~ The Papercut Chronicles II",35
"2020","Jason Mraz ~ We Sing. We Dance. We Steal Things.",35
"2021","Lewis Capaldi ~ Divinely Uninspired To A Hellish Extent",35
"2021","Daniel Caesar ~ H.E.R.",35
"2021","ODESZA ~ In Return",35
"2021","The Piano Guys ~ The Piano Guys 2",35
"2022","SYML ~ Where's My Love",35
"2018","Beyonce ~ I AM...SASHA FIERCE",34
"2018","Nightcall ~ Let You Go",34
"2019","CNCO ~ Llegaste Tu",34
"2020","Far East Movement ~ Free Wired",34
"2020","Limited Tym ~ GROW",34
"2020","Chelsea Cutler ~ How To Be Human",34
"2020","Oliver Evilo ~ Jupiter Sunrise",34
"2020","Oh Wonder ~ No One Else Can Wear Your Crown",34
"2020","Bazzi ~ Soul Searching",34
"2020","Kasbo ~ The Making of a Paracosm",34
"2021","Sleeping At Last ~ Atlas: I",34
"2021","Luca ~ Ocean",34
"2021","Khalid ~ Suncity",34
"2021","Billie Eilish ~ everything i wanted",34
"2021","Jeremy Zucker ~ idle",34
"2022","The Weeknd ~ Dawn FM",34
"2022","Daniel Caesar ~ H.E.R.",34
"2022","Pritam ~ Kesariya",34
"2022","Kid Cudi ~ Man On The Moon: The End Of Day",34
"2022","Kasbo ~ The Making of a Paracosm",34
"2022","Kanye West ~ ye",34
"2018","Kimberly Anne ~ Ballads",33
"2019","Lewis Capaldi ~ Divinely Uninspired To A Hellish Extent",33
"2019","Metro Boomin ~ NOT ALL HEROES WEAR CAPES",33
"2019","Billie Eilish ~ lovely (with Khalid)",33
"2020","Train ~ California 37",33
"2020","6LACK ~ East Atlanta Love Letter",33
"2020","The Kid LAROI ~ F*CK LOVE (SAVAGE)",33
"2020","ayokay ~ In the Shape of a Dream",33
"2020","Akon ~ Konvicted",33
"2020","Deep Inside ~ Silent Shores",33
"2021","Tyler and Mark ~ Beautiful Dreams",33
"2021","Big Sean ~ Dark Sky Paradise",33
"2021","The Chainsmokers ~ Kanye",33
"2021","Jai Wolf ~ Starlight",33
"2021","Noah Cyrus ~ THE END OF EVERYTHING",33
"2022","Jess Benko ~ Do You Love Me, or Are You Just Lonely?",33
"2022","Jai Wolf ~ Kindred Spirits",33
"2022","RL Grime ~ NOVA",33
"2022","The Weeknd ~ Starboy",33
"2017","The Weeknd ~ Beauty Behind The Madness",32
"2018","Cheat Codes ~ Stay With You",32
"2019","Mitch James ~ Move On",32
"2019","Chelsea Cutler ~ Spotify Singles",32
"2019","blackbear ~ cybersex",32
"2020","Bastille ~ Bad Blood",32
"2020","Israel Kamakawiwo'ole ~ Facing Future",32
"2020","Kid Cudi ~ Passion, Pain & Demon Slayin'",32
"2020","Noah Cyrus ~ THE END OF EVERYTHING",32
"2020","The Only Star In The Sky ~ Wave After Wave EP",32
"2021","Michl ~ Better With You",32
"2021","Pedro Capo ~ Calma",32
"2021","Frank Ocean ~ channel ORANGE",32
"2022","Joji ~ BALLADS 1",32
"2022","Sia ~ LABRINTH, SIA & DIPLO PRESENT... LSD",32
"2022","Sia ~ Music",32
"2022","Giveon ~ Spotify Singles",32
"2022","Giveon ~ TAKE TIME",32
"2022","Jon Bellion ~ The Human Condition",32
"2022","Zedd ~ True Colors",32
"2022","Aries ~ WELCOME HOME",32
"2018","KYLE ~ Light of Mine",31
"2018","LANY ~ Malibu Nights",31
"2018","Ed Sheeran ~ Perfect Duet (Ed Sheeran & Beyonce)",31
"2018","Dean Lewis ~ Same Kind Of Different",31
"2019","Tyler and Mark ~ Beautiful Dreams",31
"2019","BANNERS ~ Empires On Fire",31
"2019","Mauve ~ Just Stay",31
"2019","Sasha Alex Sloan ~ Loser",31
"2019","Lacrim ~ R.I.P.R.O 3",31
"2019","Russ ~ September 16",31
"2019","Max Richter ~ Sleep",31
"2019","The Piano Guys ~ The Piano Guys 2",31
"2019","Post Malone ~ beerbongs & bentleys",31
"2020","A R I Z O N A ~ ASYLUM",31
"2020","Roxy Tones ~ Malibu Nights",31
"2020","Superorganism ~ Superorganism",31
"2020","Claes Nilsson ~ The Sleeper",31
"2020","Kamal. ~ blue",31
"2021","XXXTENTACION ~ 17",31
"2021","Maluma ~ Hawai",31
"2021","RL Grime ~ NOVA",31
"2021","Mr. Probz ~ Nothing Really Matters",31
"2021","Jason Mraz ~ We Sing. We Dance. We Steal Things.",31
"2021","Alaina Castillo ~ the voicenotes",31
"2022","Lolo Zouai ~ High Highs to Low Lows",31
"2022","Kid Cudi ~ Man On The Moon II: The Legend Of Mr. Rager",31
"2022","Lucky Daye ~ Painted",31
"2022","Grant ~ Wishes",31
"2022","James Arthur ~ YOU",31
"2018","Enrique Iglesias ~ EL BANO (feat. Bad Bunny)",30
"2018","James TW ~ For You",30
"2018","Rudimental ~ These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",30
"2019","Kina Grannis ~ Crazy Rich Asians (Original Motion Picture Soundtrack)",30
"2019","Fancy Cars ~ Fun",30
"2019","Maroon 5 ~ Memories",30
"2019","Naughty Boy ~ Undo (with Calum Scott & Shenseea)",30
"2019","Lola Fernando ~ Usman Soto",30
"2020","Bryce Vine ~ Carnival",30
"2020","Daniel Caesar ~ H.E.R.",30
"2020","Pink Sweat$ ~ The Prelude",30
"2020","Majestic Sleep ~ Vast Surroundings",30
"2021","UMI ~ Butterfly",30
"2021","Labrinth ~ Euphoria (Original Score from the HBO Series)",30
"2021","Chelsea Cutler ~ How To Be Human",30
"2021","San Holo ~ IT HURTS!",30
"2021","Billie Eilish ~ Lo Vas A Olvidar (with ROSALIA)",30
"2021","ZAYN ~ Nobody Is Listening",30
"2021","Miguel ~ Remember Me (Duo)",30
"2022","Shallou ~ All Your Days",30
"2022","Mutemath ~ Changes",30
"2022","The Piano Guys ~ Easy On Me",30
"2022","Quinn XCII ~ From Michigan With Love",30
"2022","Kamal. ~ war outside",30
"2018","Nicky Jam ~ X",29
"2018","Billie Eilish ~ when the party's over",29
"2019","XXXTENTACION ~ 17",29
"2019","David Guetta ~ 7",29
"2019","VAX ~ Crime",29
"2019","Bruno Mars ~ Doo-Wops & Hooligans",29
"2019","Akon ~ Konvicted",29
"2019","Ali Gatie ~ Moonlight",29
"2019","Andy Grammer ~ Naive",29
"2020","Thomas Newman ~ Finding Nemo",29
"2020","Whethan ~ Life of a Wallflower, Vol. 1",29
"2020","Epic Centre ~ Orbit",29
"2020","Lostboycrow ~ Sigh for Me",29
"2020","PRETTYMUCH ~ Summer on You",29
"2020","Herdis Stefansdottir ~ The Sun Is Also a Star (Original Motion Picture Soundtrack)",29
"2021","Bruno Major ~ A Song For Every Moon",29
"2021","Lewis Capaldi ~ Before You Go",29
"2021","KSHMR ~ Harmonica Andromeda",29
"2021","San Holo ~ Light",29
"2021","Finding Hope ~ Our Love",29
"2022","The Beatles ~ Abbey Road",29
"2022","The Piano Guys ~ Before You Go",29
"2022","Morgan Page ~ Fire & Gold",29
"2022","Miro ~ Voices",29
"2022","Miguel ~ War & Leisure",29
"2022","The Piano Guys ~ Wonders",29
"2017","The Weeknd ~ Trilogy",28
"2018","Great Good Fine Ok ~ Find Yourself",28
"2018","Robyn Sherwell ~ Robyn Sherwell",28
"2018","Kanye West ~ ye",28
"2019","Neutral Commitment ~ A Message from Teen Romance: A Message from Earth to Heaven / Teen Romance",28
"2019","Party Favor ~ Caskets (feat. FKi 1st)",28
"2019","Evan Rachel Wood ~ Frozen 2",28
"2019","CNCO ~ Hey DJ",28
"2019","Joel Adams ~ Please Don't Go",28
"2020","A.CHAL ~ EXOTIGAZ",28
"2020","Anuel AA ~ Emmanuel",28
"2020","Arlette Leduc ~ Euphrosyne",28
"2020","Shoffy ~ Lenses",28
"2020","Mauve ~ Love Letters",28
"2020","Kyle McEvoy ~ Memoir Collections I - Beginnings",28
"2020","Neon Trees ~ Picture Show",28
"2020","Richard Ramsey ~ Slumber",28
"2020","Kanye West ~ The Life Of Pablo",28
"2020","Zedd ~ True Colors",28
"2020","Surfaces ~ Where the Light Is",28
"2021","Jeff Bernat ~ Changes",28
"2021","Dekleyn ~ Chasing Dreams",28
"2021","Justin Bieber ~ Justice",28
"2021","Petit Biscuit ~ Night Trouble",28
"2021","Mauve ~ Take Me Dancing",28
"2021","Pink Sweat$ ~ The Prelude",28
"2021","Herdis Stefansdottir ~ The Sun Is Also a Star (Original Motion Picture Soundtrack)",28
"2022","ODESZA ~ Behind The Sun",28
"2022","Jack Jezzro ~ Disney's Fairy Tale Weddings",28
"2022","Ludovico Einaudi ~ Eden Roc",28
"2022","A R I Z O N A ~ GALLERY",28
"2022","Patrick Watson ~ Je te laisserai des mots",28
"2022","Joji ~ Nectar",28
"2022","ZAYN ~ Nobody Is Listening",28
"2022","Ruth B. ~ Safe Haven",28
"2022","Sleeping At Last ~ The Twilight Saga: Breaking Dawn - Part 1",28
"2022","Tom Rosenthal ~ Z-Sides",28
"2022","Jeremy Zucker ~ brent ii",28
"2022","HONNE ~ nswy: dream edits",28
"2017","Nicky Jam ~ Greatest Hits, Vol. 1",27
"2018","Bazzi ~ COSMIC",27
"2018","Shoffy ~ Different Skies",27
"2018","Carlie Hanson ~ Only One",27
"2018","Lostboycrow ~ Sigh for Me",27
"2018","R. Kelly ~ The Essential R. Kelly",27
"2019","Lindsey Stirling ~ Hallelujah",27
"2019","Post Malone ~ Hollywood's Bleeding",27
"2019","Lennon Stella ~ Like Everybody Else",27
"2019","LANY ~ Malibu Nights",27
"2019","Avicii ~ The Days / Nights",27
"2019","St. Viper ~ Zaraze",27
"2020","Sarcastic Sounds ~ 1 Am. Study Session",27
"2020","Ellie Goulding ~ Brightest Blue",27
"2020","Rochak Kohli ~ Dil Na Jaaneya (From """"Good Newwz"""")",27
"2020","Maluma ~ F.A.M.E.",27
"2020","Akon ~ Freedom",27
