"Season","Album","Plays"
"Fall","Ed Sheeran ~ +",44
"Fall","Quinn XCII ~ From Michigan With Love",44
"Fall","Ed Sheeran ~ Perfect",44
"Spring","SYML ~ SYML",44
"Summer","Justin Bieber ~ Changes",44
"Summer","Lauv ~ I met you when I was 18.",44
"Summer","Post Malone ~ beerbongs & bentleys",44
"Winter","Mauve ~ By My Side",44
"Winter","Khalid ~ Free Spirit",44
"Winter","SYML ~ Here Comes the Sun",44
"Fall","Daniel Caesar ~ H.E.R.",43
"Fall","Jason Mraz ~ We Sing. We Dance. We Steal Things.",43
"Summer","Nicky Jam ~ Fenix",43
"Summer","Giveon ~ Give Or Take",43
"Winter","Giveon ~ When It's All Said And Done... Take Time",43
"Fall","Metro Boomin ~ HEROES & VILLAINS",42
"Spring","Quinn XCII ~ From Michigan With Love",42
"Summer","Lewis Capaldi ~ Before You Go",42
"Summer","Whethan ~ Life of a Wallflower, Vol. 1",42
"Winter","Bazzi ~ COSMIC",42
"Fall","Sleeping At Last ~ Atlas: I",41
"Fall","Bazzi ~ COSMIC",41
"Fall","Giveon ~ When It's All Said And Done... Take Time",41
"Spring","Sleeping At Last ~ Atlas: II",41
"Spring","Kygo ~ Stargazing",41
"Summer","Labrinth ~ Euphoria (Original Score from the HBO Series)",41
"Winter","Sleeping At Last ~ Atlas: II",41
"Winter","Jeremy Zucker ~ brent ii",41
"Fall","Ludovico Einaudi ~ I Giorni",40
"Fall","Khalid ~ Scenic Drive (The Tape)",40
"Spring","Jason Mraz ~ We Sing. We Dance. We Steal Things.",40
"Summer","James Blake ~ Assume Form",40
"Summer","The Weeknd ~ Kiss Land",40
"Summer","SYML ~ SYML",40
"Summer","Drake ~ Scorpion",40
"Summer","Kanye West ~ ye",40
"Winter","RK ~ Booska Pefra, Vol. 6",40
"Winter","Shoffy ~ Flash",40
"Winter","LANY ~ Malibu Nights",40
"Winter","Jason Mraz ~ We Sing. We Dance. We Steal Things.",40
"Winter","Lauv ~ ~how i'm feeling~",40
"Fall","Novo Amor ~ Bathing Beach",39
"Fall","Daniel Caesar ~ Freudian",39
"Spring","Frank Ocean ~ Blonde",39
"Spring","Patrick Watson ~ Je te laisserai des mots",39
"Spring","Mau y Ricky ~ La Boca",39
"Spring","Frank Ocean ~ channel ORANGE",39
"Summer","Novo Amor ~ Bathing Beach",39
"Summer","Kanye West ~ Donda",39
"Summer","Avicii ~ TIM",39
"Winter","DJomla KS ~ Djomla Ks, Vol. 2",39
"Winter","Jake Nilson ~ Jakadonna",39
"Fall","SYML ~ Here Comes the Sun",38
"Summer","The Cinematic Orchestra ~ Ma Fleur",38
"Summer","Gym Class Heroes ~ The Papercut Chronicles II",38
"Summer","Herdis Stefansdottir ~ The Sun Is Also a Star (Original Motion Picture Soundtrack)",38
"Summer","Zedd ~ True Colors",38
"Winter","Bruno Major ~ To Let A Good Thing Die",38
"Fall","Lauv ~ I met you when I was 18.",37
"Fall","Mauve ~ Just Stay",37
"Fall","LANY ~ Malibu Nights",37
"Fall","Kid Cudi ~ Man On The Moon: The End Of Day",37
"Spring","ODESZA ~ In Return",37
"Spring","Marshmello ~ Silence",37
"Spring","Daniel Schulz ~ Turn Back Time",37
"Spring","Ludovico Einaudi ~ Una Mattina",37
"Summer","Kygo ~ Stargazing",37
"Summer","Ludovico Einaudi ~ Una Mattina",37
"Winter","Nikolas Rhonda ~ Zachary Timms",37
"Fall","Post Malone ~ Hollywood's Bleeding",36
"Fall","The Weeknd ~ Kiss Land",36
"Fall","Alec Benjamin ~ Narrated For You",36
"Fall","Dean Lewis ~ Same Kind Of Different",36
"Fall","Kasbo ~ The Making of a Paracosm",36
"Spring","Tom Shea ~ Sold for Data",36
"Spring","Post Malone ~ Twelve Carat Toothache",36
"Spring","The Piano Guys ~ Wonders",36
"Summer","Bastille ~ Bad Blood",36
"Summer","Broken Back ~ Dear Misfortune, Mother of Joy",36
"Summer","Jai Wolf ~ Indian Summer",36
"Summer","Kid Cudi ~ Man On The Moon: The End Of Day",36
"Summer","American Authors ~ Oh, What A Life",36
"Winter","6LACK ~ East Atlanta Love Letter",36
"Winter","Jeremy Zucker ~ glisten",36
"Fall","Shallou ~ All Your Days",35
"Fall","The Kid LAROI ~ F*CK LOVE (SAVAGE)",35
"Fall","Post Malone ~ beerbongs & bentleys",35
"Spring","The Piano Guys ~ Chill",35
"Spring","Julia Michaels ~ Fifty Shades Freed",35
"Spring","Chelsea Cutler ~ How To Be Human",35
"Spring","The Piano Guys ~ Lullaby",35
"Spring","Naughty Boy ~ Undo (with Calum Scott & Shenseea)",35
"Spring","Jeremy Zucker ~ you were good to me",35
"Summer","Shawn Mendes ~ Senorita",35
"Summer","Post Malone ~ Stoney",35
"Summer","Jeremy Zucker ~ you were good to me",35
"Winter","Quinn XCII ~ Change of Scenery II",35
"Winter","CNCO ~ Hey DJ",35
"Winter","Russ ~ ZOO",35
"Fall","Jasleen Royal ~ Baar Baar Dekho",34
"Fall","KSHMR ~ Harmonica Andromeda",34
"Fall","Jai Wolf ~ Indian Summer",34
"Fall","Lucky Daye ~ Painted",34
"Fall","Emmit Fenn ~ Prologue",34
"Fall","Vishal-Shekhar ~ Student of the Year (Original Motion Picture Soundtrack)",34
"Fall","Rihanna ~ Unapologetic",34
"Spring","A R I Z O N A ~ GALLERY",34
"Spring","Khalid ~ Suncity",34
"Spring","Billie Eilish ~ lovely (with Khalid)",34
"Summer","Lostboycrow ~ Sigh for Me",34
"Summer","Jon Bellion ~ The Human Condition",34
"Summer","Kamal. ~ blue",34
"Winter","Jaden ~ CTV3: Cool Tape Vol. 3",34
"Winter","Alan Walker ~ Different World",34
"Winter","Louis The Child ~ Here For Now",34
"Winter","CNCO ~ Llegaste Tu",34
"Winter","Oh Wonder ~ No One Else Can Wear Your Crown",34
"Fall","Daniel Caesar ~ CASE STUDY 01",33
"Fall","Maroon 5 ~ Memories",33
"Fall","Billie Eilish ~ Six Feet Under",33
"Fall","Miro ~ Voices",33
"Spring","Axwell /\ Ingrosso ~ More Than You Know",33
"Spring","Lostboycrow ~ Sigh for Me",33
"Spring","PRETTYMUCH ~ Summer on You",33
"Summer","Lolo Zouai ~ High Highs to Low Lows",33
"Summer","Jai Wolf ~ Kindred Spirits",33
"Summer","Ed Sheeran ~ Perfect",33
"Winter","Finding Hope ~ Love",33
"Winter","PRETTYMUCH ~ Summer on You",33
"Fall","Lucky Daye ~ Candydrip",32
"Fall","Lewis Capaldi ~ Divinely Uninspired To A Hellish Extent",32
"Fall","Hollow Coves ~ Wanderlust",32
"Spring","Post Malone ~ Hollywood's Bleeding",32
"Spring","Kid Cudi ~ Passion, Pain & Demon Slayin'",32
"Spring","Billie Eilish ~ Six Feet Under",32
"Spring","Mac Miller ~ Swimming",32
"Spring","Pritam ~ Yeh Jawaani Hai Deewani",32
"Summer","Louis The Child ~ Here For Now",32
