"SchoolPeriod","Artist","Plays"
"10th-11th Summer","Lil Skies",143
"9th Grade","Pusha T",143
"Sophomore Year","J. Cole",143
"12th Grade","Earl Sweatshirt",142
"Sophomore Year","BROCKHAMPTON",142
"Freshman Year","Beach House",141
"11th-12th Summer","Joey Bada$$",140
"9th-10th Summer","Amine",140
"Sophomore-Junior Summer","Brent Faiyaz",140
"11th-12th Summer","Playboi Carti",139
"9th Grade","NAV",139
"Sophomore-Junior Summer","Koi",139
"10th Grade","Big K.R.I.T.",138
"10th-11th Summer","Jay Rock",138
"Sophomore Year","Tory Lanez",138
"Sophomore-Junior Summer","Earl Sweatshirt",138
"12th Grade","Madlib, Freddie Gibbs",136
"12th-Freshman Summer","Mick Jenkins",136
"11th Grade","A$AP Rocky",135
"11th Grade","Jaden",135
"8th-9th Summer","Bryson Tiller",135
"9th Grade","blackbear",135
"9th-10th Summer","Bryson Tiller",135
"Sophomore Year","Hippo Campus",135
"10th Grade","SiR",134
"11th Grade","Kota the Friend",134
"9th-10th Summer","Young Thug",134
"11th Grade","A Boogie wit da Hoodie",133
"11th Grade","Offset",132
"11th-12th Summer","Young Thug",132
"12th-Freshman Summer","Tory Lanez",132
"Sophomore-Junior Summer","Isaiah Rashad",132
"12th-Freshman Summer","Kota the Friend",130
"12th Grade","Kanye West",129
"9th-10th Summer","JAY-Z",129
"Sophomore Year","Vince Staples",129
"Sophomore-Junior Summer","Aries",128
"10th Grade","Miguel",127
"11th Grade","Lil Baby, Gunna",127
"Sophomore Year","Roddy Ricch",127
"Sophomore Year","ScHoolboy Q",127
"12th Grade","Juice WRLD",126
"8th-9th Summer","Snoop Dogg",126
"Sophomore Year","Jazz Cartier",126
"12th-Freshman Summer","The Weeknd",125
"Freshman-Sophomore Summer","PARTYNEXTDOOR",125
"12th Grade","Isaiah Rashad",124
"Freshman-Sophomore Summer","Kendrick Lamar",124
"Freshman Year","Amine",123
"Freshman Year","Playboi Carti",123
"Freshman-Sophomore Summer","Drake",123
"Sophomore Year","Trippie Redd",123
"10th Grade","Gucci Mane",122
"9th Grade","Playboi Carti",122
"Sophomore Year","Gunna",122
"Sophomore Year","Juice WRLD",122
"11th Grade","Juice WRLD, Future",121
"8th Grade","Domo Genesis",121
"Sophomore-Junior Summer","Post Malone",121
"10th-11th Summer","Jazz Cartier",120
"8th Grade","Danny Brown",120
"9th-10th Summer","Lil Uzi Vert",120
"11th Grade","Lil Skies",119
"Sophomore Year","A Boogie wit da Hoodie",119
"11th Grade","Kanye West",118
"11th Grade","Quavo",118
"12th Grade","Playboi Carti",118
"10th-11th Summer","Juice WRLD",117
"11th Grade","21 Savage",117
"11th Grade","Mir Fontane",117
"11th Grade","Sheck Wes",117
"12th Grade","Lil Wayne",117
"12th-Freshman Summer","Logic",117
"Freshman-Sophomore Summer","Joey Bada$$",117
"12th-Freshman Summer","Polo G",116
"10th Grade","Ski Mask the Slump God",115
"10th-11th Summer","Mick Jenkins",115
"11th Grade","Drake",115
"11th Grade","Takeoff",115
"12th Grade","EARTHGANG",115
"9th Grade","Logic",115
"8th-9th Summer","Rae Sremmurd",114
