"Season","Artist","Plays"
"Summer","Red Hot Chili Peppers",31
"Winter","A.R. Rahman",31
"Winter","Polo G",31
"Fall","42 Dugg",30
"Fall","Camila Cabello",30
"Fall","Dizaro",30
"Fall","Polo G",30
"Fall","RL Grime",30
"Fall","Vince Staples",30
"Spring","CHASE B",30
"Spring","Kiiara",30
"Spring","One Direction",30
"Summer","Ansel Elgort",30
"Summer","Arctic Monkeys",30
"Summer","Doja Cat",30
"Summer","Larry June",30
"Summer","Meek Mill",30
"Summer","SZA",30
"Summer","ScHoolboy Q",30
"Summer","Usher",30
"Winter","6ix9ine",30
"Winter","Ariana Grande",30
"Winter","Creedence Clearwater Revival",30
"Winter","Jeremih",30
"Winter","Jorja Smith",30
"Winter","boy pablo",30
"Fall","Big Sean",29
"Fall","Rihanna",29
"Fall","Tee Grizzley",29
"Fall","YNW Melly",29
"Spring","Pacific Air",29
"Spring","TOTO",29
"Spring","The Wanted",29
"Spring","Weezer",29
"Summer","ILOVEMAKONNEN",29
"Summer","Lynyrd Skynyrd",29
"Summer","Rex Orange County",29
"Summer","The Wanted",29
"Winter","Big Sean",29
"Winter","G-Eazy",29
"Winter","Pacific Air",29
"Winter","SOB X RBE",29
"Winter","Shankar-Ehsaan-Loy",29
"Fall","BabyTron",28
"Fall","Bruno Mars",28
"Fall","Fetty Wap",28
"Fall","Huncho Jack",28
"Spring","Amine",28
"Spring","Dreamville",28
"Spring","George Harrison",28
"Spring","Lil Nas X",28
"Summer","Taylor Swift",28
"Winter","Avicii",28
"Winter","Brent Faiyaz",28
"Winter","Saint Motel",28
"Fall","Daft Punk",27
"Fall","Macklemore & Ryan Lewis",27
"Fall","The Wanted",27
"Spring","A.R. Rahman",27
"Spring","Creedence Clearwater Revival",27
"Spring","Lynyrd Skynyrd",27
"Summer","Bryce Vine",27
"Summer","Internet Money",27
"Summer","Majid Jordan",27
"Summer","The Police",27
"Summer","Young Money",27
"Winter","Wallows",27
"Winter","Weezer",27
"Fall","Adele",26
"Fall","Chance the Rapper",26
"Fall","Jimi Hendrix",26
"Fall","MKTO",26
"Fall","The Beach Boys",26
"Spring","Big Sean",26
"Spring","Black Eyed Peas",26
"Spring","Internet Money",26
"Spring","Kirko Bangz",26
"Spring","Skrillex",26
"Summer","Jay Rock",26
"Summer","Macklemore & Ryan Lewis",26
"Summer","Pink Floyd",26
"Summer","Skrillex",26
"Summer","Tom Petty",26
"Summer","Ty Dolla $ign",26
"Summer","Yusuf / Cat Stevens",26
"Summer","whiterosemoxie",26
"Winter","Lorde",26
"Winter","Major Lazer",26
"Winter","Pitbull",26
"Winter","Vance Joy",26
"Fall","George Harrison",25
"Fall","Jay Rock",25
"Fall","John Newman",25
"Fall","MGMT",25
"Spring","Ansel Elgort",25
"Spring","Aries",25
"Spring","BabyJake",25
"Spring","Chance the Rapper",25
"Spring","DNCE",25
"Spring","DaBaby",25
"Spring","Foo Fighters",25
"Spring","NxWorries",25
"Spring","Rae Sremmurd",25
"Spring","The Chainsmokers",25
"Summer","Bas",25
"Summer","Fleetwood Mac",25
"Summer","George Harrison",25
"Summer","The Neighbourhood",25
"Summer","Thin Lizzy",25
"Winter","Mustard",25
"Winter","Osibih",25
"Winter","Selena Gomez",25
"Winter","The Beach Boys",25
"Winter","The Wanted",25
"Fall","A Boogie Wit da Hoodie",24
"Fall","Estelle",24
"Fall","Guns N' Roses",24
"Fall","Machine Gun Kelly",24
"Fall","Ms. Lauryn Hill",24
"Spring","Clean Bandit",24
"Spring","Saint Motel",24
"Spring","The Police",24
"Summer","42 Dugg",24
"Summer","6LACK",24
"Summer","Jimi Hendrix",24
"Summer","John Newman",24
"Summer","Metro Boomin",24
"Summer","Milky Chance",24
"Winter","Aries",24
"Winter","Bas",24
"Winter","Hailee Steinfeld",24
"Winter","Machine Gun Kelly",24
"Winter","Rae Sremmurd",24
"Winter","The Jackson 5",24
"Fall","6ix9ine",23
"Fall","Ariana Grande",23
"Fall","Fitz and The Tantrums",23
"Fall","ILOVEMAKONNEN",23
"Fall","Laffey",23
"Fall","Redbone",23
"Fall","ScHoolboy Q",23
"Fall","The Doobie Brothers",23
"Spring","Alina Baraz",23
"Spring","BlocBoy JB",23
"Spring","Dannic",23
"Spring","Huncho Jack",23
"Spring","MGMT",23
"Spring","Martin Garrix",23
"Spring","Nicki Minaj",23
"Spring","ZAYN",23
"Summer","ABBA",23
"Summer","Camila Cabello",23
"Summer","Creedence Clearwater Revival",23
"Summer","Ed Sheeran",23
"Summer","Jason Derulo",23
"Summer","Kodak Black",23
"Summer","Marvin Gaye",23
"Summer","TOTO",23
"Summer","benny blanco",23
"Winter","CHASE B",23
"Winter","DNCE",23
"Winter","Huncho Jack",23
"Winter","Jethro Tull",23
"Winter","Jhene Aiko",23
"Winter","NF",23
"Winter","Offset",23
"Fall","Daniel Caesar",22
"Fall","Daryl Hall & John Oates",22
"Fall","Jhene Aiko",22
"Fall","Joe Cocker",22
"Fall","Trippie Redd",22
"Spring","Benny Benassi",22
"Spring","Capital Cities",22
"Spring","John Newman",22
"Spring","Justin Bieber",22
"Spring","Machine Gun Kelly",22
"Spring","Red Hot Chili Peppers",22
"Summer","Kris Wu",22
"Summer","Masego",22
"Summer","The Rolling Stones",22
"Summer","Weezer",22
"Winter","2 Chainz",22
"Winter","Clean Bandit",22
"Winter","Daft Punk",22
"Winter","Kirko Bangz",22
"Winter","Macklemore & Ryan Lewis",22
"Winter","XXXTENTACION",22
"Fall","Nicki Minaj",21
"Fall","Noisestorm",21
"Fall","Shankar-Ehsaan-Loy",21
"Fall","The Temptations",21
"Spring","Aerosmith",21
"Spring","Death Cab for Cutie",21
"Spring","King Curtis",21
"Spring","M83",21
"Spring","Tee Grizzley",21
"Summer","Beach House",21
"Summer","Big Sean",21
"Summer","Boston",21
"Summer","GROUPLOVE",21
"Summer","Quinn XCII",21
"Summer","Selena Gomez",21
"Summer","ZAYN",21
"Summer","Zacari",21
"Summer","Zedd",21
"Winter","Absofacto",21
"Winter","Arctic Monkeys",21
"Winter","BabyJake",21
"Winter","Dominic Fike",21
"Winter","ILOVEMAKONNEN",21
"Winter","Martin Garrix",21
"Fall","2 Chainz",20
"Fall","Beach House",20
"Fall","Outkast",20
"Fall","The Mamas & The Papas",20
"Spring","Daddy Yankee",20
"Spring","Jeremih",20
"Spring","Jonas Brothers",20
"Spring","MKTO",20
"Spring","Major Lazer",20
"Spring","Ms. Lauryn Hill",20
"Spring","Portugal. The Man",20
"Spring","Quinn XCII",20
"Spring","Swedish House Mafia",20
"Summer","Black Eyed Peas",20
"Summer","Daryl Hall & John Oates",20
"Summer","Electric Light Orchestra",20
"Summer","Gucci Mane",20
"Summer","Mike Posner",20
"Summer","Shaan",20
"Summer","The Jackson 5",20
"Winter","Aerosmith",20
"Winter","Dayglow",20
"Winter","Jaden",20
"Winter","Jay Rock",20
"Winter","Majid Jordan",20
"Winter","YG",20
"Fall","6LACK",19
"Fall","Aliotta Haynes Jeremiah",19
"Fall","Bryce Vine",19
"Fall","Casiio",19
"Fall","Jeremih",19
"Fall","NoMBe",19
"Fall","Pink Floyd",19
"Fall","Robin Bennich",19
"Fall","benny blanco",19
"Spring","Dada Life",19
"Spring","Estelle",19
"Spring","Far East Movement",19
"Spring","Rich The Kid",19
"Spring","Usher",19
"Spring","Wiz Khalifa",19
"Summer","Beyonce",19
"Summer","CHASE B",19
"Summer","Hailee Steinfeld",19
"Summer","KYLE",19
"Summer","Sonu Nigam",19
"Summer","The Chainsmokers",19
"Winter","Daryl Hall & John Oates",19
"Winter","King Harvest",19
"Winter","Mike Posner",19
"Winter","Traffic",19
"Winter","Yung Gravy",19
"Winter","midwxst",19
"Fall","A$AP Ferg",18
"Fall","Briston Maroney",18
"Fall","CHASE B",18
"Fall","DJ Khaled",18
"Fall","HYTYD",18
"Fall","Hailee Steinfeld",18
"Fall","Lil Yachty",18
"Fall","P-Lo",18
"Fall","iann dior",18
"Spring","B.o.B",18
"Spring","ILOVEMAKONNEN",18
"Spring","No Wyld",18
"Spring","Shaan",18
"Spring","Young Stoner Life",18
"Summer","Capital Cities",18
"Summer","Flo Rida",18
"Summer","NoMBe",18
"Summer","Noisestorm",18
"Summer","Pi'erre Bourne",18
"Summer","R.E.M.",18
"Summer","Rae Sremmurd",18
"Summer","The Temptations",18
"Summer","The Who",18
"Summer","Twista",18
"Winter","B.o.B",18
"Winter","BROCKHAMPTON",18
