"Hour","Artist","Plays"
"07","Oh Wonder",14
"08","Novo Amor",14
"08","Sven Stierna",14
"08","keshi",14
"09","Arlette Leduc",14
"09","Bruno Major",14
"09","Dreamscaper",14
"09","Matter and Energy",14
"09","SYML",14
"09","Shoffy",14
"10","Khalid",14
"10","Matter and Energy",14
"11","Daniel Caesar",14
"11","Lauv",14
"11","ODESZA",14
"11","Pink Sweat$",14
"12","Martin Garrix",14
"13","Avicii",14
"13","Khalid",14
"13","Kygo",14
"14","Ludovico Einaudi",14
"14","Nidza Bleja",14
"14","SRTW",14
"14","Snoh Aalegra",14
"15","Avicii",14
"15","Gryffin",14
"15","Jaden",14
"15","Joji",14
"15","Shawn Mendes",14
"16","Andy Grammer",14
"16","Chelsea Cutler",14
"16","Gryffin",14
"16","James Arthur",14
"16","Jason Mraz",14
"16","KSHMR",14
"16","Kasbo",14
"16","Marshmello",14
"16","SRTW",14
"16","SZA",14
"16","Shoffy",14
"17","Chelsea Cutler",14
"17","Jai Wolf",14
"17","OneRepublic",14
"17","Shallou",14
"17","The Chainsmokers",14
"17","ZAYN",14
"18","Alvaro Soler",14
"18","Christian French",14
"18","Dean Lewis",14
"18","Labrinth",14
"18","Miguel",14
"18","Novo Amor",14
"18","Sam Smith",14
"18","Train",14
"19","Calvin Harris",14
"19","Cheat Codes",14
"19","Daddy Yankee",14
"19","Lucky Daye",14
"19","Sasha Alex Sloan",14
