"SchoolPeriod","Artist","Plays"
"Freshman-Sophomore Summer","Andrew Garcia",6
"Freshman-Sophomore Summer","Ark Patrol",6
"Freshman-Sophomore Summer","Atlas in Motion",6
"Freshman-Sophomore Summer","Bakermat",6
"Freshman-Sophomore Summer","Ben Kessler",6
"Freshman-Sophomore Summer","Big Gigantic",6
"Freshman-Sophomore Summer","Calum Scott",6
"Freshman-Sophomore Summer","Camilo",6
"Freshman-Sophomore Summer","Christian French",6
"Freshman-Sophomore Summer","Dave",6
"Freshman-Sophomore Summer","Daya",6
"Freshman-Sophomore Summer","Drax Project",6
"Freshman-Sophomore Summer","Duava",6
"Freshman-Sophomore Summer","Ellie Goulding",6
"Freshman-Sophomore Summer","Enrique Iglesias",6
"Freshman-Sophomore Summer","Free Nationals",6
"Freshman-Sophomore Summer","Gnarls Barkley",6
"Freshman-Sophomore Summer","Harry Styles",6
"Freshman-Sophomore Summer","INZO",6
"Freshman-Sophomore Summer","JAY-Z",6
"Freshman-Sophomore Summer","Jaymes Young",6
"Freshman-Sophomore Summer","Jeremy Ng",6
"Freshman-Sophomore Summer","Jonas Blue",6
"Freshman-Sophomore Summer","Kane Brown",6
"Freshman-Sophomore Summer","Kim Bo",6
"Freshman-Sophomore Summer","L.Dre",6
"Freshman-Sophomore Summer","LEON",6
"Freshman-Sophomore Summer","Lukas Graham",6
"Freshman-Sophomore Summer","Madeon",6
"Freshman-Sophomore Summer","Meghan Trainor",6
"Freshman-Sophomore Summer","Milky Chance",6
"Freshman-Sophomore Summer","Nazareno Aversa",6
"Freshman-Sophomore Summer","Pretty Lights",6
"Freshman-Sophomore Summer","Regard",6
"Freshman-Sophomore Summer","SZA",6
"Freshman-Sophomore Summer","Skip Marley",6
"Freshman-Sophomore Summer","Still Woozy",6
"Freshman-Sophomore Summer","The Killers",6
"Freshman-Sophomore Summer","The Neighbourhood",6
"Freshman-Sophomore Summer","Tom Misch",6
"Freshman-Sophomore Summer","Tove Lo",6
"Freshman-Sophomore Summer","Years & Years",6
"Freshman-Sophomore Summer","Zaeden",6
"Sophomore Year","3LAU",6
"Sophomore Year","5 Seconds of Summer",6
"Sophomore Year","A.R. Rahman",6
"Sophomore Year","Amir Obe",6
"Sophomore Year","Angus & Julia Stone",6
"Sophomore Year","Austin Harms",6
"Sophomore Year","Axwell /\ Ingrosso",6
"Sophomore Year","Ben Howard",6
"Sophomore Year","Ben Woodward",6
"Sophomore Year","Big Gigantic",6
"Sophomore Year","Brett Eldredge",6
"Sophomore Year","Broken Back",6
"Sophomore Year","Calming Eyes",6
"Sophomore Year","Cash Cash",6
"Sophomore Year","Cautious Clay",6
"Sophomore Year","Cigarettes After Sex",6
"Sophomore Year","Dabin",6
"Sophomore Year","Daddy Yankee",6
"Sophomore Year","Darcie Roman",6
"Sophomore Year","Dev Negi",6
"Sophomore Year","Doris Melwin",6
"Sophomore Year","INZO",6
"Sophomore Year","JID",6
"Sophomore Year","JP Cooper",6
"Sophomore Year","Jack Jezzro",6
"Sophomore Year","Jain",6
"Sophomore Year","Jakob",6
"Sophomore Year","KIDS SEE GHOSTS",6
"Sophomore Year","Kane Brown",6
"Sophomore Year","Khaled",6
"Sophomore Year","Leo Baumgart",6
"Sophomore Year","Lou & J2x",6
"Sophomore Year","Maggie Lindemann",6
"Sophomore Year","Mansionair",6
"Sophomore Year","Marc E. Bassy",6
"Sophomore Year","Maria Isabel",6
"Sophomore Year","Maroon 5",6
"Sophomore Year","Mat Kearney",6
"Sophomore Year","Mickey Singh",6
"Sophomore Year","Mome",6
"Sophomore Year","Montell Fish",6
"Sophomore Year","Myles Cameron",6
"Sophomore Year","Noa Sandberg",6
"Sophomore Year","Nova Issue",6
"Sophomore Year","Omar Apollo",6
"Sophomore Year","Radical Face",6
"Sophomore Year","Rich Brian",6
"Sophomore Year","SHAED",6
"Sophomore Year","Saint Motel",6
"Sophomore Year","Sara Kays",6
"Sophomore Year","Sevyn Streeter",6
"Sophomore Year","Stormzy",6
"Sophomore Year","Sub Urban",6
"Sophomore Year","Superorganism",6
"Sophomore Year","Swedish House Mafia",6
"Sophomore Year","Takagi & Ketra",6
"Sophomore Year","Taylor Swift",6
"Sophomore Year","The Honorary Title",6
"Sophomore Year","The Kid LAROI",6
"Sophomore Year","Tom Rosenthal",6
"Sophomore Year","Trippie Redd",6
"Sophomore Year","Troye Sivan",6
"Sophomore Year","Tyler Shaw",6
"Sophomore Year","WOOF! IT'S BILLY",6
"Sophomore Year","Zachary Knowles",6
"Sophomore Year","Zaeden",6
"Sophomore Year","girl in red",6
"Sophomore-Junior Summer","AJ Mitchell",6
"Sophomore-Junior Summer","Alaina Castillo",6
"Sophomore-Junior Summer","Alec Benjamin",6
"Sophomore-Junior Summer","Ali Gatie",6
"Sophomore-Junior Summer","Andrew Belle",6
"Sophomore-Junior Summer","Andrew Rayel",6
"Sophomore-Junior Summer","Angel",6
"Sophomore-Junior Summer","Baby Keem",6
"Sophomore-Junior Summer","Bruno Mars",6
"Sophomore-Junior Summer","Bryce Vine",6
"Sophomore-Junior Summer","Calum Scott",6
"Sophomore-Junior Summer","Calvin Harris",6
"Sophomore-Junior Summer","Chord Overstreet",6
"Sophomore-Junior Summer","Cigarettes After Sex",6
"Sophomore-Junior Summer","Conkarah",6
"Sophomore-Junior Summer","Da?i Freyr",6
"Sophomore-Junior Summer","Declan McKenna",6
"Sophomore-Junior Summer","Dennis Lloyd",6
"Sophomore-Junior Summer","Forester",6
"Sophomore-Junior Summer","Hayd",6
"Sophomore-Junior Summer","INZO",6
"Sophomore-Junior Summer","Jacquees",6
"Sophomore-Junior Summer","Jason Mraz",6
"Sophomore-Junior Summer","Lost Frequencies",6
"Sophomore-Junior Summer","MEMBA",6
"Sophomore-Junior Summer","Mild Minds",6
"Sophomore-Junior Summer","Montell Fish",6
"Sophomore-Junior Summer","NGHTMRE",6
"Sophomore-Junior Summer","Ollie",6
"Sophomore-Junior Summer","Omar Apollo",6
"Sophomore-Junior Summer","Phil Collins",6
"Sophomore-Junior Summer","Pipe Calderon",6
"Sophomore-Junior Summer","Porter Robinson",6
"Sophomore-Junior Summer","Randy Newman",6
"Sophomore-Junior Summer","Ski Mask The Slump God",6
"Sophomore-Junior Summer","The Paper Kites",6
"Sophomore-Junior Summer","The Royal Festival Orchestra",6
"Sophomore-Junior Summer","Tones And I",6
"Sophomore-Junior Summer","UMI",6
"Sophomore-Junior Summer","Vance Joy",6
"Sophomore-Junior Summer","Verzache",6
"Sophomore-Junior Summer","almost monday",6
"Sophomore-Junior Summer","beabadoobee",6
"Sophomore-Junior Summer","iann dior",6
