"Year","Artist","Plays"
"2018","Shoffy",30
"2018","Tom Odell",30
"2019","Bastille",30
"2019","Fancy Cars",30
"2019","James Bay",30
"2019","Kendrick Lamar",30
"2019","LawKu",30
"2019","Lola Fernando",30
"2019","Naughty Boy",30
"2019","Prince Royce",30
"2019","Purple Tower",30
"2019","Sean Kingston",30
"2019","Shoffy",30
"2019","ZAYN",30
"2020","Don Toliver",30
"2020","Kaskade",30
"2020","L.Dre",30
"2020","Leah Day",30
"2020","Octave Riviere",30
"2020","Szigeti Aliz",30
"2021","Sabrina Claudio",30
"2021","Travis Scott",30
"2022","Baby Keem",30
"2022","Brent Faiyaz",30
"2022","Rihanna",30
"2018","Daniel Jang",29
"2018","Great Good Fine Ok",29
"2018","Lewis Watson",29
"2018","Sam Smith",29
"2019","JP Cooper",29
"2019","Juke Ross",29
"2019","Kanye West",29
"2019","Noah Kahan",29
"2020","A.CHAL",29
"2020","Herdis Stefansdottir",29
"2020","Rannar Sillard",29
"2020","Ski Mask The Slump God",29
"2020","Thomas Newman",29
"2020","XXXTENTACION",29
"2021","Alec Benjamin",29
"2021","Dekleyn",29
"2021","Don Diablo",29
"2021","FKJ",29
"2021","Train",29
"2022","Don Toliver",29
"2022","Jorja Smith",29
"2022","MAX",29
"2022","Russ",29
"2022","Tom Rosenthal",29
"2022","UMI",29
"2018","John Mayer",28
"2018","Kevin Garrett",28
"2018","Pentatonix",28
"2018","Robyn Sherwell",28
"2018","Sam Feldt",28
"2019","Christian French",28
"2019","Drake",28
"2019","Hushed",28
"2019","Neutral Commitment",28
"2019","Party Favor",28
"2019","Pentatonix",28
"2019","Steven Goldmund",28
"2019","Surfaces",28
"2019","Vishal-Shekhar",28
"2020","Andrew McMahon in the Wilderness",28
"2020","Anuel AA",28
"2020","Daddy Yankee",28
"2020","Finding Hope",28
"2020","Hushed",28
"2020","Idzi Kowalczyk",28
"2020","Jason Derulo",28
"2020","Joji",28
"2020","MGMT",28
"2020","Momento",28
"2020","NIKI",28
"2020","Pop Smoke",28
"2020","Sanja Goransson",28
"2021","Bastille",28
"2021","Herdis Stefansdottir",28
"2021","Sean Kingston",28
"2021","Steve Aoki",28
"2021","The Kid LAROI",28
"2022","H.E.R.",28
"2022","Jack Jezzro",28
"2022","Juice WRLD",28
"2022","SLANDER",28
"2022","SiR",28
"2022","Travis Scott",28
"2022","dhruv",28
"2018","Carlie Hanson",27
"2018","Hozier",27
"2018","Juke Ross",27
"2018","Lulleaux",27
"2018","R. Kelly",27
"2018","Ruth B.",27
"2019","88rising",27
"2019","Alicia Keys",27
"2019","Jesper Jenset",27
"2019","Rim'K",27
"2019","Tejal Yann",27
"2019","Yolta",27
"2019","bulow",27
"2020","88rising",27
"2021","Alvaro Soler",27
"2021","Amit Trivedi",27
"2021","Andy Grammer",27
"2021","BROCKHAMPTON",27
"2021","Chris Brown",27
"2021","Erik Satie",27
"2021","Gym Class Heroes",27
"2021","Juice WRLD",27
"2021","Luis Fonsi",27
"2021","Mac Ayres",27
"2021","Omar Apollo",27
"2021","Paul Whitacre",27
"2022","Bryson Tiller",27
"2022","Chris Brown",27
"2022","David Kushner",27
"2022","Ella Mai",27
"2022","Isaiah Rashad",27
"2022","Rochak Kohli",27
"2018","Alec Benjamin",26
"2018","Alvaro",26
"2018","Mark Diamond",26
"2018","Roy Woods",26
"2018","ayokay",26
"2019","Ana Olgica",26
"2019","Blue Ivy",26
"2019","Cheat Codes",26
"2019","Chris Burton",26
"2019","Daniel Schulz",26
"2019","Dreamscaper",26
"2019","Galantis",26
"2019","Katy Perry",26
"2019","Tinlicker",26
"2020","Bakermat",26
"2020","Cheat Codes",26
"2020","EON NOIRE",26
"2020","Elvar Arngrimsson",26
"2020","FKJ",26
"2020","H.E.R.",26
"2020","Julius Aston",26
"2020","Lost Wings",26
"2020","MKTO",26
"2020","Viclo",26
"2020","Yue Yan Jen",26
"2020","benny blanco",26
"2021","Cheat Codes",26
"2021","Galantis",26
"2021","Harry Styles",26
"2021","Nazareno Aversa",26
"2021","Powfu",26
"2021","Roxy Tones",26
"2021","Sleepy Clouds",26
"2021","The Paper Kites",26
"2022","Blake Rose",26
"2022","Borgeous",26
"2022","Calum Scott",26
"2022","Col3trane",26
"2022","Rex Orange County",26
"2022","Stanislav Gallin",26
"2022","Trevor Hall",26
"2018","Conor Maynard",25
"2018","King Princess",25
"2018","Omega",25
"2018","Robin Schulz",25
"2018","Tyler Ward",25
"2019","Frank Ocean",25
"2019","Harry Hudson",25
"2019","Imagine Dragons",25
"2019","Jonas Brothers",25
"2019","Julius Aston",25
"2019","Kodaline",25
"2019","P!nk",25
"2019","PLVTINUM",25
"2019","Pritam",25
"2019","Rannar Sillard",25
"2019","Tom Odell",25
"2020","Alan Ellis",25
"2020","Amine",25
"2020","Arush Mandal",25
"2020","Astron",25
"2020","Benjamin Gustafsson",25
"2020","Blewbird",25
"2020","Elskavon",25
"2020","Irizarry Barraza",25
"2020","K-391",25
"2020","Keira Conlon",25
"2020","Lil Uzi Vert",25
"2020","Lil Wayne",25
"2020","Sean Kingston",25
"2021","AJR",25
"2021","Christian French",25
"2021","Gavin Haley",25
"2021","Klangkarussell",25
"2021","Kungs",25
"2022","Alexander 23",25
"2022","Avicii",25
"2022","CNCO",25
"2022","Declan McKenna",25
"2022","Kim Bo",25
"2022","Snoh Aalegra",25
"2022","blackbear",25
"2018","Anson Seabra",24
"2018","Bobby McFerrin",24
"2018","Noah Kahan",24
"2018","Tungevaag",24
"2019","Alessia Cara",24
"2019","Bela Nemeth",24
"2019","Big Sean",24
"2019","Daigo Hanada",24
"2019","Deep Inside",24
"2019","Dilaz",24
"2019","Joel Adams",24
"2019","Mike Posner",24
"2019","Robin Schulz",24
"2019","Sam Feldt",24
"2019","Sven Stierna",24
"2019","Zonoma",24
"2020","Brian Eno",24
"2020","Delle Alpi",24
"2020","Ezechiel Almonte",24
"2020","Kodaline",24
"2020","LUCHS",24
"2020","MOWE",24
"2020","Pitbull",24
"2020","Universo",24
"2021","Black Atlass",24
"2021","Borgeous",24
"2021","L.Dre",24
"2021","MOWE",24
"2021","PRETTYMUCH",24
"2021","Vicetone",24
"2021","marcos g",24
"2022","B3nte",24
"2022","Cautious Clay",24
