"Person","Type","ID","Split","Val"
"AN","Top Songs March 2018","49iQh5HAro5w93sgmZ7YUs","monthyear","2018-03"
"AN","Top Songs April 2018","3wUrX251K2vPxSF574UqsD","monthyear","2018-04"
"AN","Top Songs May 2018","0wwYMo6hTf1IXlOqbRp3Mx","monthyear","2018-05"
"AN","Top Songs June 2018","2goHlHvsnViJLbqHAWfl0p","monthyear","2018-06"
"AN","Top Songs July 2018","5tSPf27RPGINyFgVjjBs8s","monthyear","2018-07"
"AN","Top Songs August 2018","6f2am091EpdcLmeEjTQDxb","monthyear","2018-08"
"AN","Top Songs September 2018","6dQbvaFdUvF0ZVs7oULjkI","monthyear","2018-09"
"AN","Top Songs October 2018","5f7cdWqWoMpLRAs83xyaxm","monthyear","2018-10"
"AN","Top Songs November 2018","5t1Qj83CtMW7wmBq0DA03g","monthyear","2018-11"
"AN","Top Songs December 2018","33JXd9WlegLLPeRSRjGNsj","monthyear","2018-12"
"AN","Top Songs January 2019","38Y3RMratC5q6URnNQedRG","monthyear","2019-01"
"AN","Top Songs February 2019","1HMpHNauyRTkuLmgO7705D","monthyear","2019-02"
"AN","Top Songs March 2019","6fFECDDRE27BjqGx0e7oXz","monthyear","2019-03"
"AN","Top Songs April 2019","0EeWV8Kv0Xn1aVsMa3PSbA","monthyear","2019-04"
"AN","Top Songs May 2019","3GizsQFOHl5m8Huf0KPuX0","monthyear","2019-05"
"AN","Top Songs June 2019","3932Pm7WhrxzEAKMtXdxVu","monthyear","2019-06"
"AN","Top Songs July 2019","5vsb4swG5RhE1brCfkQVpp","monthyear","2019-07"
"AN","Top Songs August 2019","1WOk8u7ekNTFSP0UcZw67o","monthyear","2019-08"
"AN","Top Songs September 2019","2tbXjIoj95kvJatZC61urF","monthyear","2019-09"
"AN","Top Songs October 2019","41olb3eardEdsjJ6lH0VPv","monthyear","2019-10"
"AN","Top Songs November 2019","0ch0fdEzTar9RV5jF1Uofb","monthyear","2019-11"
"AN","Top Songs December 2019","4r1baWqNM4pL2Lci4i53e5","monthyear","2019-12"
"AN","Top Songs January 2020","4t5htk9lEl0cOFLnzFyGWa","monthyear","2020-01"
"AN","Top Songs February 2020","4uMEj1XU33rcgexfryXpQx","monthyear","2020-02"
"AN","Top Songs March 2020","1nN1xEi2ffA4GxZd5mKqJy","monthyear","2020-03"
"AN","Top Songs April 2020","4YjFqpXs1zYuk4TFJ3zgB2","monthyear","2020-04"
"AN","Top Songs May 2020","3IAprMolzL5JguaKyTG9Hh","monthyear","2020-05"
"AN","Top Songs June 2020","4Wndl8pc6eZwYaWobT0FJX","monthyear","2020-06"
"AN","Top Songs July 2020","3ufbGVqwo7ISIHLXZqqk5a","monthyear","2020-07"
"AN","Top Songs August 2020","1vLe4aoKMO4bTPVIpBDxZr","monthyear","2020-08"
"AN","Top Songs September 2020","7cfKJbW1rEnTWUVqomvdIB","monthyear","2020-09"
"AN","Top Songs October 2020","5XXvM6ZC3Hx4qwU6GJuDvz","monthyear","2020-10"
"AN","Top Songs November 2020","61Emejzre6ypyL6F1PzAI1","monthyear","2020-11"
"AN","Top Songs December 2020","0FKSvxfAv1uOK6CJiNdDWv","monthyear","2020-12"
"AN","Top Songs January 2021","7vJyA1UGccECxDKr0UlN8E","monthyear","2021-01"
"AN","Top Songs February 2021","6NTi4n0S6hrbeYxSnrbUsR","monthyear","2021-02"
"AN","Top Songs March 2021","6b9jNhD4IMkJ69j2Pn96yA","monthyear","2021-03"
"AN","Top Songs April 2021","03nwndFVRdQiY6uG6cqOIz","monthyear","2021-04"
"AN","Top Songs May 2021","4Tg5vUvubkPSBctZ51il50","monthyear","2021-05"
"AN","Top Songs June 2021","6mkUYalEyIe4RSO8kEK2AX","monthyear","2021-06"
"AN","Top Songs July 2021","5k1gxdnlfoTgSJZxZAoVMZ","monthyear","2021-07"
"AN","Top Songs August 2021","0RJyduPx37KXtwe32HmKjs","monthyear","2021-08"
"AN","Top Songs September 2021","3ZarzURkMbvjdnPU1Q21jK","monthyear","2021-09"
"AN","Top Songs October 2021","0oumwO5jT3bBBCIouXflGM","monthyear","2021-10"
"AN","Top Songs November 2021","3kVrxIT3S5ga9OtTimhtXt","monthyear","2021-11"
"AN","Top Songs December 2021","0QNMXDK8O5XVJ3dvFSNeIs","monthyear","2021-12"
"AN","Top Songs January 2022","5SYncgWu1znuuS30DXHzdb","monthyear","2022-01"
"AN","Top Songs February 2022","5Yr2b7z1g5QwCt7BMoKYAW","monthyear","2022-02"
"AN","Top Songs March 2022","0haQ7bNuVnKJXL8rofk4NE","monthyear","2022-03"
"AN","Top Songs April 2022","5Jm9djQhutVmDbyZ3qfjVZ","monthyear","2022-04"
"AN","Top Songs May 2022","5WgqQHhuSLBpj6a81AlqbC","monthyear","2022-05"
"AN","Top Songs June 2022","40W3umCg2o9TvO7TeMn6sP","monthyear","2022-06"
"AN","Top Songs July 2022","65jOG7Az3ermKsbVajEyJM","monthyear","2022-07"
"AN","Top Songs August 2022","2b1xATk1tMTb5b49dffTRK","monthyear","2022-08"
"AN","Top Songs September 2022","5TmEorJTlhvvzadV7gRtwV","monthyear","2022-09"
"AN","Top Songs October 2022","2QLpjRwjCqB9zjbfIRpdXK","monthyear","2022-10"
"AN","Top Songs November 2022","1UvihFbeMgOtKxOAuHjzb7","monthyear","2022-11"
"AN","Top Songs December 2022","6XDw9r3xnlfEi6LRd9YghN","monthyear","2022-12"
"AK","Top Songs April 2016","35PE4n5qHWYjtrpNco4QmH","monthyear","2016-04"
"AK","Top Songs May 2016","1iuzz4chdp5HDX7RrWabix","monthyear","2016-05"
"AK","Top Songs March 2017","7ya1NZ17ZTqTrzuNz5XBmi","monthyear","2017-03"
"AK","Top Songs April 2017","47DCvFTTAEq0QAQGdztN0Y","monthyear","2017-04"
"AK","Top Songs May 2017","02QnrNV63KsCfKFikCwjQ2","monthyear","2017-05"
"AK","Top Songs June 2017","3hfahkI0mQYgAEVh5FFric","monthyear","2017-06"
