"Album","Plays","Songs","Artist","First Listen","Plays Per Song"
"Madman Across The Water",79,2,"Elton John","2017-09-05",39.5
"Off the Planet",79,1,"Bryce Hase","2019-11-15",79
"In Through the out Door",78,1,"Led Zeppelin","2018-09-23",78
"NAV",78,4,"NAV","2017-07-25",19.5
"Out of the Blue",78,4,"Electric Light Orchestra","2019-01-16",19.5
"You Can Count On Me",77,1,"Ansel Elgort","2018-01-08",77
"Because The Internet",76,4,"Childish Gambino","2016-04-26",19
"Certified Hitmaker",76,5,"Lil Mosey","2019-11-10",15.2
"Project Dreams",76,1,"Marshmello","2019-09-20",76
"Willy And The Poor Boys",76,2,"Creedence Clearwater Revival","2018-12-13",38
"Hot Space",75,3,"Queen","2018-11-24",25
"KOD",75,11,"J. Cole","2018-04-20",6.81818181818182
"The Space Between",75,1,"Majid Jordan","2017-11-28",75
"FRIENDS",74,1,"Marshmello","2018-06-27",74
"Issa Album",74,2,"21 Savage","2017-07-13",37
"Raymond v Raymond",74,3,"Usher","2017-09-05",24.6666666666667
"Rollin (feat. Future & Khalid)",74,1,"Calvin Harris","2017-06-15",74
"Waves",74,2,"Mr. Probz","2019-05-14",37
"Would You Ever",74,1,"Skrillex","2017-09-11",74
"Death Race For Love",73,8,"Juice WRLD","2019-06-13",9.125
"Hearts and Darts",73,4,"Baby Keem","2021-03-15",18.25
"Indicud",73,17,"Kid Cudi","2020-08-15",4.29411764705882
"LONG.LIVE.A$AP",73,3,"A$AP Rocky","2016-04-25",24.3333333333333
"My Type EP",73,2,"Saint Motel","2021-02-15",36.5
"Beggars Banquet",72,2,"The Rolling Stones","2016-04-20",36
"The Essential Billy Joel",72,1,"Billy Joel","2019-01-31",72
"Free Dem Boyz",71,3,"42 Dugg","2021-05-21",23.6666666666667
"Ocean Eyes",71,4,"Owl City","2020-01-13",17.75
"679 (feat. Remy Boyz)",70,1,"Fetty Wap","2016-04-24",70
"American Idiot",70,2,"Green Day","2017-10-10",35
"Happier",70,1,"Marshmello","2019-02-26",70
"Late Nights: The Album",70,4,"Jeremih","2016-04-21",17.5
"Hands All Over",69,4,"Maroon 5","2017-10-07",17.25
"So Much Fun",69,6,"Young Thug","2019-08-16",11.5
"i am > i was",69,5,"21 Savage","2019-02-07",13.8
"AVICI",68,1,"Avicii","2017-09-07",68
"Live At Wembley Stadium",68,20,"Queen","2018-11-26",3.4
"MKTO",68,5,"MKTO","2020-10-04",13.6
"Revolver",68,4,"The Beatles","2018-12-18",17
"Tha Carter IV",68,8,"Lil Wayne","2017-12-14",8.5
"The Beatles 1967 - 1970",68,1,"The Beatles","2018-12-03",68
"Chennai Express",67,3,"Vishal Dadlani","2019-04-23",22.3333333333333
"Currents",67,9,"Tame Impala","2019-09-10",7.44444444444444
"Trip",67,2,"Jhene Aiko","2018-07-16",33.5
"Whole Lotta Red",67,20,"Playboi Carti","2020-12-25",3.35
"Parachutes",66,2,"Coldplay","2020-03-14",33
"Project Baby 2: All Grown Up",66,2,"Kodak Black","2017-09-08",33
"So Far Gone",66,10,"Drake","2018-04-28",6.6
"Summer Sixteen",66,1,"Drake","2017-08-04",66
"Cole World: The Sideline Story",65,4,"J. Cole","2019-10-25",16.25
"Drank in My Cup",64,1,"Kirko Bangz","2017-12-09",64
"Freakin' Out On The Interstate",64,1,"Briston Maroney","2021-02-11",64
"Greatest Hits: God's Favorite Band",64,1,"Green Day","2018-06-02",64
"Mask Off (feat. Kendrick Lamar)",64,1,"Future","2017-05-27",64
"THE E.N.D. (THE ENERGY NEVER DIES)",64,1,"Black Eyed Peas","2017-05-30",64
"These Things Happen",64,2,"G-Eazy","2017-09-08",32
"A Night At The Opera",63,11,"Queen","2017-10-16",5.72727272727273
"Jungle Rules",63,2,"French Montana","2017-07-25",31.5
"Situation",63,1,"Don Toliver","2020-09-16",63
"XO TOUR Llif3",63,1,"Lil Uzi Vert","2017-05-16",63
"i",63,1,"Kendrick Lamar","2017-06-30",63
"Free Wired",62,2,"Far East Movement","2019-05-18",31
"Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]",62,1,"Daft Punk","2018-09-04",62
"In A Tidal Wave Of Mystery",62,2,"Capital Cities","2016-04-27",31
"Beautiful Thugger Girls",61,1,"Young Thug","2017-08-02",61
"Don't Fight the Feeling - the Complete Aretha Franklin & King Curtis Live at Fillmore West",61,61,"Aretha Franklin","2020-06-15",1
"Shine",61,3,"Estelle","2018-04-24",20.3333333333333
"An Innocent Man",60,2,"Billy Joel","2019-02-04",30
"untitled unmastered.",60,8,"Kendrick Lamar","2018-06-17",7.5
"Cave Rave",59,2,"Crystal Fighters","2020-03-30",29.5
"Fast Car",59,1,"Jonas Blue","2016-04-28",59
"Nation of Two",59,1,"Vance Joy","2019-03-30",59
"B4 The Storm",58,2,"Internet Money","2020-09-11",29
"Clap",58,1,"Don Toliver","2020-10-11",58
"Drip Harder",58,2,"Lil Baby","2018-10-13",29
"Global Warming: Meltdown",58,3,"Pitbull","2017-09-27",19.3333333333333
"Loving Is Easy (feat. Benny Sings)",58,1,"Rex Orange County","2021-12-02",58
"Out The Trunk",58,3,"Larry June","2022-05-24",19.3333333333333
"The Blueprint 3",58,1,"JAY-Z","2019-12-05",58
"80s 100 Hits",57,3,"Journey","2017-10-08",19
"Dead Man Walking",57,1,"Brent Faiyaz","2020-11-22",57
"Double Or Nothing (& Metro Boomin)",57,2,"Big Sean","2017-12-09",28.5
"Red Pill Blues",57,6,"Maroon 5","2017-11-07",9.5
"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)",57,1,"Martin Garrix","2021-02-15",57
"Come Closer",56,1,"Osibih","2019-09-20",56
"Deserve (feat. Travis Scott)",56,1,"Kris Wu","2017-10-25",56
"Help!",56,3,"The Beatles","2018-12-12",18.6666666666667
"If You're Reading This It's Too Late",56,7,"Drake","2017-07-28",8
"WASTELAND",56,19,"Brent Faiyaz","2022-07-08",2.94736842105263
"Woodstock",56,3,"Portugal. The Man","2017-11-02",18.6666666666667
"Cigarettes On Patios",55,1,"BabyJake","2021-02-11",55
"The Temptations Sing Smokey",55,1,"The Temptations","2019-03-23",55
"AT.LONG.LAST.A$AP",54,2,"A$AP Rocky","2020-06-12",27
"Doo-Wops & Hooligans",54,4,"Bruno Mars","2018-05-01",13.5
"Meet The Orphans",54,1,"Don Omar","2021-02-21",54
"Sunflower",54,3,"Rex Orange County","2018-11-11",18
"The Rise and Fall of Ziggy Stardust and the Spiders from Mars",54,1,"David Bowie","2019-01-17",54
"Thousand Peaces",54,1,"Absofacto","2019-10-20",54
"hopeless fountain kingdom",54,2,"Halsey","2017-06-14",27
"7 EP",53,3,"Lil Nas X","2019-07-26",17.6666666666667
"Blurryface",53,3,"Twenty One Pilots","2019-09-23",17.6666666666667
"The Story of Us",53,4,"Quinn XCII","2018-09-20",13.25
"AM",52,4,"Arctic Monkeys","2018-03-20",13
"Cage The Elephant",52,7,"Cage The Elephant","2021-08-17",7.42857142857143
"Dangerous World (feat. Travis Scott & YG)",52,1,"Mustard","2019-02-05",52
"Globalization",52,3,"Pitbull","2016-04-18",17.3333333333333
"Know No Better",52,1,"Major Lazer","2017-08-12",52
"My Krazy Life",52,4,"YG","2018-02-15",13
"SR3MM",52,2,"Rae Sremmurd","2018-06-02",26
"True",52,2,"Avicii","2017-11-11",26
"BEST INTEREST",51,1,"Tyler, The Creator","2020-06-13",51
"Harder Than Ever",50,2,"Lil Baby","2018-06-19",25
"OK Jaanu (Original Motion Picture Soundtrack)",50,2,"A.R. Rahman","2018-12-12",25
"The Stranger (Legacy Edition)",50,3,"Billy Joel","2019-01-31",16.6666666666667
"Toulouse Street",50,1,"The Doobie Brothers","2020-08-04",50
"Yes Lawd!",50,2,"NxWorries","2021-03-14",25
"iSpy (feat. Lil Yachty)",50,1,"KYLE","2017-03-27",50
"ANTI",49,4,"Rihanna","2016-04-19",12.25
"Alone",49,1,"Marshmello","2019-02-25",49
"Champions",49,1,"Kanye West","2017-06-08",49
"Crab Rave",49,1,"Noisestorm","2019-08-23",49
