"Artist","Album","Songs","Plays Per Song"
"Young Thug","So Much Fun",6,11.5
"21 Savage","i am > i was",5,13.8
"Queen","Live At Wembley Stadium",20,3.4
"MKTO","MKTO",5,13.6
"The Beatles","Revolver",4,17
"Lil Wayne","Tha Carter IV",8,8.5
"Vishal Dadlani","Chennai Express",3,22.3333333333333
"Tame Impala","Currents",9,7.44444444444444
"Jhene Aiko","Trip",2,33.5
"Playboi Carti","Whole Lotta Red",20,3.35
"Coldplay","Parachutes",2,33
"Kodak Black","Project Baby 2: All Grown Up",2,33
"Drake","So Far Gone",10,6.6
"J. Cole","Cole World: The Sideline Story",4,16.25
"G-Eazy","These Things Happen",2,32
"Queen","A Night At The Opera",11,5.72727272727273
"French Montana","Jungle Rules",2,31.5
"Far East Movement","Free Wired",2,31
"Capital Cities","In A Tidal Wave Of Mystery",2,31
"Aretha Franklin","Don't Fight the Feeling - the Complete Aretha Franklin & King Curtis Live at Fillmore West",61,1
"Estelle","Shine",3,20.3333333333333
"Billy Joel","An Innocent Man",2,30
"Kendrick Lamar","untitled unmastered.",8,7.5
"Crystal Fighters","Cave Rave",2,29.5
"Internet Money","B4 The Storm",2,29
"Lil Baby","Drip Harder",2,29
"Pitbull","Global Warming: Meltdown",3,19.3333333333333
"Larry June","Out The Trunk",3,19.3333333333333
"Journey","80s 100 Hits",3,19
"Big Sean","Double Or Nothing (& Metro Boomin)",2,28.5
"Maroon 5","Red Pill Blues",6,9.5
"The Beatles","Help!",3,18.6666666666667
"Drake","If You're Reading This It's Too Late",7,8
"Brent Faiyaz","WASTELAND",19,2.94736842105263
"Portugal. The Man","Woodstock",3,18.6666666666667
"A$AP Rocky","AT.LONG.LAST.A$AP",2,27
"Bruno Mars","Doo-Wops & Hooligans",4,13.5
"Rex Orange County","Sunflower",3,18
"Halsey","hopeless fountain kingdom",2,27
"Lil Nas X","7 EP",3,17.6666666666667
"Twenty One Pilots","Blurryface",3,17.6666666666667
"Quinn XCII","The Story of Us",4,13.25
"Arctic Monkeys","AM",4,13
"Cage The Elephant","Cage The Elephant",7,7.42857142857143
"Pitbull","Globalization",3,17.3333333333333
"YG","My Krazy Life",4,13
"Rae Sremmurd","SR3MM",2,26
"Avicii","True",2,26
"Lil Baby","Harder Than Ever",2,25
"A.R. Rahman","OK Jaanu (Original Motion Picture Soundtrack)",2,25
"Billy Joel","The Stranger (Legacy Edition)",3,16.6666666666667
"NxWorries","Yes Lawd!",2,25
"Rihanna","ANTI",4,12.25
"Blaccmass","Dragon Energy",11,4.45454545454545
"Lynyrd Skynyrd","Pronounced' Leh-'Nerd 'Skin-'Nerd",3,16.3333333333333
"Childish Gambino","Summer Pack",2,24.5
"Future","FUTURE",3,16
"The Police","Outlandos D'Amour",2,24
"Beach House","Depression Cherry",9,5.22222222222222
"Queen","News Of The World",3,15.6666666666667
"Tom Petty and the Heartbreakers","Pack Up The Plantation: Live!",16,2.9375
"Veorra","Ruby",3,15.3333333333333
"B.o.B","B.o.B Presents: The Adventures of Bobby Ray",3,15
"benny blanco","FRIENDS KEEP SECRETS",2,22.5
"Nicki Minaj","Queen",4,11.25
"Veorra","Emerald",2,22
"Sonu Nigam","3 Idiots",4,10.75
"Joey Bada$$","B4.DA.$$",6,7.16666666666667
"Mac Miller","K.I.D.S.",5,8.6
"Rex Orange County","WHO CARES?",11,3.90909090909091
"Vince Staples","Big Fish Theory",3,14
"Rihanna","Good Girl Gone Bad: Reloaded",4,10.5
"The Beatles","Magical Mystery Tour",4,10.5
"Drake","Scary Hours",2,21
"Ms. Lauryn Hill","The Miseducation of Lauryn Hill",2,21
"Rich The Kid","The World Is Yours",2,21
"The Beatles","A Hard Day's Night",2,20.5
