"Artist","Songs","Plays Per Song"
"PRETTYMUCH",16,12.25
"Travis Scott",37,5.2972972972973
"Borgeous",33,5.87878787878788
"J Balvin",46,4.19565217391304
"Pentatonix",39,4.87179487179487
"Shallou",19,10
"Coldplay",30,6.13333333333333
"Kina",16,11.5
"Daddy Yankee",16,11.375
"Luis Fonsi",16,11.375
"Marshmello",27,6.62962962962963
"Alina Baraz",22,8.09090909090909
"Emmit Fenn",22,8.09090909090909
"Faime",20,8.9
"Maroon 5",28,6.35714285714286
"Miguel",26,6.84615384615385
"MAX",14,12.4285714285714
"Big Sean",31,5.45161290322581
"keshi",21,8.04761904761905
"Julia Michaels",20,8.4
"ZAYN",19,8.78947368421053
"Train",15,11.0666666666667
"Bryce Vine",22,7.5
"Vishal-Shekhar",25,6.56
"Lost Kings",25,6.44
"Surfaces",24,6.70833333333333
"Rex Orange County",17,9.35294117647059
"Ruel",14,11.3571428571429
"Kendrick Lamar",28,5.64285714285714
"Whethan",14,11.2142857142857
"Mitch James",16,9.75
"Bruno Mars",22,7.04545454545455
"Juice WRLD",48,3.20833333333333
"Bastille",15,10
"Calvin Harris",23,6.52173913043478
"Ariana Grande",38,3.92105263157895
"Cheat Codes",19,7.78947368421053
"Zedd",13,11.3846153846154
"Major Lazer",24,6.125
"Calum Scott",17,8.58823529411765
"Pitbull",18,8.11111111111111
"Yiruma",36,3.97222222222222
"Flume",27,5.25925925925926
"Ali Gatie",14,10.0714285714286
"Andy Grammer",13,10.8461538461538
"FINNEAS",16,8.6875
"Dean Lewis",14,9.71428571428571
"Tyler and Mark",13,10.3846153846154
"yaeow",17,7.94117647058824
"Imagine Dragons",19,7.05263157894737
"Noah Cyrus",20,6.7
"Ollie MN",10,13.3
"UMI",12,11.0833333333333
"John Legend",25,5.2
"Atif Aslam",14,9.14285714285714
"Christian French",13,9.76923076923077
"David Guetta",28,4.53571428571429
"Lostboycrow",12,10.25
"AJ Mitchell",10,12.2
"JP Cooper",14,8.71428571428571
"Chris Brown",31,3.90322580645161
"88rising",17,6.70588235294118
"Alexander 23",13,8.76923076923077
"Aries",22,5.18181818181818
"Dominic Fike",12,9.25
"Elephante",14,7.92857142857143
"AJR",24,4.58333333333333
"Jonas Blue",18,6
"Lil Wayne",23,4.69565217391304
"Alicia Keys",22,4.86363636363636
"Tiesto",17,6.23529411764706
"H.E.R.",24,4.16666666666667
"Sid Sriram",22,4.54545454545455
"Why Don't We",19,5.26315789473684
"Beyonce",22,4.5
"Emanuel",12,8.25
"John Mayer",21,4.66666666666667
"KYLE",16,6.125
"Sean Kingston",12,8.16666666666667
"Alok",16,6.0625
"Harry Styles",11,8.81818181818182
"Enrique Iglesias",10,9.6
"Noah Kahan",22,4.36363636363636
"Kaskade",25,3.76
"Jhene Aiko",16,5.8125
"The Kid LAROI",33,2.78787878787879
"Ellie Goulding",30,3
"Galantis",14,6.42857142857143
"Bryson Tiller",35,2.54285714285714
"Ski Mask The Slump God",19,4.68421052631579
"shy martin",13,6.84615384615385
"SiR",25,3.52
"Tate McRae",16,5.5
"Selena Gomez",15,5.8
"Ashe",14,6.14285714285714
"Disney Peaceful Piano",51,1.66666666666667
"Peaceful Pianos",13,6.53846153846154
"Clean Bandit",11,7.63636363636364
"Rudimental",11,7.63636363636364
"Hans Zimmer",23,3.60869565217391
"Amine",26,3.11538461538462
"Childish Gambino",12,6.75
"LANY",10,7.9
"Thomas Newman",16,4.9375
"Don Diablo",19,4.10526315789474
"BROCKHAMPTON",13,5.84615384615385
"Gavin Luke",14,5.42857142857143
"Don Toliver",27,2.77777777777778
"gnash",10,7.5
"EMBRZ",15,4.93333333333333
"Jason Derulo",18,4.11111111111111
"Lindsey Stirling",17,4.35294117647059
"Camila Cabello",17,4.29411764705882
"One Direction",11,6.45454545454545
"DuyVu",10,7
"Snoh Aalegra",18,3.88888888888889
"Sam Feldt",10,6.9
"Alessia Cara",14,4.85714285714286
"James Bay",11,6.18181818181818
"Trippie Redd",25,2.72
"MOWE",13,5.15384615384615
"The Lumineers",13,5.15384615384615
"DVBBS",10,6.6
"Harry Hudson",14,4.71428571428571
"Lil Uzi Vert",29,2.24137931034483
"Ninho",35,1.85714285714286
"Prince Royce",29,2.24137931034483
"Dua Lipa",15,4.26666666666667
"Sabrina Claudio",12,5.33333333333333
"Vance Joy",14,4.57142857142857
"Glass Animals",19,3.31578947368421
"Halsey",17,3.70588235294118
"Steve Aoki",13,4.76923076923077
"Charlie Puth",19,3.21052631578947
"Danny Ocean",14,4.35714285714286
"Ella Mai",14,4.35714285714286
"Omar Apollo",11,5.45454545454545
"Peter Sandberg",16,3.75
"HONNE",16,3.6875
"L.Dre",23,2.56521739130435
"Marc E. Bassy",10,5.9
"Neelson Macias",17,3.47058823529412
"Brent Faiyaz",17,3.41176470588235
"Mokita",15,3.86666666666667
"Grady",13,4.38461538461539
"J. Cole",21,2.71428571428571
"The Neighbourhood",13,4.38461538461539
"Weston Estate",10,5.7
"Anirudh Ravichander",15,3.73333333333333
"Cautious Clay",10,5.5
"P!nk",10,5.5
"Adele",19,2.84210526315789
"Farruko",18,3
"Lorde",12,4.5
"Peach Tree Rascals",11,4.90909090909091
"tobi lou",12,4.5
"Jorja Smith",11,4.81818181818182
"Maisie Peters",12,4.41666666666667
"Troye Sivan",15,3.53333333333333
"iann dior",11,4.81818181818182
"Ty Dolla $ign",12,4.33333333333333
"Madison Beer",18,2.83333333333333
"ROLE MODEL",12,4.25
"Rafael El Ninos",16,3.1875
"Taylor Swift",35,1.45714285714286
"The Paper Kites",10,5.1
"Tyler Ward",10,5.1
"Future",16,3.125
"Katy Perry",19,2.63157894736842
"PARTYNEXTDOOR",10,4.9
"Roy Woods",15,3.26666666666667
"Alan Menken",26,1.84615384615385
"Tory Lanez",18,2.66666666666667
"A Boogie Wit da Hoodie",18,2.61111111111111
"DJ Khaled",15,3.13333333333333
"Shakira",10,4.7
"Bad Bunny",10,4.6
"Col3trane",12,3.83333333333333
"Daniel Jang",12,3.83333333333333
"Fiji Blue",11,4.18181818181818
"Canyon City",13,3.46153846153846
"Tom Shea",10,4.5
"DaBaby",17,2.58823529411765
"Smino",16,2.75
"Tep No",13,3.38461538461538
"The Beatles",24,1.83333333333333
"Bebe Rexha",15,2.86666666666667
"Cuco",10,4.3
"Dan + Shay",10,4.3
"Raven Corteir",13,3.30769230769231
"Sebastian Yatra",10,4.3
"21 Savage",20,2.1
"Pop Smoke",11,3.81818181818182
"DJomla KS",30,1.36666666666667
"Lil Baby",18,2.27777777777778
"EDEN",11,3.63636363636364
"Hailee Steinfeld",11,3.63636363636364
"Miley Cyrus",10,4
"YNW Melly",10,4
"Armaan Malik",10,3.9
"Jake Nilson",21,1.85714285714286
"Nicki Minaj",16,2.4375
"Young Thug",16,2.4375
"Burna Boy",20,1.9
"Wiz Khalifa",20,1.9
"Hillsong Instrumentals",21,1.76190476190476
"Isaiah Rashad",12,3.08333333333333
"Machine Gun Kelly",10,3.7
"Ne-Yo",11,3.36363636363636
"Nikolas Rhonda",11,3.36363636363636
"Rich The Kid",12,3.08333333333333
"Vicetone",18,2.05555555555556
"A.R. Rahman",19,1.84210526315789
"Baby Keem",13,2.69230769230769
"Bedtime Instrumental Piano Music Academy",34,1.02941176470588
"Dreamville",14,2.5
"Summer Walker",11,3.09090909090909
"Munn",11,3
"Tyga",15,2.2
"Eminem",16,2
"Lil Skies",13,2.46153846153846
"Kehlani",11,2.81818181818182
"Niall Horan",13,2.38461538461538
"Piso 21",10,3.1
"Tyler, The Creator",12,2.58333333333333
"Conan Gray",10,3
"Lola Fernando",13,2.30769230769231
"Purple Tower",18,1.66666666666667
"khai dreams",10,3
"BRONSON",11,2.63636363636364
"Chance the Rapper",12,2.41666666666667
"Doja Cat",10,2.9
"Emotional Oranges",17,1.70588235294118
"Ozuna",11,2.63636363636364
"A$AP Rocky",12,2.33333333333333
"Conor Maynard",21,1.33333333333333
"Jack Jezzro",13,2.15384615384615
"Y.V.E. 48",10,2.8
"NAV",16,1.6875
"Ari Lennox",11,2.36363636363636
"Gavin James",10,2.6
"Gunna",16,1.625
"The Mayries",11,2.27272727272727
"Twenty One Pilots",13,1.92307692307692
"DESTIN CONRAD",11,2.18181818181818
"GIMS",16,1.5
"Matoma",10,2.4
"Yandel",14,1.71428571428571
"Diplo",17,1.35294117647059
"JID",11,2.09090909090909
"Lorenzo De Lima",15,1.53333333333333
"Of Monsters and Men",13,1.76923076923077
"Alpha Brain Waves",15,1.46666666666667
"Polo G",11,2
"Soprano",15,1.46666666666667
"Brooklyn Duo",12,1.75
"Jeremih",11,1.90909090909091
"Lady Gaga",10,2.1
"Lana Del Rey",11,1.81818181818182
"Leon Bridges",10,2
"The City of Prague Philharmonic Orchestra",13,1.53846153846154
"Chainwave",19,1
"Jack Harlow",11,1.72727272727273
"Logic",15,1.26666666666667
"Midnite String Quartet",13,1.46153846153846
"Migos",13,1.46153846153846
"Piano Tribute Players",12,1.58333333333333
"Sinead Harnett",10,1.9
"St. Viper",10,1.9
"Wale",11,1.72727272727273
"Huncho Jack",10,1.8
"Jose Anos",11,1.63636363636364
"Lolobe",12,1.5
"Nina Linea",12,1.5
"Piano Dreamers",16,1.125
"Tee Grizzley",14,1.28571428571429
"Wolfgang Amadeus Mozart",16,1.125
"Anthem Lights",12,1.41666666666667
"Fakear",12,1.33333333333333
"Kupla",13,1.23076923076923
"Demi Lovato",10,1.5
"KAROL G",10,1.5
"Trey Songz",10,1.5
"MELON",14,1
"Nelit Gro",10,1.4
"Quality Control",11,1.27272727272727
"Duckwrth",13,1
"Steve Void",11,1.18181818181818
"Rae Sremmurd",10,1.2
"Instrumental Worship Project from I'm In Records",11,1
"Emily James",10,1
"Jul",10,1
