"Song","Artist","Plays","First Listen","ID"
"Fight the Feeling","Mac Miller",332,2020-05-04,"2w9htZtkcbR48NCWzXjfvb"
"Foreword (feat. Rex Orange County)","Tyler, The Creator",328,2019-07-07,"33i3xxHB4YSYGYbtJrwwO8"
"Again","Jaden",326,2019-07-03,"6v1WjGvHYuwbtEmdWzN3XZ"
"Lie","NF",326,2018-08-07,"07FkzikE6FuHIa8Ma7zJGc"
"Hurt Feelings","Mac Miller",324,2018-09-13,"5p7GiBZNL1afJJDUrOA6C8"
"Out of My League","Fitz and The Tantrums",323,2020-05-20,"2AYEOC02WLhUiOoaig2SEH"
"Clocks","Coldplay",322,2019-08-04,"0BCPKOYdS2jbQ8iyB56Zns"
"Cold Cold Man","Saint Motel",322,2019-11-16,"6RKGBcDtgzXx21zUjpeu6F"
"Small Worlds","Mac Miller",322,2019-04-17,"4gT3mNJA8lnlkYFqGZ8IA2"
"SMILE","Arden Jones",321,2021-09-29,"6eshn81GQPqBfv7TEOyoTI"
"Crash My Car","COIN",319,2020-07-28,"0X5mtNbqxbiTYkwj0CQc2f"
"Die For Me (feat. Future & Halsey)","Post Malone",319,2019-09-13,"2C6WXnmZ66tHhHlnvwePiK"
"Tokyo Drifting","Glass Animals",319,2020-08-22,"2MA6YoaFF7fnWqkuOAWjUg"
"Best Friend","Rex Orange County",318,2019-06-25,"47Bg6IrMed1GPbxRgwH2aC"
"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",314,2020-04-20,"56AMYGJzxBO6p8v0wEe9de"
"Sin (feat. Jaden Smith)","Young Thug",313,2018-10-10,"1Jl21sidRpEdlVBvYbssLx"
"Flashing Lights","Kanye West",310,2021-06-30,"31I3Rt1bPa2LrE74DdNizO"
"Gang Related","Logic",310,2017-09-18,"1Kp6WFxRzc0sRBmGSgIYat"
"Chateau","Jaden",309,2019-07-05,"2mbAFKj9gePjW91G1WH3sp"
"Legend","The Score",308,2017-09-11,"3SWqGa1J0M7hSBUDM0KePD"
"Let You Down","NF",308,2018-07-16,"52okn5MNA47tk87PeZJLEL"
"Work Out","J. Cole",307,2020-04-19,"2wAJTrFhCnQyNSD3oUgTZO"
"Leave","Post Malone",304,2020-07-03,"5dI1yHSqgmilFEqpGbqxHh"
"Occupied","Rich Brian",303,2018-02-02,"7tCtApWNvLIIlplk3NieWx"
"Unstoppable","The Score",303,2017-09-11,"6rrKbzJGGDlSZgLphopS49"
