"Artist","Plays","Songs","First Listen","Plays Per Song"
"Powfu",80,1,2020-05-13,80
"Nico Segal",79,2,2018-11-01,39.5
"almost monday",78,1,2020-08-20,78
"Edward Sharpe & The Magnetic Zeros",77,2,2020-12-09,38.5
"courtship.",77,2,2022-05-31,38.5
"Bedroom",76,1,2022-09-27,76
"Jason Mraz",76,3,2018-11-01,25.3333333333333
"Kota the Friend",76,14,2020-08-12,5.42857142857143
"The Lighthouse And The Whaler",76,1,2020-12-09,76
"Colony House",75,2,2022-05-03,37.5
"Robbie Williams",75,1,2021-01-06,75
"carwash",74,1,2021-03-13,74
"Steve Lacy",73,11,2022-07-15,6.63636363636364
"Gotye",72,1,2019-04-13,72
"Plain White T's",71,2,2019-11-15,35.5
"The Game",71,1,2018-10-10,71
"Train",71,1,2019-07-04,71
"Cold War Kids",69,1,2020-12-09,69
"KYLE",69,8,2018-05-06,8.625
"Octavian",68,3,2020-09-07,22.6666666666667
"Don Diablo",66,1,2020-12-20,66
"Kid Ink",65,1,2021-04-13,65
"Nevada",65,1,2021-06-03,65
"The Kooks",65,11,2022-04-11,5.90909090909091
"PUBLIC",64,1,2019-11-15,64
"Timmy Trumpet",64,1,2020-02-01,64
"Prison Mike",63,5,2021-07-09,12.6
"Sia",62,5,2018-11-01,12.4
"Shakka",61,1,2018-05-08,61
"Don Toliver",59,2,2020-08-21,29.5
"Passion Pit",58,2,2020-08-20,29
"SEB",58,1,2021-05-24,58
"The Academic",58,10,2021-06-03,5.8
"5 Seconds of Summer",57,1,2018-06-02,57
"Bas",57,3,2021-07-02,19
"Bakermat",56,1,2020-12-10,56
"Linkin Park",56,1,2022-04-25,56
"The Chainsmokers",56,4,2019-03-25,14
"Circa Waves",52,1,2022-05-31,52
"Fetty Wap",52,2,2019-01-26,26
"fun.",52,2,2020-04-04,26
"Alex Newell",50,1,2019-01-26,50
"Foster The People",50,3,2022-04-12,16.6666666666667
"Frank Ocean",50,6,2020-06-26,8.33333333333333
"Still Woozy",50,2,2020-09-17,25
"Ty James",50,1,2021-01-18,50
"NOTD",49,1,2021-01-28,49
"A R I Z O N A",47,3,2020-04-04,15.6666666666667
"USHER",47,3,2019-05-20,15.6666666666667
"Anderson .Paak",46,3,2020-02-05,15.3333333333333
"Bazzi",46,2,2018-05-06,23
"MAX",46,1,2019-08-29,46
"Christian French",45,2,2019-11-18,22.5
"Desiigner",45,2,2018-02-12,22.5
"Dua Lipa",45,3,2017-10-22,15
"Arizona Zervas",43,3,2019-11-03,14.3333333333333
"Flo Rida",43,8,2019-04-13,5.375
"Rod Wave",43,2,2020-08-07,21.5
"Digital Nas",42,1,2019-04-14,42
"Gryffin",41,2,2019-11-17,20.5
"Billy Joel",40,2,2021-03-08,20
"Denzel Curry",40,6,2018-12-25,6.66666666666667
"Yeah Yeah Yeahs",40,2,2021-09-04,20
"Ariana Grande",39,11,2018-05-06,3.54545454545455
"Arctic Monkeys",38,6,2020-05-18,6.33333333333333
"Yung Gravy",38,3,2019-05-17,12.6666666666667
"Black Eyed Peas",37,3,2019-11-16,12.3333333333333
"Farruko",37,1,2021-12-13,37
"Jelani Aryeh",37,1,2021-04-20,37
"Matt Champion",36,1,2021-01-22,36
"Rudimental",36,3,2018-11-01,12
"Dimitri Vegas & Like Mike",35,1,2019-03-26,35
"6LACK",34,1,2020-06-28,34
"Peach Pit",34,2,2021-04-20,17
"Pharrell Williams",34,1,2022-06-10,34
"DJ Scheme",33,2,2020-11-14,16.5
"Garrett Merk",33,1,2021-01-27,33
"John K",33,1,2021-01-28,33
"John Legend",33,4,2019-04-13,8.25
"Rixton",33,1,2020-03-29,33
"Giveon",32,18,2021-01-08,1.77777777777778
"Kungs",32,1,2021-06-03,32
"Ozzy Osbourne",32,1,2021-03-09,32
"Cobra Starship",31,2,2020-09-23,15.5
"Cordae",31,4,2019-07-24,7.75
"Jonas Blue",31,1,2021-06-03,31
"Lost Kings",31,3,2019-11-17,10.3333333333333
"Of Monsters and Men",30,1,2020-03-29,30
"Kevin Abstract",29,2,2020-08-22,14.5
"Olivver the Kid",29,1,2021-01-27,29
"Andy Grammer",28,2,2021-06-03,14
"Marko Penn",28,1,2021-06-03,28
"The Wanted",28,1,2020-09-23,28
"Isaac Dunbar",27,1,2021-05-20,27
"Pell",27,1,2021-06-03,27
"R. City",27,1,2020-03-29,27
"The Royal Concept",27,1,2021-08-16,27
"American Authors",26,2,2020-03-29,13
"Billy Lemos",26,1,2019-03-19,26
"Chief Keef",26,3,2020-08-11,8.66666666666667
"Dreamer Boy",26,1,2021-02-03,26
"Holy Holy",26,2,2022-07-01,13
"Devvon Terrell",25,1,2021-06-05,25
"Garrett Zoukis",25,1,2021-01-27,25
"Gnarls Barkley",25,1,2020-04-08,25
"Mike Posner",25,5,2019-05-06,5
"Russ",25,2,2019-11-15,12.5
"Sean Paul",25,3,2019-06-20,8.33333333333333
"Soulja Boy",25,3,2019-03-25,8.33333333333333
"Troy",25,1,2020-09-23,25
"CVBZ",24,1,2021-06-03,24
"Hot Chelle Rae",24,1,2020-03-29,24
"Kane Brown",24,1,2020-07-10,24
"susZach",24,1,2020-07-06,24
"Backstreet Boys",23,3,2019-06-22,7.66666666666667
"Dennis Lloyd",23,1,2019-11-17,23
"Jon Bellion",23,3,2019-08-04,7.66666666666667
"Armani White",22,1,2022-07-17,22
"Shoffy",22,1,2019-11-15,22
"Stevie Wonder",22,1,2019-12-08,22
"T-Pain",22,4,2019-01-26,5.5
"BORNS",21,1,2020-07-19,21
"Hans Zimmer",21,7,2021-04-05,3
"Joyner Lucas",21,2,2019-05-25,10.5
"Snoop Dogg",21,1,2019-03-25,21
"Wiz Khalifa",21,3,2018-07-20,7
"Sam Smith",20,4,2018-03-29,5
"DJ Snake",19,3,2019-06-21,6.33333333333333
"DRAM",19,1,2019-04-13,19
"Estelle",19,1,2020-07-22,19
"Jason Derulo",19,4,2021-01-12,4.75
"Jude Barclay",19,1,2021-01-27,19
"Mr. Probz",19,1,2021-03-12,19
"Adam Melchor",18,1,2021-11-16,18
"Dan + Shay",18,1,2019-11-18,18
"Disclosure",18,2,2022-02-16,9
"TheFatRat",18,1,2019-03-23,18
"Art of Sleeping",17,10,2022-03-31,1.7
"Johnny 2 Phones",17,1,2022-05-31,17
"KONGOS",17,1,2022-08-13,17
"Sammy Adams",17,1,2020-04-05,17
"Sleeping At Last",17,3,2020-05-08,5.66666666666667
"FMLYBND",16,1,2022-04-12,16
"Mark Ronson",16,3,2018-12-22,5.33333333333333
"Nicki Minaj",16,5,2018-06-27,3.2
"Riton",16,1,2021-06-17,16
"Cookin Soul",15,1,2021-10-06,15
"Lana Del Rey",15,4,2019-08-25,3.75
"Olivia Rodrigo",15,5,2021-01-12,3
"Saint Luna",15,2,2022-03-26,7.5
"The Head And The Heart",15,2,2020-08-21,7.5
"James Arthur",14,2,2020-03-29,7
"James Bay",14,3,2018-11-01,4.66666666666667
"Katy Perry",14,3,2019-11-16,4.66666666666667
"SZA",14,10,2022-12-12,1.4
"The Griswolds",14,2,2022-04-18,7
"Vince Guaraldi Trio",14,9,2020-11-28,1.55555555555556
"Gavin Haley",13,1,2019-11-15,13
"Jay Sean",13,2,2019-06-20,6.5
"LMFAO",13,2,2020-09-05,6.5
"Matty Wood$",13,3,2021-02-07,4.33333333333333
"Quality Control",13,1,2019-07-18,13
"The Maine",13,1,2022-09-28,13
"Travie McCoy",13,1,2019-11-15,13
"Whethan",13,1,2019-11-20,13
"bbno$",13,3,2018-04-11,4.33333333333333
"Bad Meets Evil",12,1,2020-09-23,12
"Chris Brown",12,3,2019-08-25,4
"Domo Genesis",12,1,2022-06-01,12
"Fergie",12,2,2020-10-09,6
"Kesha",12,4,2019-06-20,3
"Max Drazen",12,2,2021-08-12,6
"Neil Diamond",12,1,2019-05-11,12
"Ryan Pishotti",12,1,2020-08-02,12
"Seafret",12,1,2022-09-27,12
"A$AP Ferg",11,1,2018-12-25,11
"Aitch",11,1,2021-05-15,11
"Denny White",11,1,2021-06-04,11
"Felly",11,5,2021-04-19,2.2
"Joshua Golden",11,1,2020-09-14,11
"MisterWives",11,1,2022-09-27,11
"Sam Fischer",11,1,2020-05-21,11
"The 1975",11,1,2020-09-17,11
"khai dreams",11,2,2019-09-16,5.5
"Emmit Fenn",10,2,2022-04-11,5
"Mumford & Sons",10,3,2020-10-06,3.33333333333333
"Nasarati X",10,1,2019-06-18,10
"Taylor Swift",10,7,2018-11-01,1.42857142857143
"Token",10,1,2022-11-04,10
"BROODS",9,2,2022-04-15,4.5
"BabyJake",9,2,2020-09-11,4.5
"Elujay",9,1,2021-08-03,9
"Johan Soderqvist",9,2,2021-04-05,4.5
"Marcus Mumford",9,7,2022-09-26,1.28571428571429
"Mustard",9,3,2019-05-14,3
"The Beatles",9,4,2019-03-25,2.25
"WALK THE MOON",9,1,2019-06-22,9
"Conway the Machine",8,1,2022-09-30,8
"Jackson Wang",8,1,2022-09-27,8
"Morgan Wallen",8,3,2020-08-07,2.66666666666667
"Ne-Yo",8,1,2021-01-12,8
"ODIE",8,5,2022-04-11,1.6
"Queen",8,5,2019-03-25,1.6
"Rob $tone",8,1,2020-09-24,8
"S-X",8,1,2022-05-06,8
"Zella Day",8,1,2022-09-28,8
"Daft Punk",7,3,2021-01-11,2.33333333333333
"Joe Jonas",7,1,2020-10-05,7
"Miley Cyrus",7,3,2019-03-25,2.33333333333333
"One Direction",7,7,2018-11-01,1
"Rema",7,1,2022-12-07,7
"Rune RK",7,1,2020-02-01,7
"Smino",7,5,2020-05-03,1.4
"Caesars",6,1,2022-04-11,6
"Cat Burns",6,4,2022-04-10,1.5
"EARTHGANG",6,3,2020-02-19,2
"Jose Gonzalez",6,2,2021-04-06,3
"Kwabs",6,1,2022-04-11,6
"NAV",6,5,2018-12-25,1.2
"Saint Raymond",6,1,2022-04-12,6
"The Piano Guys",6,3,2022-04-26,2
"Weston Estate",6,2,2021-06-27,3
"tsubi club",6,1,2022-03-08,6
"347aidan",5,1,2021-02-07,5
"99 Neighbors",5,1,2021-02-07,5
"Alessia Cara",5,2,2022-10-21,2.5
"Alesso",5,1,2020-01-28,5
"Allday",5,1,2019-09-18,5
"Beyonce",5,4,2019-04-28,1.25
"DJ Drama",5,1,2021-07-19,5
"DVBBS",5,1,2020-11-26,5
"Diplo",5,4,2019-09-27,1.25
"Doja Cat",5,3,2021-02-07,1.66666666666667
"Ed Sheeran & Justin Bieber",5,1,2019-06-22,5
"Elton John",5,4,2020-04-04,1.25
"FISHER",5,1,2021-11-13,5
"Iyaz",5,1,2019-04-13,5
"KALEO",5,2,2021-01-27,2.5
"Kamal.",5,2,2020-12-19,2.5
"Lynyrd Skynyrd",5,1,2020-03-22,5
"MattOfficiel",5,1,2022-05-27,5
"Megan Thee Stallion",5,5,2019-11-03,1
"Michael Buble",5,4,2018-11-01,1.25
"Mura Masa",5,3,2021-03-20,1.66666666666667
"Nelly Furtado",5,1,2021-09-26,5
"OMI",5,1,2020-10-04,5
"Pipe Calderon",5,1,2022-04-16,5
"Selena Gomez",5,3,2018-07-07,1.66666666666667
"Slaptop",5,2,2022-04-12,2.5
"Southside",5,1,2022-04-22,5
"Steve Jablonsky",5,2,2021-04-05,2.5
"Taio Cruz",5,1,2021-07-25,5
"The Band CAMINO",5,1,2021-04-11,5
"The White Stripes",5,2,2019-09-22,2.5
"WizTheMc",5,2,2021-04-20,2.5
"Youngblood Hawke",5,1,2022-04-14,5
"Zoot",5,1,2021-07-07,5
"tobi lou",5,2,2020-05-03,2.5
"6ix9ine",4,4,2018-09-28,1
"A-Wall",4,1,2021-04-20,4
"ABBA",4,2,2019-07-14,2
"Arcade Player",4,1,2020-10-23,4
"BETWEEN FRIENDS",4,1,2022-04-16,4
"BLOWSOM",4,1,2022-04-12,4
"Bleachers",4,1,2022-12-24,4
"Bon Iver",4,4,2020-10-06,1
"Casper Caan",4,1,2022-04-11,4
"Cyrus Reynolds,Gregg Lehrman",4,1,2021-04-06,4
"David Tolk",4,1,2021-04-06,4
"Dekleyn",4,1,2022-04-17,4
"Duke & Jones",4,1,2022-06-12,4
"Emoter",4,1,2021-04-05,4
"Fireboy DML",4,2,2022-04-11,2
"GASHI",4,2,2018-10-10,2
"JVKE",4,3,2021-11-08,1.33333333333333
"Jiubel",4,2,2022-05-19,2
"Joshua Bassett",4,1,2021-01-31,4
"King Harvest",4,1,2021-01-11,4
"Macpro",4,1,2019-09-20,4
"Matisyahu",4,1,2022-04-15,4
"Mike WiLL Made-It",4,2,2018-04-20,2
"Pink Sweat$",4,4,2021-02-11,1
"The Knocks",4,1,2022-04-12,4
"Thomas Bergersen",4,1,2021-04-06,4
"Thomas Rhett",4,4,2021-08-05,1
"Wilbert Roget, II",4,1,2021-04-06,4
"Young Orange",4,1,2019-09-18,4
"Young the Giant",4,1,2022-12-22,4
"42 Dugg",3,2,2020-06-30,1.5
"A-Y",3,1,2022-04-16,3
"AC/DC",3,1,2022-08-20,3
"Afroman",3,2,2017-10-26,1.5
"Bad Sounds",3,1,2022-04-16,3
"Bakar",3,2,2021-04-20,1.5
"Benny Martin",3,1,2022-04-26,3
"Boney M.",3,1,2021-12-05,3
"Breakbot",3,1,2019-01-26,3
"Buddy",3,1,2018-12-25,3
"Camila Cabello",3,2,2017-09-11,1.5
"Cardi B",3,2,2018-07-07,1.5
"Carlyle Fraser",3,1,2022-08-20,3
"Catfish and the Bottlemen",3,2,2022-04-16,1.5
"Conan Gray",3,2,2019-11-20,1.5
"Dexys Midnight Runners",3,1,2019-06-22,3
"GrecoTax",3,1,2020-09-02,3
"Higher Brothers",3,2,2019-02-24,1.5
"Jack Kays",3,3,2021-03-20,1
"James Blake",3,3,2021-09-29,1
"James Newton Howard",3,2,2021-04-08,1.5
"Jon Pardi",3,3,2021-08-05,1
"Jonah Zed",3,2,2021-10-05,1.5
"Jordy Searcy",3,1,2022-12-21,3
"K SI",3,1,2017-09-12,3
"Kojey Radical",3,1,2022-04-11,3
"Larry June",3,1,2022-06-26,3
"Lizzo",3,2,2019-06-14,1.5
"Lofi Fruits Music",3,2,2021-02-11,1.5
"Mac Ayres",3,3,2022-04-12,1
"Magic Man",3,1,2022-04-11,3
"Mariah Carey",3,2,2019-07-29,1.5
"Marvin Gaye",3,3,2022-09-18,1
"Mauve",3,3,2020-12-19,1
"Morninglightmusic",3,1,2021-04-05,3
"Novo Amor",3,2,2021-01-27,1.5
"Priceless Da Roc",3,1,2021-09-30,3
