"Artist","Plays","Songs","First Listen","Plays Per Song"
"midwxst",36,19,"2022-01-28",1.89473684210526
"2Pac",35,4,"2018-07-27",8.75
"KISS",35,10,"2019-11-24",3.5
"Pi'erre Bourne",35,7,"2021-04-02",5
"Sonu Nigam",35,5,"2019-04-24",7
"Tyga",35,8,"2018-06-21",4.375
"Ab-Soul",34,2,"2018-02-09",17
"Andre Nickatina",34,6,"2022-02-14",5.66666666666667
"Sleepy Hallow",34,3,"2021-09-17",11.3333333333333
"Vishal Dadlani",34,2,"2019-04-23",17
"CVBZ",33,1,"2021-02-11",33
"Death Cab for Cutie",33,1,"2017-07-13",33
"Glen Campbell",33,1,"2021-01-02",33
"Hoodie Allen",33,6,"2018-08-23",5.5
"Ice Cube",33,2,"2021-12-07",16.5
"JACKBOYS",33,3,"2020-01-30",11
"King Harvest",32,3,"2021-03-27",10.6666666666667
"Udit Narayan",32,2,"2019-04-23",16
"Akon",31,4,"2019-05-14",7.75
"Jonas Brothers",31,1,"2019-03-12",31
"Charlie Puth",30,3,"2017-11-12",10
"Jef Miles",30,1,"2021-02-11",30
"Olympic Ayres",30,1,"2021-10-24",30
"Sunidhi Chauhan",30,3,"2019-04-23",10
"The Growlers",30,4,"2021-12-02",7.5
"AC/DC",29,6,"2017-09-22",4.83333333333333
"Gym Class Heroes",29,2,"2017-10-07",14.5
"Phil Collins",29,2,"2018-12-11",14.5
"Swedish House Mafia",29,19,"2021-10-27",1.52631578947368
"THE SCOTTS",29,1,"2020-04-24",29
"Bebe Rexha",28,2,"2017-11-15",14
"Declan McKenna",28,1,"2021-12-02",28
"HYTYD",28,1,"2018-10-25",28
"Ski Mask The Slump God",28,3,"2018-04-20",9.33333333333333
"Chief Keef",27,7,"2017-06-19",3.85714285714286
"Foo Fighters",27,3,"2016-04-25",9
"Laffey",27,24,"2021-04-27",1.125
"Lata Mangeshkar",27,12,"2020-09-09",2.25
"Ramones",27,1,"2019-01-21",27
"Rupert Holmes",27,1,"2019-01-18",27
"Sia",27,5,"2016-04-18",5.4
"AJR",26,3,"2017-10-01",8.66666666666667
"Bruce Springsteen",26,5,"2018-05-22",5.2
"Comethazine",26,3,"2019-01-21",8.66666666666667
"Nirvana",26,4,"2018-11-26",6.5
"The Killers",26,2,"2019-09-10",13
"The Velvet Underground",26,13,"2020-01-14",2
"Van Halen",26,5,"2019-01-09",5.2
"Wings",26,4,"2019-01-28",6.5
"Yusuf / Cat Stevens",26,20,"2020-07-28",1.3
"Earth, Wind & Fire",25,3,"2019-01-28",8.33333333333333
"Neha Kakkar",25,2,"2019-04-23",12.5
"Nico & Vinz",25,1,"2016-04-27",25
"Robinson",25,1,"2021-02-11",25
"Shoreline Mafia",25,2,"2018-12-13",12.5
"Wale",25,7,"2018-04-24",3.57142857142857
"JiKay",24,1,"2020-09-20",24
"Steve Lacy",24,5,"2022-01-06",4.8
"Sub Urban",24,1,"2019-08-07",24
"Dannic",23,5,"2016-04-21",4.6
"Lil Dicky",23,3,"2017-06-19",7.66666666666667
"Mac Dre",23,11,"2022-02-14",2.09090909090909
"Snoop Dogg",23,6,"2019-04-24",3.83333333333333
"Anderson .Paak",22,5,"2019-01-14",4.4
"Ayo & Teo",22,2,"2017-07-17",11
"Benny Benassi",22,3,"2016-04-19",7.33333333333333
"Electric Guest",22,1,"2022-03-04",22
"J Balvin",22,1,"2017-08-10",22
"Joe Cocker",22,15,"2020-09-24",1.46666666666667
"Michael Jackson",22,6,"2019-01-24",3.66666666666667
"Santana",22,10,"2020-01-08",2.2
"The J. Geils Band",22,2,"2020-08-04",11
"American Authors",21,2,"2017-10-28",10.5
"Gloria Gaynor",21,1,"2019-06-21",21
"King Curtis",21,21,"2020-06-15",1
"Casiio",20,19,"2021-04-27",1.05263157894737
"Daddy Yankee",20,1,"2016-04-22",20
"Diddy",20,3,"2018-09-26",6.66666666666667
"Lana Del Rey",20,6,"2016-04-18",3.33333333333333
"Luna Shadows",20,1,"2020-09-21",20
"Sainte",20,6,"2022-01-18",3.33333333333333
"Alan Walker",19,4,"2016-04-18",4.75
"Dada Life",19,5,"2016-04-30",3.8
"JID",19,8,"2019-07-21",2.375
"R.E.M.",19,7,"2019-01-15",2.71428571428571
"Robin Bennich",19,5,"2019-09-26",3.8
"The Band",19,11,"2020-07-14",1.72727272727273
"Cordae",18,6,"2018-10-06",3
"Endor",18,2,"2021-09-05",9
"Gesaffelstein",18,1,"2019-12-20",18
"Looking Glass",18,9,"2019-08-31",2
"Louis Armstrong",18,2,"2019-04-23",9
"Ludacris",18,18,"2022-02-10",1
"Luniz",18,1,"2022-02-14",18
"No Wyld",18,1,"2016-04-25",18
"Ozzy Osbourne",18,1,"2019-01-28",18
"Ace Frehley",17,9,"2019-11-24",1.88888888888889
"Aitch",17,1,"2020-07-09",17
"Andy Grammer",17,1,"2021-06-11",17
"Bastille",17,2,"2018-02-27",8.5
"Demi Lovato",17,1,"2017-10-20",17
"Dr. Dre",17,2,"2017-09-05",8.5
"Eamonn Watt",17,4,"2019-09-26",4.25
"Gabriel Antonio",17,1,"2016-04-21",17
"Johannes Bornlof",17,4,"2019-09-26",4.25
"Lil Tjay",17,4,"2020-02-18",4.25
"Taio Cruz",17,2,"2017-09-10",8.5
"The 1975",17,9,"2019-01-24",1.88888888888889
"Tim Hardin",17,9,"2020-09-24",1.88888888888889
"a-ha",17,1,"2019-01-15",17
"will.i.am",17,1,"2019-09-20",17
"Blind Faith",16,6,"2021-02-26",2.66666666666667
"Gorillaz",16,5,"2016-04-20",3.2
"Isaiah Rashad",16,8,"2019-05-28",2
"Janis Joplin",16,10,"2020-09-24",1.6
"Jean Dawson",16,11,"2022-10-10",1.45454545454545
"K'NAAN",16,1,"2020-03-18",16
"Lil Skies",16,7,"2018-04-08",2.28571428571429
"Mike WiLL Made-It",16,6,"2018-11-16",2.66666666666667
"Olivia Rodrigo",16,2,"2021-06-01",8
"Peter Green",16,9,"2020-07-26",1.77777777777778
"Pusha T",16,5,"2016-04-25",3.2
"Smino",16,6,"2021-03-22",2.66666666666667
"Sublime",16,3,"2020-12-05",5.33333333333333
"Train",16,3,"2019-05-16",5.33333333333333
"Troye Sivan",16,4,"2016-04-22",4
"YoungBoy Never Broke Again",16,7,"2018-04-08",2.28571428571429
"Carly Rae Jepsen",15,1,"2019-08-02",15
"Country Joe & The Fish",15,14,"2020-09-27",1.07142857142857
"Crosby, Stills & Nash",15,12,"2020-10-18",1.25
"Duke Ellington",15,14,"2021-06-06",1.07142857142857
"Imran Khan",15,1,"2020-07-13",15
"Johnny Winter",15,8,"2020-10-19",1.875
"Kishore Kumar",15,6,"2020-09-12",2.5
"Moxie Raia",15,1,"2016-04-18",15
"Pharrell Williams",15,3,"2021-06-25",5
"Sean Paul",15,4,"2016-04-23",3.75
"Sly & The Family Stone",15,10,"2020-08-31",1.5
"The Animals",15,1,"2018-10-02",15
"The Outfield",15,1,"2022-07-08",15
"brillion.",15,12,"2021-04-22",1.25
"kudo",15,15,"2021-04-29",1
"Blueface",14,3,"2019-02-08",4.66666666666667
"Chad Lawson",14,3,"2019-09-26",4.66666666666667
"Charles Bolt",14,3,"2019-09-26",4.66666666666667
"Elliot Ziegler",14,3,"2019-09-26",4.66666666666667
"Jefferson Airplane",14,12,"2020-09-23",1.16666666666667
"Kid Ink",14,1,"2017-06-22",14
"Lil Pump",14,7,"2017-08-20",2
"Mozzy",14,5,"2018-02-09",2.8
"P!nk",14,3,"2017-11-12",4.66666666666667
"Radiohead",14,5,"2018-01-06",2.8
"Sha Na Na",14,10,"2020-11-01",1.4
"Souls Of Mischief",14,1,"2022-07-18",14
"Supertramp",14,11,"2020-10-18",1.27272727272727
"Sweetwater",14,8,"2020-09-24",1.75
"The Strokes",14,11,"2019-05-10",1.27272727272727
"Baby Smoove",13,7,"2022-03-25",1.85714285714286
"Blood, Sweat & Tears",13,10,"2020-10-21",1.3
"Dexys Midnight Runners",13,1,"2021-10-28",13
"Flying Lotus",13,6,"2019-02-01",2.16666666666667
"Franz Gordon",13,3,"2019-09-26",4.33333333333333
"Gavin Luke",13,3,"2019-09-26",4.33333333333333
"Hoogway",13,13,"2021-12-09",1
"Jack Johnson",13,3,"2019-05-02",4.33333333333333
"Katy Perry",13,3,"2019-03-25",4.33333333333333
"Max Richter",13,3,"2019-09-26",4.33333333333333
"Quality Control",13,6,"2018-02-28",2.16666666666667
